Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
1;33;32;4.000;0.04674;-0.00399;0.09094;-0.00190;-0.02138;0.00012;concrete beam
1;34;15;0.000;0.20612;-0.01189;0.09825;-0.00201;-0.04948;0.00010;steel beam
1;34;33;4.000;0.20574;-0.01189;0.09094;-0.00194;-0.04949;0.00010;steel beam
1;35;17;0.000;0.04721;-0.00365;0.16546;-0.00173;-0.02359;0.00013;concrete beam
1;35;35;4.000;0.04678;-0.00366;0.15851;-0.00174;-0.02387;0.00007;concrete beam
1;36;18;0.000;0.84663;-0.01953;0.16578;-0.00443;-0.06119;0.00372;steel beam
1;36;36;4.000;0.98098;-0.01953;0.15885;-0.00437;-0.06832;0.00428;steel beam
1;37;3;0.000;0.84652;-0.09503;-0.15728;-0.02316;-0.05936;0.00528;timber beam
1;37;18;15.000;0.84663;-0.01953;0.16578;-0.00443;-0.06119;0.00372;timber beam
1;38;21;0.000;0.98098;-0.09482;-0.16940;-0.02157;-0.06825;0.00423;timber beam
1;38;36;15.000;0.98098;-0.01953;0.15885;-0.00437;-0.06832;0.00428;timber beam
1;39;3;0.000;0.84652;-0.09503;-0.15728;-0.02316;-0.05936;0.00528;Aluminium beam
1;39;24;5.000;0.70737;0.00724;-0.09902;0.00012;-0.23387;-0.07426;Aluminium beam
;;;;;;;;;;
2;1;1;0.000;0.00000;0.00000;-0.12729;0.00000;0.00000;0.00000;concrete column
2;1;2;3.600;0.00164;0.13165;-0.12735;0.06104;-0.00027;-0.00003;concrete column
2;2;2;0.000;0.00164;0.13165;-0.12735;0.06104;-0.00027;-0.00003;steel column
2;2;3;4.000;-0.49869;0.83609;-0.12802;0.17201;0.02958;-0.01185;steel column
2;3;4;0.000;0.00000;0.00000;-0.12176;0.00000;0.00000;0.00000;concrete column
2;3;5;3.600;0.00166;0.13153;-0.12182;0.05906;-0.00127;-0.00002;concrete column
2;4;5;0.000;0.00166;0.13153;-0.12182;0.05906;-0.00127;-0.00002;steel column
2;4;6;4.000;-0.08443;0.40718;-0.12189;0.06901;0.03377;0.02544;steel column
2;5;7;0.000;0.00000;0.00000;-0.11767;0.00000;0.00000;0.00000;concrete column
2;5;8;3.600;0.00170;0.13149;-0.11773;0.05823;-0.00093;0.00000;concrete column
2;6;8;0.000;0.00170;0.13149;-0.11773;0.05823;-0.00093;0.00000;steel column
2;6;9;4.000;0.01084;0.38854;-0.11778;0.06417;-0.00301;0.00113;steel column
2;7;10;0.000;0.00000;0.00000;-0.11548;0.00000;0.00000;0.00000;concrete column
2;7;11;3.600;0.00176;0.13155;-0.11553;0.05823;-0.00055;0.00003;concrete column
2;8;11;0.000;0.00176;0.13155;-0.11553;0.05823;-0.00055;0.00003;steel column
2;8;12;4.000;0.00616;0.38860;-0.11558;0.06417;-0.00140;-0.00104;steel column
2;9;13;0.000;0.00000;0.00000;-0.11517;0.00000;0.00000;0.00000;concrete column
2;9;14;3.600;0.00179;0.13170;-0.11523;0.05910;-0.00012;0.00005;concrete column
2;10;14;0.000;0.00179;0.13170;-0.11523;0.05910;-0.00012;0.00005;steel column
2;10;15;4.000;0.00079;0.39266;-0.11528;0.06517;0.00044;-0.00366;steel column
2;11;16;0.000;0.00000;0.00000;-0.11759;0.00000;0.00000;0.00000;concrete column
2;11;17;3.600;0.00179;0.13190;-0.11765;0.06172;0.00095;0.00004;concrete column
2;12;17;0.000;0.00179;0.13190;-0.11765;0.06172;0.00095;0.00004;steel column
2;12;18;4.000;-0.49865;0.80380;-0.11861;0.16777;0.02502;-0.00453;steel column
2;13;19;0.000;0.00000;0.00000;0.11553;0.00000;0.00000;0.00000;concrete column
2;13;20;3.600;0.00176;0.13165;0.11558;0.06098;-0.00143;-0.00004;concrete column
2;14;20;0.000;0.00176;0.13165;0.11558;0.06098;-0.00143;-0.00004;steel column
2;14;21;4.000;0.53596;0.83621;0.11620;0.17595;-0.02975;-0.00714;steel column
2;15;22;0.000;0.00000;0.00000;0.11518;0.00000;0.00000;0.00000;concrete column
2;15;23;3.600;0.00174;0.13154;0.11523;0.05910;-0.00031;-0.00002;concrete column
2;16;23;0.000;0.00174;0.13154;0.11523;0.05910;-0.00031;-0.00002;steel column
2;16;24;4.000;0.07200;0.40727;0.11535;0.06683;-0.02141;-0.15032;steel column
2;17;25;0.000;0.00000;0.00000;0.11571;0.00000;0.00000;0.00000;concrete column
2;17;26;3.600;0.00169;0.13149;0.11576;0.05823;-0.00056;0.00000;concrete column
2;18;26;0.000;0.00169;0.13149;0.11576;0.05823;-0.00056;0.00000;steel column
2;18;27;4.000;0.00617;0.38854;0.11581;0.06417;-0.00142;0.00113;steel column
2;19;28;0.000;0.00000;0.00000;0.11790;0.00000;0.00000;0.00000;concrete column
2;19;29;3.600;0.00163;0.13155;0.11795;0.05823;-0.00090;0.00003;concrete column
2;20;29;0.000;0.00163;0.13155;0.11795;0.05823;-0.00090;0.00003;steel column
2;20;30;4.000;0.01046;0.38860;0.11800;0.06417;-0.00291;-0.00104;steel column
2;21;31;0.000;0.00000;0.00000;0.12191;0.00000;0.00000;0.00000;concrete column
2;21;32;3.600;0.00159;0.13170;0.12197;0.05909;-0.00134;0.00005;concrete column
2;22;32;0.000;0.00159;0.13170;0.12197;0.05909;-0.00134;0.00005;steel column
2;22;33;4.000;0.01585;0.39266;0.12202;0.06517;-0.00476;-0.00366;steel column
2;23;34;0.000;0.00000;0.00000;0.12874;0.00000;0.00000;0.00000;concrete column
2;23;35;3.600;0.00159;0.13190;0.12880;0.06172;-0.00248;0.00004;concrete column
2;24;35;0.000;0.00159;0.13190;0.12880;0.06172;-0.00248;0.00004;steel column
2;24;36;4.000;0.53597;0.80381;0.12977;0.16791;-0.02944;-0.00725;steel column
2;25;2;0.000;0.00164;0.13165;-0.12735;0.06104;-0.00027;-0.00003;concrete beam
2;25;20;4.000;0.00176;0.13165;0.11558;0.06098;-0.00143;-0.00004;concrete beam
2;26;3;0.000;-0.49869;0.83609;-0.12802;0.17201;0.02958;-0.01185;steel beam
2;26;21;4.000;0.53596;0.83621;0.11620;0.17595;-0.02975;-0.00714;steel beam
2;27;5;0.000;0.00166;0.13153;-0.12182;0.05906;-0.00127;-0.00002;concrete beam
2;27;23;4.000;0.00174;0.13154;0.11523;0.05910;-0.00031;-0.00002;concrete beam
