Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;1;0.000;0.000;-3.600;;4.075;0.349;12.62;0.027;-2.219;-82.14;0.947;0.169;19.53;0.763;
1;2;0.500;0.000;-3.600;;1.949;0.008;-2.92;0.095;-0.911;76.54;0.552;0.019;6.99;0.556;
1;3;1.000;0.000;-3.600;;0.671;-0.067;-17.93;0.247;-0.211;42.56;0.320;0.001;1.07;0.429;
1;4;1.500;0.000;-3.600;;0.123;-0.371;-51.43;0.679;-0.051;25.24;0.186;0.004;6.51;0.408;
1;5;2.000;0.000;-3.600;;0.073;-1.124;-78.81;1.268;-0.079;10.36;0.073;-0.004;3.92;0.403;
1;6;2.500;0.000;-3.600;;0.010;-2.293;-88.03;2.250;-0.043;2.53;-0.008;-0.031;53.55;0.499;
1;7;3.000;0.000;-3.600;;0.597;-2.224;46.66;2.157;-0.250;-42.49;0.181;-0.041;36.85;0.623;
1;8;3.500;0.000;-3.600;;0.191;-0.018;-14.06;0.309;-0.013;19.07;0.229;0.005;6.41;0.331;
1;9;4.000;0.000;-3.600;;0.026;-0.620;-81.67;0.928;-0.022;5.59;0.156;0.000;-0.08;0.174;
1;10;4.500;0.000;-3.600;;-0.004;-0.977;-85.01;1.228;0.002;3.94;0.126;-0.002;-0.05;0.147;
1;11;5.000;0.000;-3.600;;0.031;-1.321;-87.34;1.531;-0.034;2.31;0.106;-0.002;0.15;0.128;
1;12;5.500;0.000;-3.600;;0.003;-1.944;87.81;2.104;-0.016;-1.63;0.081;-0.008;4.56;0.145;
1;13;6.000;0.000;-3.600;;-0.285;-1.680;69.90;1.922;0.377;-9.65;0.151;0.016;14.05;0.288;
1;14;6.500;0.000;-3.600;;-0.029;-0.993;-87.23;1.349;0.031;3.04;0.178;0.001;3.79;0.148;
1;15;7.000;0.000;-3.600;;0.018;-1.216;-89.65;1.513;-0.019;0.26;0.149;0.000;-0.14;0.030;
1;16;7.500;0.000;-3.600;;-0.011;-1.274;89.77;1.559;0.007;-0.19;0.142;-0.002;0.00;0.004;
1;17;8.000;0.000;-3.600;;0.020;-1.282;89.12;1.577;-0.021;-0.69;0.147;-0.001;0.14;0.025;
1;18;8.500;0.000;-3.600;;-0.023;-1.181;86.66;1.526;0.024;-3.35;0.173;0.000;-3.39;0.129;
1;19;9.000;0.000;-3.600;;-0.339;-1.701;-81.85;1.990;0.396;4.34;0.154;0.020;-10.19;0.258;
