Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;28;13.500;0.000;-3.600;min;-0.026;0.000;-0.002;-0.017;-0.001;-0.071;-0.002;0.000;
1;29;14.000;0.000;-3.600;max;0.028;0.000;0.003;0.020;0.005;0.093;0.001;0.001;
1;29;14.000;0.000;-3.600;min;-0.028;0.000;-0.003;-0.020;-0.005;-0.093;-0.001;-0.001;
1;30;14.500;0.000;-3.600;max;0.043;0.001;0.005;0.028;0.021;0.150;0.010;0.022;
1;30;14.500;0.000;-3.600;min;-0.043;-0.001;-0.005;-0.028;-0.021;-0.150;-0.010;-0.022;
1;31;15.000;0.000;-3.600;max;0.057;0.002;0.022;0.058;0.013;0.240;0.066;0.066;
1;31;15.000;0.000;-3.600;min;-0.057;-0.002;-0.022;-0.058;-0.013;-0.240;-0.066;-0.066;
1;32;0.000;0.500;-3.600;max;0.011;0.005;0.015;0.005;0.008;0.008;0.013;0.025;
1;32;0.000;0.500;-3.600;min;-0.011;-0.005;-0.015;-0.005;-0.008;-0.008;-0.013;-0.025;
1;33;0.500;0.500;-3.600;max;0.008;0.002;0.016;0.002;0.006;0.038;0.018;0.033;
1;33;0.500;0.500;-3.600;min;-0.008;-0.002;-0.016;-0.002;-0.006;-0.038;-0.018;-0.033;
1;34;1.000;0.500;-3.600;max;0.013;0.002;0.014;0.012;0.009;0.057;0.011;0.035;
1;34;1.000;0.500;-3.600;min;-0.013;-0.002;-0.014;-0.012;-0.009;-0.057;-0.011;-0.035;
1;35;1.500;0.500;-3.600;max;0.023;0.000;0.013;0.019;0.003;0.045;0.000;0.039;
1;35;1.500;0.500;-3.600;min;-0.023;0.000;-0.013;-0.019;-0.003;-0.045;0.000;-0.039;
1;36;2.000;0.500;-3.600;max;0.030;0.002;0.015;0.011;0.012;0.032;0.019;0.025;
1;36;2.000;0.500;-3.600;min;-0.030;-0.002;-0.015;-0.011;-0.012;-0.032;-0.019;-0.025;
1;37;2.500;0.500;-3.600;max;0.035;0.002;0.011;0.005;0.016;0.029;0.005;0.013;
1;37;2.500;0.500;-3.600;min;-0.035;-0.002;-0.011;-0.005;-0.016;-0.029;-0.005;-0.013;
