Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;25;12.000;0.000;-3.600;max;0.002;0.000;74.19;0.002;0.000;70.98;0.000;0.000;76.32;0.000;
1;25;12.000;0.000;-3.600;min;0.000;-0.002;-70.44;0.000;-0.002;-72.58;0.000;0.000;-76.32;0.000;
1;26;12.500;0.000;-3.600;max;0.001;0.000;85.89;0.001;0.000;84.13;0.000;0.000;83.58;0.000;
1;26;12.500;0.000;-3.600;min;0.000;-0.001;-84.31;0.000;-0.001;-85.80;0.000;0.000;-83.58;0.000;
1;27;13.000;0.000;-3.600;max;0.001;0.000;87.93;0.001;0.000;87.86;0.000;0.000;89.79;0.000;
1;27;13.000;0.000;-3.600;min;0.000;-0.001;-87.81;0.000;-0.001;-87.89;0.000;0.000;-89.79;0.000;
1;28;13.500;0.000;-3.600;max;0.001;0.000;86.87;0.001;0.000;86.77;0.000;0.000;89.72;0.000;
1;28;13.500;0.000;-3.600;min;0.000;-0.001;-86.73;0.000;-0.001;-86.83;0.000;0.000;-89.72;0.000;
1;29;14.000;0.000;-3.600;max;0.001;0.000;86.02;0.001;0.000;85.69;0.000;0.000;89.23;0.000;
1;29;14.000;0.000;-3.600;min;0.000;-0.001;-85.60;0.000;-0.001;-85.94;0.000;0.000;-89.23;0.000;
1;30;14.500;0.000;-3.600;max;0.001;0.000;86.83;0.001;0.000;83.95;0.000;0.000;82.29;0.000;
1;30;14.500;0.000;-3.600;min;0.000;-0.001;-84.29;0.000;-0.001;-86.74;0.000;0.000;-82.29;0.000;
1;31;15.000;0.000;-3.600;max;0.002;0.000;78.22;0.002;0.000;73.08;0.001;0.000;78.38;0.000;
1;31;15.000;0.000;-3.600;min;0.000;-0.002;-71.10;0.000;-0.002;-77.60;0.000;-0.001;-78.38;0.000;
1;32;0.000;0.500;-3.600;max;0.001;0.000;60.79;0.001;0.000;57.49;0.000;0.000;56.47;0.000;
