Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.913;3.913;2.232;0.875;
1;2;0.500;0.000;-3.600;;1.945;1.945;0.962;0.543;
1;3;1.000;0.000;-3.600;;0.707;0.707;0.397;0.319;
1;4;1.500;0.000;-3.600;;0.706;0.445;0.706;0.184;
1;5;2.000;0.000;-3.600;;1.309;1.162;1.309;0.075;
1;6;2.500;0.000;-3.600;;2.298;2.298;2.271;0.028;
1;7;3.000;0.000;-3.600;;2.849;2.849;2.411;0.245;
1;8;3.500;0.000;-3.600;;0.315;0.201;0.315;0.227;
1;9;4.000;0.000;-3.600;;0.939;0.633;0.939;0.156;
1;10;4.500;0.000;-3.600;;1.227;0.975;1.227;0.127;
1;11;5.000;0.000;-3.600;;1.549;1.337;1.549;0.106;
1;12;5.500;0.000;-3.600;;2.112;1.945;2.112;0.086;
1;13;6.000;0.000;-3.600;;1.779;1.566;1.779;0.145;
1;14;6.500;0.000;-3.600;;1.334;0.979;1.334;0.178;
1;15;7.000;0.000;-3.600;;1.523;1.225;1.523;0.149;
1;16;7.500;0.000;-3.600;;1.555;1.268;1.555;0.144;
1;17;8.000;0.000;-3.600;;1.587;1.292;1.587;0.148;
1;18;8.500;0.000;-3.600;;1.515;1.169;1.515;0.173;
1;19;9.000;0.000;-3.600;;1.831;1.567;1.831;0.145;
1;20;9.500;0.000;-3.600;;2.109;1.919;2.109;0.096;
1;21;10.000;0.000;-3.600;;1.653;1.429;1.653;0.112;
1;22;10.500;0.000;-3.600;;1.374;1.116;1.374;0.130;
1;23;11.000;0.000;-3.600;;1.111;0.802;1.111;0.157;
1;24;11.500;0.000;-3.600;;0.535;0.130;0.535;0.226;
1;25;12.000;0.000;-3.600;;2.699;2.699;2.275;0.245;
1;26;12.500;0.000;-3.600;;2.193;2.172;2.193;0.041;
1;27;13.000;0.000;-3.600;;1.163;0.999;1.163;0.086;
1;28;13.500;0.000;-3.600;;0.601;0.367;0.601;0.156;
1;29;14.000;0.000;-3.600;;0.551;0.551;0.321;0.255;
1;30;14.500;0.000;-3.600;;1.799;1.799;0.930;0.471;
1;31;15.000;0.000;-3.600;;3.835;3.835;2.267;0.806;
1;32;0.000;0.500;-3.600;;1.486;1.486;1.469;0.117;
1;33;0.500;0.500;-3.600;;1.036;1.036;0.978;0.187;
1;34;1.000;0.500;-3.600;;0.765;0.657;0.765;0.235;
1;35;1.500;0.500;-3.600;;0.958;0.538;0.958;0.210;
1;36;2.000;0.500;-3.600;;1.415;1.143;1.415;0.143;
1;37;2.500;0.500;-3.600;;1.754;1.477;1.754;0.145;
1;38;3.000;0.500;-3.600;;1.461;1.343;1.416;0.126;
1;39;3.500;0.500;-3.600;;0.528;0.289;0.528;0.137;
1;40;4.000;0.500;-3.600;;0.919;0.637;0.919;0.144;
1;41;4.500;0.500;-3.600;;1.211;0.949;1.211;0.131;
1;42;5.000;0.500;-3.600;;1.482;1.234;1.482;0.125;
1;43;5.500;0.500;-3.600;;1.784;1.535;1.784;0.127;
1;44;6.000;0.500;-3.600;;1.693;1.463;1.693;0.124;
1;45;6.500;0.500;-3.600;;1.378;1.111;1.378;0.137;
1;46;7.000;0.500;-3.600;;1.481;1.191;1.481;0.146;
1;47;7.500;0.500;-3.600;;1.529;1.240;1.529;0.145;
1;48;8.000;0.500;-3.600;;1.541;1.250;1.541;0.146;
1;49;8.500;0.500;-3.600;;1.502;1.229;1.502;0.138;
1;50;9.000;0.500;-3.600;;1.758;1.515;1.758;0.125;
1;51;9.500;0.500;-3.600;;1.835;1.578;1.835;0.130;
