Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;1;0.000;0.000;-3.600;;130.927;6.904;10.83;62.011;254.227;-175.04;473.690;84.336;19.53;194.677;
1;2;0.500;0.000;-3.600;;59.108;-1.350;-6.50;30.229;185.171;-172.50;275.888;9.336;6.99;133.276;
1;3;1.000;0.000;-3.600;;16.864;-5.019;-28.90;10.942;143.147;-178.70;159.773;0.254;1.07;79.760;
1;4;1.500;0.000;-3.600;;3.294;-21.545;-59.41;12.419;136.124;-179.29;92.998;1.947;6.51;45.525;
1;5;2.000;0.000;-3.600;;3.180;-49.830;-79.25;26.505;134.412;178.07;36.566;-1.990;3.92;19.278;
1;6;2.500;0.000;-3.600;;1.093;-94.637;-87.75;47.865;166.465;176.85;-3.819;-15.354;53.55;5.767;
1;7;3.000;0.000;-3.600;;17.624;-91.258;47.06;54.441;207.541;163.28;90.520;-20.430;36.85;55.475;
1;8;3.500;0.000;-3.600;;1.891;-4.461;-51.41;3.176;110.359;-154.05;114.719;2.504;6.41;56.107;
1;9;4.000;0.000;-3.600;;0.973;-32.224;-83.30;16.598;57.919;173.53;78.227;-0.017;-0.08;39.122;
1;10;4.500;0.000;-3.600;;-0.132;-45.931;-85.59;22.899;48.873;-178.71;62.931;-1.096;-0.05;32.014;
1;11;5.000;0.000;-3.600;;1.365;-59.423;-87.53;30.394;42.626;-173.82;52.757;-0.802;0.15;26.779;
1;12;5.500;0.000;-3.600;;0.393;-84.323;88.10;42.358;48.498;-170.97;40.663;-4.011;4.56;22.337;
1;13;6.000;0.000;-3.600;;-14.079;-74.750;76.26;30.335;95.943;137.05;75.445;7.977;14.05;33.734;
1;14;6.500;0.000;-3.600;;-1.240;-48.782;-87.07;23.771;49.343;-135.54;89.027;0.489;3.79;44.269;
1;15;7.000;0.000;-3.600;;0.769;-56.856;-89.70;28.813;9.848;168.32;74.460;-0.234;-0.14;37.347;
1;16;7.500;0.000;-3.600;;-0.374;-59.006;89.79;29.316;1.273;-113.73;71.201;-1.106;0.00;36.154;
1;17;8.000;0.000;-3.600;;0.856;-59.550;89.22;30.203;8.476;7.30;73.686;-0.275;0.14;36.981;
1;18;8.500;0.000;-3.600;;-0.977;-56.401;86.66;27.712;43.090;-45.89;86.401;0.096;-3.39;43.153;
1;19;9.000;0.000;-3.600;;-15.363;-76.844;-84.14;30.741;86.018;49.65;76.790;10.091;-10.19;33.349;
1;20;9.500;0.000;-3.600;;0.136;-83.843;-88.55;41.989;41.864;-16.22;46.353;-3.473;-2.98;24.913;
