Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;56;12.000;0.500;-3.600;;-1.777;-0.137;2.066;0.177;-0.503;0.427;0.083;0.334;
1;57;12.500;0.500;-3.600;;-1.817;-0.069;2.091;0.056;0.097;-0.197;0.240;0.123;
1;58;13.000;0.500;-3.600;;-0.856;0.123;1.130;-0.112;0.236;-0.351;0.182;0.026;
1;59;13.500;0.500;-3.600;;-0.075;0.147;0.408;-0.115;0.253;-0.399;0.124;0.016;
1;60;14.000;0.500;-3.600;;0.605;0.139;-0.215;-0.080;0.129;-0.353;0.118;0.004;
1;61;14.500;0.500;-3.600;;1.119;0.227;-0.841;-0.128;-0.093;-0.184;0.099;-0.105;
1;62;15.000;0.500;-3.600;;1.408;0.346;-1.429;-0.357;-0.425;0.215;0.052;0.164;
1;63;0.000;1.000;-3.600;;0.527;0.193;-0.644;-0.313;-0.109;0.127;0.045;0.126;
1;64;0.500;1.000;-3.600;;0.582;0.354;-0.667;-0.173;-0.228;0.364;0.012;-0.094;
1;65;1.000;1.000;-3.600;;0.370;0.347;-0.406;-0.346;-0.353;0.489;-0.054;0.153;
1;66;1.500;1.000;-3.600;;-0.343;0.117;0.692;-0.118;-0.370;0.530;-0.142;-0.035;
1;67;2.000;1.000;-3.600;;-0.656;-0.032;1.234;0.267;-0.512;0.763;-0.101;-0.147;
1;68;2.500;1.000;-3.600;;-1.193;0.077;1.573;-0.082;-0.193;0.355;-0.047;0.221;
1;69;3.000;1.000;-3.600;;-1.199;0.171;1.487;-0.131;0.126;-0.067;0.018;0.175;
1;70;3.500;1.000;-3.600;;-0.657;0.276;0.949;-0.210;0.105;-0.044;0.021;-0.014;
1;71;4.000;1.000;-3.600;;-0.670;0.237;0.977;-0.199;0.029;0.026;-0.025;0.005;
1;72;4.500;1.000;-3.600;;-0.885;0.226;1.208;-0.205;-0.042;0.084;-0.063;0.017;
1;73;5.000;1.000;-3.600;;-1.241;0.201;1.574;-0.192;-0.074;0.103;-0.088;0.034;
1;74;5.500;1.000;-3.600;;-1.644;0.165;1.983;-0.159;-0.011;0.025;-0.085;0.079;
1;75;6.000;1.000;-3.600;;-1.855;0.137;2.196;-0.106;0.126;-0.123;0.002;0.198;
1;76;6.500;1.000;-3.600;;-1.470;0.208;1.818;-0.171;0.134;-0.120;0.050;0.019;
1;77;7.000;1.000;-3.600;;-1.302;0.208;1.659;-0.186;0.104;-0.094;0.026;0.012;
1;78;7.500;1.000;-3.600;;-1.260;0.216;1.624;-0.197;0.035;-0.035;-0.005;0.011;
1;79;8.000;1.000;-3.600;;-1.350;0.207;1.710;-0.185;-0.033;0.023;-0.036;0.012;
1;80;8.500;1.000;-3.600;;-1.559;0.203;1.911;-0.167;-0.062;0.046;-0.058;0.020;
1;81;9.000;1.000;-3.600;;-1.977;0.134;2.324;-0.101;-0.050;0.046;-0.006;0.197;
1;82;9.500;1.000;-3.600;;-1.786;0.166;2.132;-0.158;0.078;-0.090;0.081;0.075;
1;83;10.000;1.000;-3.600;;-1.410;0.206;1.752;-0.196;0.132;-0.156;0.083;0.031;
1;84;10.500;1.000;-3.600;;-1.083;0.236;1.417;-0.217;0.088;-0.124;0.060;0.013;
1;85;11.000;1.000;-3.600;;-0.886;0.253;1.202;-0.218;-0.003;-0.043;0.024;-0.001;
1;86;11.500;1.000;-3.600;;-0.876;0.295;1.172;-0.230;-0.105;0.059;-0.019;-0.025;
1;87;12.000;1.000;-3.600;;-1.414;0.208;1.699;-0.168;-0.193;0.164;-0.008;0.184;
1;88;12.500;1.000;-3.600;;-1.370;0.182;1.643;-0.182;0.075;-0.147;0.108;0.136;
1;89;13.000;1.000;-3.600;;-0.776;0.236;1.024;-0.205;0.206;-0.316;0.137;0.051;
1;90;13.500;1.000;-3.600;;-0.162;0.264;0.368;-0.200;0.190;-0.335;0.122;0.016;
1;91;14.000;1.000;-3.600;;0.328;0.265;-0.198;-0.172;0.093;-0.255;0.088;-0.012;
1;92;14.500;1.000;-3.600;;0.605;0.295;-0.562;-0.181;-0.053;-0.072;0.036;-0.074;
1;93;15.000;1.000;-3.600;;0.575;0.219;-0.655;-0.369;-0.144;0.144;-0.025;0.141;
1;94;0.000;1.500;-3.600;;0.336;0.190;-0.386;-0.337;-0.130;0.205;0.010;0.066;
1;95;0.500;1.500;-3.600;;0.275;0.398;-0.303;-0.305;-0.173;0.288;-0.016;-0.064;
1;96;1.000;1.500;-3.600;;0.079;0.508;-0.103;-0.275;-0.174;0.278;-0.042;0.138;
1;98;2.000;1.500;-3.600;;-0.298;0.334;0.225;-0.328;-0.250;0.309;-0.181;-0.023;
1;99;2.500;1.500;-3.600;;-0.845;0.351;0.949;-0.312;-0.131;0.217;-0.124;0.118;
1;100;3.000;1.500;-3.600;;-0.950;0.382;1.205;-0.333;0.009;0.064;-0.027;0.086;
1;101;3.500;1.500;-3.600;;-0.717;0.380;0.980;-0.318;0.049;-0.012;-0.003;0.019;
1;102;4.000;1.500;-3.600;;-0.738;0.342;1.028;-0.291;0.035;-0.003;-0.025;0.011;
1;103;4.500;1.500;-3.600;;-0.915;0.335;1.230;-0.304;0.001;0.024;-0.049;0.014;
1;104;5.000;1.500;-3.600;;-1.209;0.346;1.542;-0.328;-0.015;0.032;-0.061;0.028;
1;105;5.500;1.500;-3.600;;-1.509;0.356;1.852;-0.338;0.016;-0.009;-0.054;0.045;
1;106;6.000;1.500;-3.600;;-1.652;0.341;1.999;-0.310;0.080;-0.078;-0.007;0.102;
1;107;6.500;1.500;-3.600;;-1.466;0.348;1.818;-0.313;0.096;-0.091;0.023;0.023;
1;108;7.000;1.500;-3.600;;-1.345;0.324;1.702;-0.293;0.083;-0.080;0.014;0.012;
1;109;7.500;1.500;-3.600;;-1.310;0.315;1.670;-0.288;0.038;-0.040;-0.005;0.007;
1;110;8.000;1.500;-3.600;;-1.393;0.323;1.752;-0.292;-0.007;0.001;-0.024;0.012;
1;111;8.500;1.500;-3.600;;-1.556;0.344;1.911;-0.310;-0.020;0.012;-0.032;0.022;
1;112;9.000;1.500;-3.600;;-1.778;0.334;2.130;-0.303;-0.005;0.001;0.001;0.099;
