Mode No.;Node;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
2;33;1.00000;-0.00010;-0.00038;-0.00002;-0.37335;-0.21904;steel top
2;34;0.00000;0.00000;0.00190;0.00000;0.00000;0.00000;concrete part
2;35;0.00002;-0.00006;0.00190;0.00010;-0.00041;-0.00003;concrete top + steel bottom
2;36;-0.00021;0.00062;0.00190;0.00017;0.00012;0.00004;steel top
2;37;-0.00007;0.00003;0.00208;0.00007;0.00030;0.00000;opening node
2;38;-0.00007;0.00003;0.00215;0.00007;0.00029;0.00000;opening node
2;39;-0.00007;0.00004;0.00183;0.00008;0.00037;0.00001;opening node
2;40;-0.00007;0.00004;0.00174;0.00009;0.00038;0.00000;opening node
;;;;;;;;
3;1;0.00000;0.00000;0.00039;0.00000;0.00000;0.00000;concrete part
3;2;-0.00008;-0.00005;0.00039;-0.00002;0.00010;0.00000;concrete top + steel bottom
3;3;-0.00395;-0.00091;0.00040;-0.00018;0.00023;0.00005;steel top
3;4;0.00000;0.00000;0.00003;0.00000;0.00000;0.00000;concrete part
3;5;-0.00008;-0.00003;0.00003;-0.00001;0.00012;0.00000;concrete top + steel bottom
3;6;-0.00428;0.00054;0.00003;0.00014;0.00151;0.00016;steel top
3;7;0.00000;0.00000;-0.00034;0.00000;0.00000;0.00000;concrete part
3;8;-0.00008;-0.00002;-0.00034;-0.00006;0.00011;0.00000;concrete top + steel bottom
3;9;-0.04429;-0.00038;-0.00034;-0.00010;0.01655;0.10997;steel top
3;10;0.00000;0.00000;-0.00002;0.00000;0.00000;0.00000;concrete part
3;11;-0.00008;-0.00002;-0.00002;-0.00001;-0.00029;0.00000;concrete top + steel bottom
3;12;0.08983;-0.00007;-0.00002;-0.00001;-0.03362;-0.22157;steel top
3;13;0.00000;0.00000;0.00032;0.00000;0.00000;0.00000;concrete part
3;14;-0.00008;-0.00001;0.00032;0.00004;0.00010;0.00000;concrete top + steel bottom
3;15;-0.04243;0.00025;0.00032;0.00007;0.01585;0.10551;steel top
3;16;0.00000;0.00000;-0.00005;0.00000;0.00000;0.00000;concrete part
3;17;-0.00008;0.00000;-0.00005;-0.00001;0.00012;0.00000;concrete top + steel bottom
3;18;-0.00394;-0.00019;-0.00005;-0.00005;0.00025;0.00003;steel top
3;19;0.00000;0.00000;0.00033;0.00000;0.00000;0.00000;concrete part
3;20;-0.00010;-0.00005;0.00034;-0.00002;0.00009;0.00001;concrete top + steel bottom
3;21;-0.00227;-0.00091;0.00034;-0.00021;0.00015;0.00004;steel top
3;22;0.00000;0.00000;0.00001;0.00000;0.00000;0.00000;concrete part
3;23;-0.00010;-0.00003;0.00001;0.00000;0.00012;0.00001;concrete top + steel bottom
3;24;-0.00592;0.00054;0.00001;0.00017;0.00204;0.00090;steel top
3;25;0.00000;0.00000;-0.00066;0.00000;0.00000;0.00000;concrete part
3;26;-0.00010;-0.00002;-0.00066;-0.00009;0.00059;0.00003;concrete top + steel bottom
3;27;-0.49602;-0.00038;-0.00066;-0.00009;0.18525;0.10997;steel top
3;28;0.00000;0.00000;-0.00006;0.00000;0.00000;0.00000;concrete part
3;29;-0.00005;-0.00002;-0.00006;-0.00001;-0.00125;-0.00005;concrete top + steel bottom
3;30;1.00000;-0.00007;-0.00006;-0.00001;-0.37353;-0.22157;steel top
3;31;0.00000;0.00000;0.00055;0.00000;0.00000;0.00000;concrete part
3;32;-0.00010;-0.00001;0.00055;0.00007;0.00057;0.00003;concrete top + steel bottom
3;33;-0.47584;0.00025;0.00055;0.00006;0.17771;0.10551;steel top
3;34;0.00000;0.00000;-0.00011;0.00000;0.00000;0.00000;concrete part
3;35;-0.00009;0.00000;-0.00011;-0.00002;0.00013;0.00001;concrete top + steel bottom
3;36;-0.00227;-0.00019;-0.00011;-0.00005;0.00014;0.00004;steel top
3;37;-0.00008;-0.00004;0.00027;-0.00001;0.00011;0.00000;opening node
3;38;-0.00009;-0.00004;0.00026;-0.00001;0.00011;0.00000;opening node
3;39;-0.00008;-0.00004;0.00014;-0.00001;0.00012;0.00001;opening node
3;40;-0.00008;-0.00004;0.00015;-0.00001;0.00013;0.00000;opening node
;;;;;;;;
4;1;0.00000;0.00000;0.03829;0.00000;0.00000;0.00000;concrete part
4;2;-0.00890;-0.00210;0.03831;-0.00185;0.00620;-0.00009;concrete top + steel bottom
4;3;-0.38411;-0.08601;0.03869;-0.01794;0.02380;0.00473;steel top
4;4;0.00000;0.00000;0.02050;0.00000;0.00000;0.00000;concrete part
4;5;-0.00883;-0.00202;0.02051;-0.00106;0.00517;0.00000;concrete top + steel bottom
4;6;-0.29585;0.05043;0.02041;0.01228;0.10488;0.05014;steel top
4;7;0.00000;0.00000;0.00680;0.00000;0.00000;0.00000;concrete part
4;8;-0.00884;-0.00203;0.00680;-0.00108;0.00409;-0.00002;concrete top + steel bottom
4;9;-0.20729;-0.00798;0.00680;-0.00150;0.07209;-0.29389;steel top
4;10;0.00000;0.00000;-0.00445;0.00000;0.00000;0.00000;concrete part
4;11;-0.00887;-0.00212;-0.00445;-0.00094;0.00373;-0.00004;concrete top + steel bottom
4;12;-0.19543;-0.00718;-0.00445;-0.00126;0.06783;-0.27727;steel top
4;13;0.00000;0.00000;-0.01550;0.00000;0.00000;0.00000;concrete part
4;14;-0.00891;-0.00228;-0.01551;-0.00082;0.00398;-0.00006;concrete top + steel bottom
4;15;-0.20470;-0.00656;-0.01551;-0.00104;0.07115;-0.28832;steel top
4;16;0.00000;0.00000;-0.02857;0.00000;0.00000;0.00000;concrete part
4;17;-0.00899;-0.00249;-0.02858;-0.00069;0.00517;-0.00015;concrete top + steel bottom
4;18;-0.38390;-0.01872;-0.02875;-0.00425;0.02605;0.00294;steel top
4;19;0.00000;0.00000;0.03118;0.00000;0.00000;0.00000;concrete part
4;20;-0.00892;-0.00213;0.03119;-0.00178;0.00540;0.00008;concrete top + steel bottom
4;21;-0.20436;-0.08573;0.03118;-0.02027;0.01454;0.00348;steel top
4;22;0.00000;0.00000;0.01559;0.00000;0.00000;0.00000;concrete part
4;23;-0.00886;-0.00202;0.01559;-0.00118;0.00531;0.00004;concrete top + steel bottom
4;24;-0.57096;0.05079;0.01567;0.01572;0.19976;0.10204;steel top
4;25;0.00000;0.00000;0.00221;0.00000;0.00000;0.00000;concrete part
4;26;-0.00872;-0.00203;0.00221;-0.00116;0.00291;-0.00008;concrete top + steel bottom
4;27;0.99997;-0.00798;0.00221;-0.00147;-0.37880;-0.29390;steel top
4;28;0.00000;0.00000;-0.00824;0.00000;0.00000;0.00000;concrete part
4;29;-0.00865;-0.00212;-0.00825;-0.00094;0.00264;-0.00010;concrete top + steel bottom
4;30;0.94354;-0.00718;-0.00825;-0.00126;-0.35753;-0.27727;steel top
4;31;0.00000;0.00000;-0.01857;0.00000;0.00000;0.00000;concrete part
4;32;-0.00862;-0.00228;-0.01858;-0.00075;0.00283;-0.00012;concrete top + steel bottom
4;33;0.97965;-0.00656;-0.01859;-0.00107;-0.37112;-0.28832;steel top
