Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;56;12.000;0.500;-3.600;;-53.711;-8.215;-16.628;22.996;40.230;54.673;8.846;-15.552;
1;57;12.500;0.500;-3.600;;-67.237;-6.897;2.066;50.469;27.138;50.560;-3.129;-19.716;
1;58;13.000;0.500;-3.600;;-40.879;-1.171;7.589;42.948;1.574;49.533;1.631;-22.251;
1;59;13.500;0.500;-3.600;;-17.228;-0.336;10.555;35.274;-0.932;60.495;5.618;-27.304;
1;60;14.000;0.500;-3.600;;7.714;-0.863;9.316;41.795;-4.274;71.390;10.700;-41.585;
1;61;14.500;0.500;-3.600;;34.635;2.533;2.622;43.835;-37.970;51.045;18.286;-51.280;
1;62;15.000;0.500;-3.600;;61.937;11.343;-14.371;35.071;1.407;-3.943;-0.408;-39.268;
1;63;0.000;1.000;-3.600;;25.352;2.352;1.024;5.582;9.526;-21.141;-20.679;3.335;
1;64;0.500;1.000;-3.600;;23.123;0.896;-7.370;-5.348;-38.009;-15.275;32.773;24.444;
1;65;1.000;1.000;-3.600;;10.027;4.771;-11.720;-27.026;31.311;-5.716;-0.560;24.685;
1;66;1.500;1.000;-3.600;;-26.641;3.951;-12.375;-49.915;-3.841;65.526;0.019;29.210;
1;67;2.000;1.000;-3.600;;-37.659;-10.549;-21.869;-29.404;-47.003;106.500;40.767;45.892;
1;68;2.500;1.000;-3.600;;-47.393;-7.094;-7.945;-8.458;50.058;70.423;-2.095;29.833;
1;69;3.000;1.000;-3.600;;-41.465;-4.316;4.141;4.555;20.160;53.892;8.539;10.785;
1;70;3.500;1.000;-3.600;;-27.742;-1.653;1.026;-3.383;-16.745;55.336;14.150;12.510;
1;71;4.000;1.000;-3.600;;-34.213;-2.126;-1.935;-14.150;-5.945;58.786;8.018;11.443;
1;72;4.500;1.000;-3.600;;-44.687;-2.287;-2.818;-18.997;-0.880;62.581;4.441;8.887;
1;73;5.000;1.000;-3.600;;-55.875;-3.109;-2.106;-19.830;3.051;64.654;2.073;6.051;
1;74;5.500;1.000;-3.600;;-65.567;-4.770;0.605;-16.176;12.001;65.876;1.343;2.972;
1;75;6.000;1.000;-3.600;;-66.911;-6.004;4.160;0.926;26.006;66.155;7.242;0.734;
1;76;6.500;1.000;-3.600;;-58.134;-3.797;2.419;5.870;-6.950;67.691;8.226;3.277;
1;77;7.000;1.000;-3.600;;-57.515;-3.176;1.319;1.093;-3.699;69.836;4.970;2.215;
1;78;7.500;1.000;-3.600;;-58.402;-2.833;0.675;-1.918;-2.394;71.260;4.168;0.077;
1;79;8.000;1.000;-3.600;;-59.749;-3.257;0.145;-4.597;-3.064;70.299;4.732;-2.086;
1;80;8.500;1.000;-3.600;;-62.120;-4.077;-0.560;-8.280;-4.934;68.550;7.757;-3.290;
1;81;9.000;1.000;-3.600;;-70.798;-6.219;-1.740;-1.411;25.911;67.224;7.489;-0.854;
1;82;9.500;1.000;-3.600;;-69.054;-4.744;1.028;14.639;9.227;67.208;1.956;-2.297;
1;83;10.000;1.000;-3.600;;-60.816;-3.048;3.090;17.351;1.725;66.382;2.093;-4.997;
1;84;10.500;1.000;-3.600;;-51.374;-2.090;3.359;16.544;-1.784;64.622;4.047;-7.465;
1;85;11.000;1.000;-3.600;;-42.352;-1.815;1.988;12.372;-6.832;60.692;7.383;-9.432;
1;86;11.500;1.000;-3.600;;-36.679;-1.343;-1.485;2.680;-17.930;56.297;13.799;-9.491;
1;87;12.000;1.000;-3.600;;-49.847;-3.573;-6.358;-1.806;22.627;53.752;8.398;-5.222;
1;88;12.500;1.000;-3.600;;-53.235;-3.812;1.714;22.521;26.242;51.360;-0.665;-13.660;
1;89;13.000;1.000;-3.600;;-36.908;-1.993;6.904;32.805;7.595;46.335;5.069;-20.936;
1;90;13.500;1.000;-3.600;;-16.838;-1.268;8.421;34.460;-0.898;38.349;11.283;-27.155;
1;91;14.000;1.000;-3.600;;3.544;-1.519;6.842;30.525;-9.723;24.142;16.933;-30.141;
1;92;14.500;1.000;-3.600;;18.975;-0.434;0.942;18.130;-31.086;8.094;21.395;-23.389;
