Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;88;12.500;1.000;-3.600;;0.292;0.276;0.292;0.015;
1;89;13.000;1.000;-3.600;;0.294;0.273;0.294;0.014;
1;90;13.500;1.000;-3.600;;0.244;0.217;0.244;0.014;
1;91;14.000;1.000;-3.600;;0.214;0.196;0.214;0.013;
1;92;14.500;1.000;-3.600;;0.209;0.198;0.209;0.010;
1;93;15.000;1.000;-3.600;;0.249;0.245;0.249;0.004;
1;94;0.000;1.500;-3.600;;0.283;0.283;0.276;0.005;
1;95;0.500;1.500;-3.600;;0.313;0.306;0.313;0.007;
1;96;1.000;1.500;-3.600;;0.360;0.349;0.360;0.007;
1;98;2.000;1.500;-3.600;;0.501;0.501;0.491;0.007;
1;99;2.500;1.500;-3.600;;0.306;0.306;0.304;0.006;
1;100;3.000;1.500;-3.600;;0.271;0.270;0.271;0.012;
1;101;3.500;1.500;-3.600;;0.270;0.262;0.270;0.013;
1;102;4.000;1.500;-3.600;;0.297;0.272;0.297;0.016;
1;103;4.500;1.500;-3.600;;0.364;0.328;0.364;0.018;
1;104;5.000;1.500;-3.600;;0.392;0.353;0.392;0.020;
1;105;5.500;1.500;-3.600;;0.373;0.333;0.373;0.021;
1;106;6.000;1.500;-3.600;;0.313;0.276;0.313;0.020;
1;107;6.500;1.500;-3.600;;0.343;0.301;0.343;0.021;
1;108;7.000;1.500;-3.600;;0.403;0.360;0.403;0.022;
1;109;7.500;1.500;-3.600;;0.434;0.390;0.434;0.022;
1;110;8.000;1.500;-3.600;;0.417;0.373;0.417;0.022;
1;111;8.500;1.500;-3.600;;0.366;0.324;0.366;0.021;
1;112;9.000;1.500;-3.600;;0.323;0.284;0.323;0.021;
1;113;9.500;1.500;-3.600;;0.373;0.332;0.373;0.021;
1;114;10.000;1.500;-3.600;;0.401;0.361;0.401;0.020;
1;115;10.500;1.500;-3.600;;0.386;0.349;0.386;0.019;
1;116;11.000;1.500;-3.600;;0.327;0.294;0.327;0.017;
1;117;11.500;1.500;-3.600;;0.259;0.252;0.259;0.015;
1;118;12.000;1.500;-3.600;;0.255;0.252;0.255;0.013;
1;119;12.500;1.500;-3.600;;0.268;0.259;0.268;0.013;
1;120;13.000;1.500;-3.600;;0.252;0.242;0.252;0.012;
1;121;13.500;1.500;-3.600;;0.243;0.235;0.243;0.009;
1;122;14.000;1.500;-3.600;;0.267;0.258;0.267;0.007;
1;123;14.500;1.500;-3.600;;0.282;0.277;0.282;0.004;
1;124;15.000;1.500;-3.600;;0.272;0.272;0.264;0.004;
1;125;0.000;2.000;-3.600;;0.295;0.295;0.288;0.004;
1;126;0.500;2.000;-3.600;;0.334;0.330;0.334;0.005;
1;127;1.000;2.000;-3.600;;0.352;0.330;0.352;0.013;
1;128;1.500;2.000;-3.600;;0.375;0.350;0.375;0.013;
1;129;2.000;2.000;-3.600;;0.417;0.409;0.417;0.011;
1;130;2.500;2.000;-3.600;;0.305;0.302;0.305;0.009;
1;131;3.000;2.000;-3.600;;0.286;0.284;0.286;0.010;
1;132;3.500;2.000;-3.600;;0.290;0.285;0.290;0.012;
1;133;4.000;2.000;-3.600;;0.281;0.271;0.281;0.015;
1;134;4.500;2.000;-3.600;;0.349;0.315;0.349;0.017;
1;135;5.000;2.000;-3.600;;0.381;0.343;0.381;0.019;
1;136;5.500;2.000;-3.600;;0.370;0.330;0.370;0.020;
1;137;6.000;2.000;-3.600;;0.323;0.283;0.323;0.020;
1;138;6.500;2.000;-3.600;;0.349;0.308;0.349;0.021;
1;139;7.000;2.000;-3.600;;0.397;0.354;0.397;0.022;
1;140;7.500;2.000;-3.600;;0.423;0.379;0.423;0.022;
1;141;8.000;2.000;-3.600;;0.410;0.367;0.410;0.022;
1;142;8.500;2.000;-3.600;;0.370;0.328;0.370;0.021;
1;143;9.000;2.000;-3.600;;0.334;0.292;0.334;0.021;
1;144;9.500;2.000;-3.600;;0.372;0.331;0.372;0.021;
1;145;10.000;2.000;-3.600;;0.392;0.352;0.392;0.020;
1;146;10.500;2.000;-3.600;;0.375;0.339;0.375;0.018;
1;147;11.000;2.000;-3.600;;0.320;0.288;0.320;0.016;
1;148;11.500;2.000;-3.600;;0.279;0.276;0.279;0.014;
1;149;12.000;2.000;-3.600;;0.273;0.272;0.273;0.013;
1;150;12.500;2.000;-3.600;;0.267;0.267;0.265;0.012;
1;151;13.000;2.000;-3.600;;0.254;0.254;0.252;0.010;
1;152;13.500;2.000;-3.600;;0.265;0.263;0.265;0.006;
1;153;14.000;2.000;-3.600;;0.290;0.284;0.290;0.003;
1;154;14.500;2.000;-3.600;;0.303;0.300;0.303;0.001;
1;155;15.000;2.000;-3.600;;0.288;0.288;0.279;0.004;
1;156;0.000;2.500;-3.600;;0.271;0.271;0.264;0.004;
1;157;0.500;2.500;-3.600;;0.286;0.280;0.286;0.005;
1;158;1.000;2.500;-3.600;;0.225;0.215;0.225;0.007;
1;159;1.500;2.500;-3.600;;0.218;0.201;0.218;0.009;
1;160;2.000;2.500;-3.600;;0.270;0.248;0.270;0.012;
1;161;2.500;2.500;-3.600;;0.247;0.238;0.247;0.014;
1;162;3.000;2.500;-3.600;;0.259;0.257;0.259;0.012;
1;163;3.500;2.500;-3.600;;0.266;0.260;0.266;0.014;
1;164;4.000;2.500;-3.600;;0.286;0.258;0.286;0.016;
1;165;4.500;2.500;-3.600;;0.360;0.324;0.360;0.018;
1;166;5.000;2.500;-3.600;;0.392;0.353;0.392;0.020;
1;167;5.500;2.500;-3.600;;0.374;0.335;0.374;0.021;
1;168;6.000;2.500;-3.600;;0.316;0.280;0.316;0.021;
1;169;6.500;2.500;-3.600;;0.341;0.299;0.341;0.021;
1;170;7.000;2.500;-3.600;;0.401;0.357;0.401;0.022;
1;171;7.500;2.500;-3.600;;0.433;0.389;0.433;0.022;
1;172;8.000;2.500;-3.600;;0.417;0.373;0.417;0.022;
1;173;8.500;2.500;-3.600;;0.366;0.324;0.366;0.021;
1;174;9.000;2.500;-3.600;;0.321;0.282;0.321;0.021;
1;175;9.500;2.500;-3.600;;0.372;0.330;0.372;0.021;
1;176;10.000;2.500;-3.600;;0.400;0.360;0.400;0.021;
1;177;10.500;2.500;-3.600;;0.387;0.349;0.387;0.019;
1;178;11.000;2.500;-3.600;;0.329;0.296;0.329;0.017;
1;179;11.500;2.500;-3.600;;0.263;0.254;0.263;0.015;
1;180;12.000;2.500;-3.600;;0.254;0.251;0.254;0.014;
1;181;12.500;2.500;-3.600;;0.264;0.255;0.264;0.013;
1;182;13.000;2.500;-3.600;;0.250;0.238;0.250;0.012;
1;183;13.500;2.500;-3.600;;0.246;0.237;0.246;0.009;
1;184;14.000;2.500;-3.600;;0.268;0.259;0.268;0.007;
1;185;14.500;2.500;-3.600;;0.282;0.277;0.282;0.004;
1;186;15.000;2.500;-3.600;;0.272;0.272;0.264;0.004;
1;187;0.000;3.000;-3.600;;0.296;0.293;0.296;0.004;
1;188;0.500;3.000;-3.600;;0.203;0.192;0.203;0.010;
1;189;1.000;3.000;-3.600;;0.183;0.169;0.183;0.011;
1;190;1.500;3.000;-3.600;;0.209;0.184;0.209;0.012;
1;191;2.000;3.000;-3.600;;0.279;0.255;0.279;0.014;
1;192;2.500;3.000;-3.600;;0.282;0.261;0.282;0.015;
1;193;3.000;3.000;-3.600;;0.211;0.206;0.211;0.014;
1;194;3.500;3.000;-3.600;;0.199;0.184;0.199;0.017;
1;195;4.000;3.000;-3.600;;0.308;0.271;0.308;0.019;
1;196;4.500;3.000;-3.600;;0.399;0.359;0.399;0.020;
1;197;5.000;3.000;-3.600;;0.427;0.387;0.427;0.021;
1;198;5.500;3.000;-3.600;;0.389;0.351;0.389;0.021;
1;199;6.000;3.000;-3.600;;0.271;0.240;0.271;0.021;
1;200;6.500;3.000;-3.600;;0.318;0.275;0.318;0.022;
1;201;7.000;3.000;-3.600;;0.422;0.376;0.422;0.023;
1;202;7.500;3.000;-3.600;;0.470;0.422;0.470;0.024;
1;203;8.000;3.000;-3.600;;0.443;0.397;0.443;0.023;
1;204;8.500;3.000;-3.600;;0.356;0.313;0.356;0.022;
