Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;76;6.500;1.000;-3.600;;1.532;1.263;1.532;0.136;
1;77;7.000;1.000;-3.600;;1.521;1.242;1.521;0.140;
1;78;7.500;1.000;-3.600;;1.544;1.259;1.544;0.143;
1;79;8.000;1.000;-3.600;;1.575;1.293;1.575;0.141;
1;80;8.500;1.000;-3.600;;1.628;1.354;1.628;0.137;
1;81;9.000;1.000;-3.600;;1.835;1.566;1.835;0.135;
1;82;9.500;1.000;-3.600;;1.792;1.523;1.792;0.135;
1;83;10.000;1.000;-3.600;;1.597;1.330;1.597;0.134;
1;84;10.500;1.000;-3.600;;1.369;1.108;1.369;0.131;
1;85;11.000;1.000;-3.600;;1.142;0.896;1.142;0.125;
1;86;11.500;1.000;-3.600;;0.993;0.772;0.993;0.117;
1;87;12.000;1.000;-3.600;;1.338;1.155;1.338;0.109;
1;88;12.500;1.000;-3.600;;1.384;1.175;1.384;0.118;
1;89;13.000;1.000;-3.600;;1.023;0.813;1.023;0.118;
1;90;13.500;1.000;-3.600;;0.668;0.435;0.668;0.121;
1;91;14.000;1.000;-3.600;;0.462;0.248;0.462;0.121;
1;92;14.500;1.000;-3.600;;0.512;0.473;0.512;0.097;
1;93;15.000;1.000;-3.600;;0.675;0.660;0.675;0.052;
1;94;0.000;1.500;-3.600;;0.394;0.394;0.388;0.066;
1;95;0.500;1.500;-3.600;;0.508;0.331;0.508;0.094;
1;96;1.000;1.500;-3.600;;0.436;0.253;0.436;0.118;
1;98;2.000;1.500;-3.600;;0.554;0.490;0.554;0.049;
1;99;2.500;1.500;-3.600;;0.826;0.730;0.826;0.067;
1;100;3.000;1.500;-3.600;;0.962;0.790;0.962;0.104;
1;101;3.500;1.500;-3.600;;0.858;0.659;0.858;0.102;
1;102;4.000;1.500;-3.600;;0.983;0.761;0.983;0.113;
1;103;4.500;1.500;-3.600;;1.196;0.953;1.196;0.122;
1;104;5.000;1.500;-3.600;;1.433;1.175;1.433;0.129;
1;105;5.500;1.500;-3.600;;1.623;1.358;1.623;0.133;
1;106;6.000;1.500;-3.600;;1.668;1.400;1.668;0.134;
1;107;6.500;1.500;-3.600;;1.575;1.303;1.575;0.136;
1;108;7.000;1.500;-3.600;;1.550;1.273;1.550;0.139;
1;109;7.500;1.500;-3.600;;1.558;1.278;1.558;0.140;
1;110;8.000;1.500;-3.600;;1.597;1.318;1.597;0.140;
1;111;8.500;1.500;-3.600;;1.658;1.383;1.658;0.138;
1;112;9.000;1.500;-3.600;;1.764;1.492;1.764;0.136;
1;113;9.500;1.500;-3.600;;1.728;1.458;1.728;0.135;
1;114;10.000;1.500;-3.600;;1.571;1.306;1.571;0.133;
1;115;10.500;1.500;-3.600;;1.376;1.123;1.376;0.127;
1;116;11.000;1.500;-3.600;;1.204;0.967;1.204;0.119;
1;117;11.500;1.500;-3.600;;1.109;0.889;1.109;0.111;
1;118;12.000;1.500;-3.600;;1.221;1.031;1.221;0.105;
1;119;12.500;1.500;-3.600;;1.197;1.016;1.197;0.096;
