Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-12.33;-3.47;113.71;-3.40;10.63;0.06;concrete part
4;;-11.06;-3.26;114.65;-3.22;9.19;0.03;concrete part
7;;-4.54;-2.99;115.36;-2.98;1.64;0.00;concrete part
10;;3.63;-2.95;115.64;-3.00;-7.82;-0.05;concrete part
13;;10.75;-3.06;115.51;-3.20;-16.07;-0.08;concrete part
16;;12.93;-3.35;115.09;-3.60;-18.57;-0.11;concrete part
19;;-12.15;3.27;113.78;4.47;10.34;-0.11;concrete part
22;;-10.80;3.13;114.71;4.23;8.80;-0.09;concrete part
25;;-4.27;3.05;115.40;4.07;1.24;-0.05;concrete part
28;;3.85;3.08;115.68;4.04;-8.16;-0.01;concrete part
31;;10.92;3.18;115.54;4.08;-16.35;0.03;concrete part
34;;13.07;3.36;115.12;4.24;-18.82;0.06;concrete part
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
34;P_x;13.07;3.36;115.12;4.24;-18.82;0.06;concrete part
1;P_x;-12.33;-3.47;113.71;-3.40;10.63;0.06;concrete part
34;P_y;13.07;3.36;115.12;4.24;-18.82;0.06;concrete part
1;P_y;-12.33;-3.47;113.71;-3.40;10.63;0.06;concrete part
28;P_z;3.85;3.08;115.68;4.04;-8.16;-0.01;concrete part
1;P_z;-12.33;-3.47;113.71;-3.40;10.63;0.06;concrete part
19;M_x;-12.15;3.27;113.78;4.47;10.34;-0.11;concrete part
16;M_x;12.93;-3.35;115.09;-3.60;-18.57;-0.11;concrete part
1;M_y;-12.33;-3.47;113.71;-3.40;10.63;0.06;concrete part
34;M_y;13.07;3.36;115.12;4.24;-18.82;0.06;concrete part
34;M_z;13.07;3.36;115.12;4.24;-18.82;0.06;concrete part
16;M_z;12.93;-3.35;115.09;-3.60;-18.57;-0.11;concrete part
;;;;;;;;
;Sum of loads and the sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;1380.19;Loads;;;
Σ;;0.00;0.00;1380.19;Support Forces;;;
