Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
2;;2.6666666666666665;R | E;u_y;485.6;-484.6;-30.8;2.7;0.1;-0.7;-2.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;3.1111111111111112;E;u_z;485.6;-484.7;-29.5;2.8;0.1;0.3;8.7;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;u_z;484.1;-484.1;-0.1;-0.9;0.0;0.4;-1.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;φ_x;484.9;-484.8;-9.1;1.4;0.1;3.4;39.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;φ_x;484.1;-484.1;-0.1;-0.9;0.0;0.4;-1.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;φ_y;484.9;-484.8;-9.1;1.4;0.1;3.4;39.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.7777777777777775;E;φ_y;485.0;-484.5;-22.2;1.4;0.0;-1.7;-14.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;φ_z;484.9;-484.8;-9.1;1.4;0.1;3.4;39.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.3333333333333330;R | E;φ_z;484.6;-484.4;-15.1;0.5;0.0;-1.7;-16.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;485.6;-484.1;-0.1;2.8;0.1;3.4;39.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;;;;484.1;-484.8;-30.8;-0.9;0.0;-1.7;-16.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;;
3;4;0.0000000000000000;L | M;;480.5;-480.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.3600000000000000;E;;480.5;-480.5;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.7200000000000001;E;;480.5;-480.5;0.0;0.1;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
