Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Bach [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Bach,+;ε_eqv,Bach,-;ε_eqv,Bach;Surface Comment
1;107;6.500;1.500;-3.600;;0.01;0.01;0.01;
1;108;7.000;1.500;-3.600;;0.01;0.01;0.01;
1;109;7.500;1.500;-3.600;;0.01;0.01;0.01;
1;110;8.000;1.500;-3.600;;0.01;0.01;0.01;
1;111;8.500;1.500;-3.600;;0.01;0.01;0.01;
1;112;9.000;1.500;-3.600;;0.01;0.01;0.01;
1;113;9.500;1.500;-3.600;;0.01;0.01;0.01;
1;114;10.000;1.500;-3.600;;0.01;0.01;0.01;
1;115;10.500;1.500;-3.600;;0.01;0.01;0.01;
1;116;11.000;1.500;-3.600;;0.01;0.01;0.01;
1;117;11.500;1.500;-3.600;;0.01;0.01;0.01;
1;118;12.000;1.500;-3.600;;0.01;0.01;0.01;
1;119;12.500;1.500;-3.600;;0.01;0.01;0.01;
1;120;13.000;1.500;-3.600;;0.01;0.01;0.01;
1;121;13.500;1.500;-3.600;;0.01;0.01;0.01;
1;122;14.000;1.500;-3.600;;0.01;0.01;0.01;
1;123;14.500;1.500;-3.600;;0.01;0.01;0.01;
1;124;15.000;1.500;-3.600;;0.01;0.01;0.01;
1;125;0.000;2.000;-3.600;;0.01;0.01;0.01;
1;126;0.500;2.000;-3.600;;0.01;0.01;0.01;
1;127;1.000;2.000;-3.600;;0.01;0.01;0.01;
1;128;1.500;2.000;-3.600;;0.01;0.01;0.01;
1;129;2.000;2.000;-3.600;;0.01;0.01;0.01;
1;130;2.500;2.000;-3.600;;0.01;0.01;0.01;
1;131;3.000;2.000;-3.600;;0.01;0.01;0.01;
1;132;3.500;2.000;-3.600;;0.01;0.01;0.01;
1;133;4.000;2.000;-3.600;;0.01;0.01;0.01;
1;134;4.500;2.000;-3.600;;0.01;0.01;0.01;
1;135;5.000;2.000;-3.600;;0.01;0.01;0.01;
1;136;5.500;2.000;-3.600;;0.01;0.01;0.01;
1;137;6.000;2.000;-3.600;;0.01;0.01;0.01;
1;138;6.500;2.000;-3.600;;0.01;0.01;0.01;
1;139;7.000;2.000;-3.600;;0.01;0.01;0.01;
1;140;7.500;2.000;-3.600;;0.01;0.01;0.01;
1;141;8.000;2.000;-3.600;;0.01;0.01;0.01;
1;142;8.500;2.000;-3.600;;0.01;0.01;0.01;
1;143;9.000;2.000;-3.600;;0.01;0.01;0.01;
1;144;9.500;2.000;-3.600;;0.01;0.01;0.01;
1;145;10.000;2.000;-3.600;;0.01;0.01;0.01;
1;146;10.500;2.000;-3.600;;0.01;0.01;0.01;
1;147;11.000;2.000;-3.600;;0.01;0.01;0.01;
1;148;11.500;2.000;-3.600;;0.01;0.01;0.01;
1;149;12.000;2.000;-3.600;;0.01;0.01;0.01;
1;150;12.500;2.000;-3.600;;0.01;0.01;0.01;
1;151;13.000;2.000;-3.600;;0.01;0.01;0.01;
1;152;13.500;2.000;-3.600;;0.01;0.01;0.01;
1;153;14.000;2.000;-3.600;;0.01;0.01;0.01;
1;154;14.500;2.000;-3.600;;0.01;0.01;0.01;
1;155;15.000;2.000;-3.600;;0.01;0.01;0.01;
1;156;0.000;2.500;-3.600;;0.01;0.01;0.01;
1;157;0.500;2.500;-3.600;;0.01;0.01;0.01;
1;158;1.000;2.500;-3.600;;0.01;0.01;0.01;
1;159;1.500;2.500;-3.600;;0.01;0.01;0.01;
1;160;2.000;2.500;-3.600;;0.01;0.01;0.01;
1;161;2.500;2.500;-3.600;;0.01;0.01;0.01;
1;162;3.000;2.500;-3.600;;0.01;0.01;0.01;
1;163;3.500;2.500;-3.600;;0.01;0.01;0.01;
1;164;4.000;2.500;-3.600;;0.01;0.01;0.01;
1;165;4.500;2.500;-3.600;;0.01;0.01;0.01;
1;166;5.000;2.500;-3.600;;0.01;0.01;0.01;
1;167;5.500;2.500;-3.600;;0.01;0.01;0.01;
1;168;6.000;2.500;-3.600;;0.01;0.01;0.01;
1;169;6.500;2.500;-3.600;;0.01;0.01;0.01;
1;170;7.000;2.500;-3.600;;0.01;0.01;0.01;
1;171;7.500;2.500;-3.600;;0.01;0.01;0.01;
1;172;8.000;2.500;-3.600;;0.01;0.01;0.01;
1;173;8.500;2.500;-3.600;;0.01;0.01;0.01;
1;174;9.000;2.500;-3.600;;0.01;0.01;0.01;
1;175;9.500;2.500;-3.600;;0.01;0.01;0.01;
1;176;10.000;2.500;-3.600;;0.01;0.01;0.01;
1;177;10.500;2.500;-3.600;;0.01;0.01;0.01;
1;178;11.000;2.500;-3.600;;0.01;0.01;0.01;
1;179;11.500;2.500;-3.600;;0.01;0.01;0.01;
1;180;12.000;2.500;-3.600;;0.01;0.01;0.01;
1;181;12.500;2.500;-3.600;;0.01;0.01;0.01;
1;182;13.000;2.500;-3.600;;0.01;0.01;0.01;
1;183;13.500;2.500;-3.600;;0.01;0.01;0.01;
1;184;14.000;2.500;-3.600;;0.01;0.01;0.01;
1;185;14.500;2.500;-3.600;;0.01;0.01;0.01;
1;186;15.000;2.500;-3.600;;0.01;0.01;0.01;
1;187;0.000;3.000;-3.600;;0.01;0.01;0.01;
1;188;0.500;3.000;-3.600;;0.01;0.01;0.01;
1;189;1.000;3.000;-3.600;;0.01;0.01;0.01;
1;190;1.500;3.000;-3.600;;0.01;0.01;0.01;
1;191;2.000;3.000;-3.600;;0.01;0.01;0.01;
1;192;2.500;3.000;-3.600;;0.01;0.01;0.01;
1;193;3.000;3.000;-3.600;;0.01;0.01;0.01;
1;194;3.500;3.000;-3.600;;0.01;0.01;0.01;
1;195;4.000;3.000;-3.600;;0.01;0.01;0.01;
1;196;4.500;3.000;-3.600;;0.01;0.01;0.01;
1;197;5.000;3.000;-3.600;;0.01;0.01;0.01;
1;198;5.500;3.000;-3.600;;0.01;0.01;0.01;
1;199;6.000;3.000;-3.600;;0.01;0.01;0.01;
1;200;6.500;3.000;-3.600;;0.01;0.01;0.01;
1;201;7.000;3.000;-3.600;;0.01;0.01;0.01;
1;202;7.500;3.000;-3.600;;0.01;0.02;0.02;
1;203;8.000;3.000;-3.600;;0.01;0.01;0.01;
1;204;8.500;3.000;-3.600;;0.01;0.01;0.01;
1;205;9.000;3.000;-3.600;;0.01;0.01;0.01;
1;206;9.500;3.000;-3.600;;0.01;0.01;0.01;
1;207;10.000;3.000;-3.600;;0.01;0.01;0.01;
1;208;10.500;3.000;-3.600;;0.01;0.01;0.01;
1;209;11.000;3.000;-3.600;;0.01;0.01;0.01;
1;210;11.500;3.000;-3.600;;0.01;0.01;0.01;
1;211;12.000;3.000;-3.600;;0.01;0.01;0.01;
1;212;12.500;3.000;-3.600;;0.01;0.01;0.01;
1;213;13.000;3.000;-3.600;;0.01;0.01;0.01;
1;214;13.500;3.000;-3.600;;0.01;0.01;0.01;
1;215;14.000;3.000;-3.600;;0.01;0.01;0.01;
1;216;14.500;3.000;-3.600;;0.01;0.01;0.01;
1;217;15.000;3.000;-3.600;;0.01;0.01;0.01;
1;218;0.000;3.500;-3.600;;0.02;0.02;0.02;
1;219;0.500;3.500;-3.600;;0.01;0.01;0.01;
1;220;1.000;3.500;-3.600;;0.00;0.01;0.01;
1;221;1.500;3.500;-3.600;;0.01;0.01;0.01;
1;222;2.000;3.500;-3.600;;0.01;0.01;0.01;
1;223;2.500;3.500;-3.600;;0.01;0.01;0.01;
1;224;3.000;3.500;-3.600;;0.01;0.01;0.01;
