Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;17;8.000;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;18;8.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;18;8.500;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;19;9.000;0.000;-3.600;max;0.003;0.002;0.003;0.000;
1;19;9.000;0.000;-3.600;min;0.002;0.002;0.002;0.000;
1;20;9.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;20;9.500;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;21;10.000;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;21;10.000;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;22;10.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;22;10.500;0.000;-3.600;min;0.001;0.000;0.000;0.000;
1;23;11.000;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;23;11.000;0.000;-3.600;min;0.001;0.000;0.000;0.000;
1;24;11.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;24;11.500;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;25;12.000;0.000;-3.600;max;0.003;0.002;0.003;0.000;
1;25;12.000;0.000;-3.600;min;0.002;0.002;0.002;0.000;
1;26;12.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;26;12.500;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;27;13.000;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;27;13.000;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;28;13.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;28;13.500;0.000;-3.600;min;0.001;0.000;0.000;0.000;
1;29;14.000;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;29;14.000;0.000;-3.600;min;0.001;0.000;0.000;0.000;
1;30;14.500;0.000;-3.600;max;0.001;0.001;0.001;0.000;
1;30;14.500;0.000;-3.600;min;0.001;0.001;0.001;0.000;
1;31;15.000;0.000;-3.600;max;0.002;0.002;0.002;0.001;
1;31;15.000;0.000;-3.600;min;0.002;0.001;0.001;0.001;
1;32;0.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;32;0.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;33;0.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;33;0.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;34;1.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;34;1.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;35;1.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;35;1.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;36;2.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;36;2.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;37;2.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;37;2.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;38;3.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;38;3.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;39;3.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;39;3.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;40;4.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;40;4.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;41;4.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;41;4.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;42;5.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;42;5.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;43;5.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;43;5.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;44;6.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;44;6.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;45;6.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;45;6.500;0.500;-3.600;min;0.001;0.000;0.000;0.000;
1;46;7.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;46;7.000;0.500;-3.600;min;0.001;0.000;0.000;0.000;
1;47;7.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;47;7.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;48;8.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;48;8.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;49;8.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;49;8.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;50;9.000;0.500;-3.600;max;0.002;0.001;0.002;0.000;
1;50;9.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;51;9.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;51;9.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;52;10.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;52;10.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;53;10.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;53;10.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;54;11.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;54;11.000;0.500;-3.600;min;0.001;0.000;0.000;0.000;
1;55;11.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;55;11.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;56;12.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;56;12.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
