Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;1;0.000;0.000;-3.600;;0.000;-7.724;-63.744;75.154;27.013;-30.699;0.000;-9.689;-45.272;
1;2;0.500;0.000;-3.600;;0.000;1.496;-21.658;22.028;0.000;-1.866;0.000;-0.717;-25.816;
1;3;1.000;0.000;-3.600;;3.261;3.728;-4.329;1.067;0.601;-4.329;0.000;-0.060;-14.138;
1;4;1.500;0.000;-3.600;;12.905;2.934;-4.791;0.000;0.008;-11.055;0.000;-0.241;-7.148;
1;5;2.000;0.000;-3.600;;16.869;1.195;-0.802;0.000;-0.785;-16.478;0.000;0.355;-0.644;
1;6;2.500;0.000;-3.600;;21.112;2.369;-3.338;0.000;-0.557;-19.586;9.401;3.679;-3.739;
1;7;3.000;0.000;-3.600;;9.244;-2.711;-28.874;25.360;14.430;-17.449;11.821;1.623;-28.624;
1;8;3.500;0.000;-3.600;;0.000;3.896;-7.379;8.761;1.021;-6.299;0.000;-0.511;-23.822;
1;9;4.000;0.000;-3.600;;17.400;4.185;-6.288;0.000;-0.347;-14.949;0.000;-0.038;-14.326;
1;10;4.500;0.000;-3.600;;21.393;1.970;-2.547;0.000;-0.615;-20.200;0.000;0.280;-10.502;
1;11;5.000;0.000;-3.600;;22.819;1.509;-1.237;0.000;-0.874;-22.218;0.000;0.197;-7.995;
1;12;5.500;0.000;-3.600;;22.264;3.766;-5.812;0.000;-0.424;-19.795;0.000;1.170;-5.196;
1;13;6.000;0.000;-3.600;;1.993;-4.585;-14.636;13.559;11.242;-7.573;0.000;-2.726;-14.884;
1;14;6.500;0.000;-3.600;;11.054;4.185;-6.484;0.000;0.403;-9.158;0.000;0.003;-17.383;
1;15;7.000;0.000;-3.600;;22.679;3.049;-4.201;0.000;-0.734;-20.793;0.000;0.059;-13.360;
1;16;7.500;0.000;-3.600;;23.555;0.974;-0.617;0.000;-0.662;-23.251;0.000;0.299;-12.417;
1;17;8.000;0.000;-3.600;;23.453;2.454;-3.043;0.000;-0.828;-22.037;0.000;0.078;-12.944;
1;18;8.500;0.000;-3.600;;14.967;4.315;-6.159;0.000;-0.438;-12.686;0.000;0.106;-16.127;
1;19;9.000;0.000;-3.600;;0.000;-5.915;-11.035;12.291;7.559;-2.899;0.000;-3.269;-14.375;
1;20;9.500;0.000;-3.600;;18.824;4.245;-6.296;0.000;-0.465;-16.309;0.000;0.921;-6.381;
1;21;10.000;0.000;-3.600;;23.122;2.178;-2.498;0.000;-0.858;-21.944;0.000;0.170;-8.414;
1;22;10.500;0.000;-3.600;;21.911;1.263;-1.206;0.000;-0.642;-21.324;0.000;0.273;-10.404;
1;23;11.000;0.000;-3.600;;19.262;3.335;-4.796;0.000;-0.596;-17.205;0.000;-0.037;-13.711;
1;24;11.500;0.000;-3.600;;3.280;4.734;-6.217;2.937;1.483;-6.217;0.000;-0.506;-22.462;
1;25;12.000;0.000;-3.600;;4.095;-3.779;-21.940;20.612;12.906;-11.895;11.963;1.982;-27.324;
1;26;12.500;0.000;-3.600;;19.900;3.494;-5.322;0.000;-0.422;-17.649;8.760;4.200;-4.903;
1;27;13.000;0.000;-3.600;;17.280;1.224;-0.663;0.000;-0.886;-16.955;0.000;0.269;-1.482;
1;28;13.500;0.000;-3.600;;14.499;2.248;-2.978;0.000;-0.588;-13.181;0.000;0.175;-6.540;
1;29;14.000;0.000;-3.600;;7.876;4.703;-5.998;0.000;0.140;-6.721;0.000;-0.201;-12.640;
1;30;14.500;0.000;-3.600;;0.000;1.905;-17.077;18.192;0.000;-3.020;0.000;-0.871;-25.156;
1;31;15.000;0.000;-3.600;;0.000;-8.729;-57.676;67.404;24.303;-25.301;0.000;-10.305;-47.214;
1;32;0.000;0.500;-3.600;;0.000;-0.611;-30.182;35.800;10.542;-15.549;4.122;1.602;-6.702;
1;33;0.500;0.500;-3.600;;0.000;2.061;-12.231;12.417;0.000;-2.248;0.000;1.513;-9.252;
1;34;1.000;0.500;-3.600;;2.570;4.396;-3.496;0.331;0.000;-3.802;0.000;3.590;-11.049;
1;35;1.500;0.500;-3.600;;11.821;3.070;-2.235;0.000;-1.836;-10.820;0.000;3.172;-10.133;
1;36;2.000;0.500;-3.600;;16.580;4.370;-2.565;0.000;-2.980;-15.405;0.000;0.369;-7.384;
1;37;2.500;0.500;-3.600;;15.924;6.075;-1.518;0.000;-5.278;-15.203;0.000;3.192;-8.445;
1;38;3.000;0.500;-3.600;;6.286;6.727;-10.224;8.656;-1.793;-9.652;0.000;-0.479;-10.178;
1;39;3.500;0.500;-3.600;;4.143;6.540;-4.720;-0.450;0.000;-5.513;0.000;-0.254;-12.184;
1;40;4.000;0.500;-3.600;;16.458;7.615;-6.442;0.000;-3.610;-14.020;0.000;-0.120;-12.826;
1;41;4.500;0.500;-3.600;;20.285;6.007;-2.769;0.000;-4.521;-19.002;0.000;-0.104;-11.140;
1;42;5.000;0.500;-3.600;;21.174;5.641;-1.453;0.000;-4.889;-20.473;0.000;0.054;-10.241;
1;43;5.500;0.500;-3.600;;20.677;8.123;-5.011;0.000;-5.272;-18.517;0.000;0.159;-10.383;
1;44;6.000;0.500;-3.600;;6.201;6.819;-3.277;0.596;-3.391;-6.949;0.000;-2.448;-10.956;
1;45;6.500;0.500;-3.600;;13.786;7.456;-4.860;0.000;-4.506;-11.876;0.000;-1.053;-12.305;
1;46;7.000;0.500;-3.600;;21.409;6.884;-4.299;0.000;-4.495;-19.499;0.000;-0.611;-13.134;
1;47;7.500;0.500;-3.600;;22.245;5.190;-0.732;0.000;-4.818;-21.886;0.000;-0.503;-12.810;
1;48;8.000;0.500;-3.600;;21.938;6.371;-3.009;0.000;-4.756;-20.545;0.000;-0.604;-12.938;
