Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;49;8.500;0.500;-3.600;max;0.00;0.00;0.00;
1;49;8.500;0.500;-3.600;min;0.00;0.00;0.00;
1;50;9.000;0.500;-3.600;max;0.00;0.00;0.00;
1;50;9.000;0.500;-3.600;min;0.00;0.00;0.00;
1;51;9.500;0.500;-3.600;max;0.00;0.00;0.00;
1;51;9.500;0.500;-3.600;min;0.00;0.00;0.00;
1;52;10.000;0.500;-3.600;max;0.00;0.00;0.00;
1;52;10.000;0.500;-3.600;min;0.00;0.00;0.00;
1;53;10.500;0.500;-3.600;max;0.00;0.00;0.00;
1;53;10.500;0.500;-3.600;min;0.00;0.00;0.00;
1;54;11.000;0.500;-3.600;max;0.00;0.00;0.00;
1;54;11.000;0.500;-3.600;min;0.00;0.00;0.00;
1;55;11.500;0.500;-3.600;max;0.00;0.00;0.00;
1;55;11.500;0.500;-3.600;min;0.00;0.00;0.00;
1;56;12.000;0.500;-3.600;max;0.00;0.00;0.00;
1;56;12.000;0.500;-3.600;min;0.00;0.00;0.00;
1;57;12.500;0.500;-3.600;max;0.00;0.00;0.00;
1;57;12.500;0.500;-3.600;min;0.00;0.00;0.00;
1;58;13.000;0.500;-3.600;max;0.00;0.00;0.00;
1;58;13.000;0.500;-3.600;min;0.00;0.00;0.00;
1;59;13.500;0.500;-3.600;max;0.00;0.00;0.00;
1;59;13.500;0.500;-3.600;min;0.00;0.00;0.00;
1;60;14.000;0.500;-3.600;max;0.00;0.00;0.00;
1;60;14.000;0.500;-3.600;min;0.00;0.00;0.00;
1;61;14.500;0.500;-3.600;max;0.00;0.00;0.00;
1;61;14.500;0.500;-3.600;min;0.00;0.00;0.00;
1;62;15.000;0.500;-3.600;max;0.00;0.00;0.00;
1;62;15.000;0.500;-3.600;min;0.00;0.00;0.00;
1;63;0.000;1.000;-3.600;max;0.00;0.00;0.00;
1;63;0.000;1.000;-3.600;min;0.00;0.00;0.00;
1;64;0.500;1.000;-3.600;max;0.00;0.00;0.00;
1;64;0.500;1.000;-3.600;min;0.00;0.00;0.00;
1;65;1.000;1.000;-3.600;max;0.00;0.00;0.00;
1;65;1.000;1.000;-3.600;min;0.00;0.00;0.00;
1;66;1.500;1.000;-3.600;max;0.00;0.00;0.00;
1;66;1.500;1.000;-3.600;min;0.00;0.00;0.00;
1;67;2.000;1.000;-3.600;max;0.00;0.00;0.00;
1;67;2.000;1.000;-3.600;min;0.00;0.00;0.00;
1;68;2.500;1.000;-3.600;max;0.00;0.00;0.00;
1;68;2.500;1.000;-3.600;min;0.00;0.00;0.00;
1;69;3.000;1.000;-3.600;max;0.00;0.00;0.00;
1;69;3.000;1.000;-3.600;min;0.00;0.00;0.00;
1;70;3.500;1.000;-3.600;max;0.00;0.00;0.00;
1;70;3.500;1.000;-3.600;min;0.00;0.00;0.00;
1;71;4.000;1.000;-3.600;max;0.00;0.00;0.00;
1;71;4.000;1.000;-3.600;min;0.00;0.00;0.00;
1;72;4.500;1.000;-3.600;max;0.00;0.00;0.00;
1;72;4.500;1.000;-3.600;min;0.00;0.00;0.00;
1;73;5.000;1.000;-3.600;max;0.00;0.00;0.00;
1;73;5.000;1.000;-3.600;min;0.00;0.00;0.00;
1;74;5.500;1.000;-3.600;max;0.00;0.00;0.00;
1;74;5.500;1.000;-3.600;min;0.00;0.00;0.00;
1;75;6.000;1.000;-3.600;max;0.00;0.00;0.00;
1;75;6.000;1.000;-3.600;min;0.00;0.00;0.00;
1;76;6.500;1.000;-3.600;max;0.00;0.00;0.00;
1;76;6.500;1.000;-3.600;min;0.00;0.00;0.00;
1;77;7.000;1.000;-3.600;max;0.00;0.00;0.00;
1;77;7.000;1.000;-3.600;min;0.00;0.00;0.00;
1;78;7.500;1.000;-3.600;max;0.00;0.00;0.00;
1;78;7.500;1.000;-3.600;min;0.00;0.00;0.00;
1;79;8.000;1.000;-3.600;max;0.00;0.00;0.00;
1;79;8.000;1.000;-3.600;min;0.00;0.00;0.00;
1;80;8.500;1.000;-3.600;max;0.00;0.00;0.00;
1;80;8.500;1.000;-3.600;min;0.00;0.00;0.00;
1;81;9.000;1.000;-3.600;max;0.00;0.00;0.00;
1;81;9.000;1.000;-3.600;min;0.00;0.00;0.00;
1;82;9.500;1.000;-3.600;max;0.00;0.00;0.00;
1;82;9.500;1.000;-3.600;min;0.00;0.00;0.00;
1;83;10.000;1.000;-3.600;max;0.00;0.00;0.00;
1;83;10.000;1.000;-3.600;min;0.00;0.00;0.00;
