Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
1;34;15;0.000;0.58301;0.00351;0.08325;0.00067;-0.19442;-0.10062;steel beam
1;34;33;4.000;0.99633;0.00351;0.08547;0.00069;-0.34866;-0.10062;steel beam
1;35;17;0.000;0.03861;0.00052;0.14093;0.00048;-0.01936;-0.00004;concrete beam
1;35;35;4.000;0.03895;0.00052;0.14292;0.00049;-0.01899;-0.00009;concrete beam
1;36;18;0.000;0.54585;0.01007;0.14127;0.00261;-0.04506;-0.00285;steel beam
1;36;36;4.000;0.39804;0.01007;0.14323;0.00269;-0.03554;-0.00346;steel beam
1;37;3;0.000;0.54607;0.07415;-0.14554;0.01481;-0.04278;-0.00474;timber beam
1;37;18;15.000;0.54585;0.01007;0.14127;0.00261;-0.04506;-0.00285;timber beam
1;38;21;0.000;0.39797;0.07387;-0.14012;0.01738;-0.03557;-0.00342;timber beam
1;38;36;15.000;0.39804;0.01007;0.14323;0.00269;-0.03554;-0.00346;timber beam
1;39;3;0.000;0.54607;0.07415;-0.14554;0.01481;-0.04278;-0.00474;Aluminium beam
1;39;24;5.000;0.72146;-0.05398;-0.08422;-0.01689;-0.23701;-0.09693;Aluminium beam
;;;;;;;;;;
2;1;1;0.000;0.00000;0.00000;0.00229;0.00000;0.00000;0.00000;concrete column
2;1;2;3.600;-0.00007;0.00003;0.00229;0.00006;0.00022;0.00000;concrete column
2;2;2;0.000;-0.00007;0.00003;0.00229;0.00006;0.00022;0.00000;steel column
2;2;3;4.000;-0.00192;-0.00009;0.00230;-0.00001;0.00010;0.00006;steel column
2;3;4;0.000;0.00000;0.00000;0.00126;0.00000;0.00000;0.00000;concrete column
2;3;5;3.600;-0.00007;0.00004;0.00126;0.00007;0.00038;0.00000;concrete column
2;4;5;0.000;-0.00007;0.00004;0.00126;0.00007;0.00038;0.00000;steel column
2;4;6;4.000;-0.01130;0.00104;0.00126;0.00025;0.00402;-0.00253;steel column
2;5;7;0.000;0.00000;0.00000;-0.00035;0.00000;0.00000;0.00000;concrete column
2;5;8;3.600;-0.00006;0.00005;-0.00035;-0.00001;0.00057;0.00000;concrete column
2;6;8;0.000;-0.00006;0.00005;-0.00035;-0.00001;0.00057;0.00000;steel column
2;6;9;4.000;-0.09917;-0.00003;-0.00035;-0.00003;0.03691;0.21467;steel column
2;7;10;0.000;0.00000;0.00000;-0.00131;0.00000;0.00000;0.00000;concrete column
2;7;11;3.600;-0.00006;0.00005;-0.00131;-0.00010;0.00000;-0.00001;concrete column
2;8;11;0.000;-0.00006;0.00005;-0.00131;-0.00010;0.00000;-0.00001;steel column
2;8;12;4.000;-0.00145;-0.00065;-0.00131;-0.00020;0.00052;0.00230;steel column
2;9;13;0.000;0.00000;0.00000;-0.00028;0.00000;0.00000;0.00000;concrete column
2;9;14;3.600;-0.00006;0.00001;-0.00028;-0.00001;-0.00059;-0.00001;concrete column
2;10;14;0.000;-0.00006;0.00001;-0.00028;-0.00001;-0.00059;-0.00001;steel column
2;10;15;4.000;0.10024;-0.00010;-0.00028;-0.00003;-0.03735;-0.21904;steel column
2;11;16;0.000;0.00000;0.00000;0.00147;0.00000;0.00000;0.00000;concrete column
2;11;17;3.600;-0.00006;-0.00006;0.00147;0.00009;-0.00040;-0.00001;concrete column
2;12;17;0.000;-0.00006;-0.00006;0.00147;0.00009;-0.00040;-0.00001;steel column
2;12;18;4.000;-0.00191;0.00062;0.00147;0.00017;0.00022;0.00003;steel column
2;13;19;0.000;0.00000;0.00000;0.00256;0.00000;0.00000;0.00000;concrete column
2;13;20;3.600;-0.00008;0.00003;0.00256;0.00006;0.00020;0.00001;concrete column
2;14;20;0.000;-0.00008;0.00003;0.00256;0.00006;0.00020;0.00001;steel column
2;14;21;4.000;-0.00021;-0.00009;0.00256;-0.00002;-0.00001;0.00004;steel column
2;15;22;0.000;0.00000;0.00000;0.00164;0.00000;0.00000;0.00000;concrete column
2;15;23;3.600;-0.00008;0.00004;0.00164;0.00010;0.00035;0.00001;concrete column
2;16;23;0.000;-0.00008;0.00004;0.00164;0.00010;0.00035;0.00001;steel column
2;16;24;4.000;-0.00348;0.00105;0.00164;0.00026;0.00105;-0.00059;steel column
2;17;25;0.000;0.00000;0.00000;-0.00044;0.00000;0.00000;0.00000;concrete column
2;17;26;3.600;-0.00010;0.00005;-0.00044;-0.00003;0.00150;0.00006;concrete column
2;18;26;0.000;-0.00010;0.00005;-0.00044;-0.00003;0.00150;0.00006;steel column
2;18;27;4.000;-0.98098;-0.00003;-0.00044;-0.00002;0.36624;0.21467;steel column
2;19;28;0.000;0.00000;0.00000;-0.00193;0.00000;0.00000;0.00000;concrete column
2;19;29;3.600;-0.00003;0.00005;-0.00193;-0.00018;0.00001;-0.00001;concrete column
2;20;29;0.000;-0.00003;0.00005;-0.00193;-0.00018;0.00001;-0.00001;steel column
2;20;30;4.000;-0.01089;-0.00065;-0.00194;-0.00016;0.00406;0.00230;steel column
2;21;31;0.000;0.00000;0.00000;-0.00038;0.00000;0.00000;0.00000;concrete column
2;21;32;3.600;0.00004;0.00001;-0.00038;-0.00003;-0.00155;-0.00007;concrete column
2;22;32;0.000;0.00004;0.00001;-0.00038;-0.00003;-0.00155;-0.00007;steel column
2;22;33;4.000;1.00000;-0.00010;-0.00038;-0.00002;-0.37335;-0.21904;steel column
2;23;34;0.000;0.00000;0.00000;0.00190;0.00000;0.00000;0.00000;concrete column
2;23;35;3.600;0.00002;-0.00006;0.00190;0.00010;-0.00041;-0.00003;concrete column
2;24;35;0.000;0.00002;-0.00006;0.00190;0.00010;-0.00041;-0.00003;steel column
2;24;36;4.000;-0.00021;0.00062;0.00190;0.00017;0.00012;0.00004;steel column
2;25;2;0.000;-0.00007;0.00003;0.00229;0.00006;0.00022;0.00000;concrete beam
2;25;20;4.000;-0.00008;0.00003;0.00256;0.00006;0.00020;0.00001;concrete beam
2;26;3;0.000;-0.00192;-0.00009;0.00230;-0.00001;0.00010;0.00006;steel beam
2;26;21;4.000;-0.00021;-0.00009;0.00256;-0.00002;-0.00001;0.00004;steel beam
2;27;5;0.000;-0.00007;0.00004;0.00126;0.00007;0.00038;0.00000;concrete beam
2;27;23;4.000;-0.00008;0.00004;0.00164;0.00010;0.00035;0.00001;concrete beam
2;28;6;0.000;-0.01130;0.00104;0.00126;0.00025;0.00402;-0.00253;steel beam
2;28;24;4.000;-0.00348;0.00105;0.00164;0.00026;0.00105;-0.00059;steel beam
2;29;8;0.000;-0.00006;0.00005;-0.00035;-0.00001;0.00057;0.00000;concrete beam
2;29;26;4.000;-0.00010;0.00005;-0.00044;-0.00003;0.00150;0.00006;concrete beam
2;30;9;0.000;-0.09917;-0.00003;-0.00035;-0.00003;0.03691;0.21467;steel beam
2;30;27;4.000;-0.98098;-0.00003;-0.00044;-0.00002;0.36624;0.21467;steel beam
2;31;11;0.000;-0.00006;0.00005;-0.00131;-0.00010;0.00000;-0.00001;concrete beam
2;31;29;4.000;-0.00003;0.00005;-0.00193;-0.00018;0.00001;-0.00001;concrete beam
2;32;12;0.000;-0.00145;-0.00065;-0.00131;-0.00020;0.00052;0.00230;steel beam
2;32;30;4.000;-0.01089;-0.00065;-0.00194;-0.00016;0.00406;0.00230;steel beam
2;33;14;0.000;-0.00006;0.00001;-0.00028;-0.00001;-0.00059;-0.00001;concrete beam
2;33;32;4.000;0.00004;0.00001;-0.00038;-0.00003;-0.00155;-0.00007;concrete beam
2;34;15;0.000;0.10024;-0.00010;-0.00028;-0.00003;-0.03735;-0.21904;steel beam
2;34;33;4.000;1.00000;-0.00010;-0.00038;-0.00002;-0.37335;-0.21904;steel beam
2;35;17;0.000;-0.00006;-0.00006;0.00147;0.00009;-0.00040;-0.00001;concrete beam
2;35;35;4.000;0.00002;-0.00006;0.00190;0.00010;-0.00041;-0.00003;concrete beam
2;36;18;0.000;-0.00191;0.00062;0.00147;0.00017;0.00022;0.00003;steel beam
2;36;36;4.000;-0.00021;0.00062;0.00190;0.00017;0.00012;0.00004;steel beam
2;37;3;0.000;-0.00192;-0.00009;0.00230;-0.00001;0.00010;0.00006;timber beam
2;37;18;15.000;-0.00191;0.00062;0.00147;0.00017;0.00022;0.00003;timber beam
2;38;21;0.000;-0.00021;-0.00009;0.00256;-0.00002;-0.00001;0.00004;timber beam
2;38;36;15.000;-0.00021;0.00062;0.00190;0.00017;0.00012;0.00004;timber beam
2;39;3;0.000;-0.00192;-0.00009;0.00230;-0.00001;0.00010;0.00006;Aluminium beam
2;39;24;5.000;-0.00348;0.00105;0.00164;0.00026;0.00105;-0.00059;Aluminium beam
;;;;;;;;;;
3;1;1;0.000;0.00000;0.00000;0.00039;0.00000;0.00000;0.00000;concrete column
3;1;2;3.600;-0.00008;-0.00005;0.00039;-0.00002;0.00010;0.00000;concrete column
3;2;2;0.000;-0.00008;-0.00005;0.00039;-0.00002;0.00010;0.00000;steel column
3;2;3;4.000;-0.00395;-0.00091;0.00040;-0.00018;0.00023;0.00005;steel column
3;3;4;0.000;0.00000;0.00000;0.00003;0.00000;0.00000;0.00000;concrete column
3;3;5;3.600;-0.00008;-0.00003;0.00003;-0.00001;0.00012;0.00000;concrete column
3;4;5;0.000;-0.00008;-0.00003;0.00003;-0.00001;0.00012;0.00000;steel column
3;4;6;4.000;-0.00428;0.00054;0.00003;0.00014;0.00151;0.00016;steel column
3;5;7;0.000;0.00000;0.00000;-0.00034;0.00000;0.00000;0.00000;concrete column
3;5;8;3.600;-0.00008;-0.00002;-0.00034;-0.00006;0.00011;0.00000;concrete column
3;6;8;0.000;-0.00008;-0.00002;-0.00034;-0.00006;0.00011;0.00000;steel column
3;6;9;4.000;-0.04429;-0.00038;-0.00034;-0.00010;0.01655;0.10997;steel column
3;7;10;0.000;0.00000;0.00000;-0.00002;0.00000;0.00000;0.00000;concrete column
3;7;11;3.600;-0.00008;-0.00002;-0.00002;-0.00001;-0.00029;0.00000;concrete column
3;8;11;0.000;-0.00008;-0.00002;-0.00002;-0.00001;-0.00029;0.00000;steel column
3;8;12;4.000;0.08983;-0.00007;-0.00002;-0.00001;-0.03362;-0.22157;steel column
3;9;13;0.000;0.00000;0.00000;0.00032;0.00000;0.00000;0.00000;concrete column
3;9;14;3.600;-0.00008;-0.00001;0.00032;0.00004;0.00010;0.00000;concrete column
