Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;54.22;4.92;220.24;18.93;-58.99;-0.82;concrete part
4;;44.04;-3.94;217.14;8.85;-47.67;-0.16;concrete part
7;;17.95;-4.31;215.18;8.61;-17.56;-0.04;concrete part
10;;-15.02;-3.56;214.87;9.61;20.51;0.12;concrete part
13;;-44.16;-2.51;216.29;10.91;54.17;0.26;concrete part
16;;-53.65;2.32;218.89;16.68;64.74;0.88;concrete part
19;;49.62;1.21;221.30;14.43;-53.39;0.98;concrete part
22;;41.69;-0.71;218.53;12.63;-44.70;0.28;concrete part
25;;18.48;2.04;216.54;15.99;-18.00;0.16;concrete part
28;;-14.76;3.03;216.18;17.25;20.36;-0.04;concrete part
31;;-44.08;2.93;217.58;17.25;54.18;-0.20;concrete part
34;;-54.34;-1.43;220.18;12.13;65.61;-0.86;concrete part
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
1;P_x;54.22;4.92;220.24;18.93;-58.99;-0.82;concrete part
34;P_x;-54.34;-1.43;220.18;12.13;65.61;-0.86;concrete part
1;P_y;54.22;4.92;220.24;18.93;-58.99;-0.82;concrete part
7;P_y;17.95;-4.31;215.18;8.61;-17.56;-0.04;concrete part
19;P_z;49.62;1.21;221.30;14.43;-53.39;0.98;concrete part
10;P_z;-15.02;-3.56;214.87;9.61;20.51;0.12;concrete part
1;M_x;54.22;4.92;220.24;18.93;-58.99;-0.82;concrete part
7;M_x;17.95;-4.31;215.18;8.61;-17.56;-0.04;concrete part
34;M_y;-54.34;-1.43;220.18;12.13;65.61;-0.86;concrete part
1;M_y;54.22;4.92;220.24;18.93;-58.99;-0.82;concrete part
19;M_z;49.62;1.21;221.30;14.43;-53.39;0.98;concrete part
34;M_z;-54.34;-1.43;220.18;12.13;65.61;-0.86;concrete part
;;;;;;;;
;Sum of loads and the sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;2612.92;Loads;;;
Σ;;0.00;0.00;2612.92;Support Forces;;;
