Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;246;14.000;3.500;-3.600;;0.084;0.105;-0.114;-0.109;0.062;-0.082;-0.052;-0.017;
1;247;14.500;3.500;-3.600;;-0.210;0.064;0.188;-0.073;0.026;-0.050;-0.073;-0.049;
1;248;15.000;3.500;-3.600;;-0.598;-0.045;0.600;0.039;-0.154;0.134;-0.078;-0.116;
1;249;0.000;4.000;-3.600;;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;250;0.500;4.000;-3.600;;-0.540;0.034;0.452;-0.039;-0.019;0.034;0.233;-0.023;
1;251;1.000;4.000;-3.600;;0.033;0.040;-0.078;-0.041;-0.065;0.066;0.117;-0.001;
1;252;1.500;4.000;-3.600;;0.255;0.019;-0.279;-0.018;-0.039;0.039;0.065;-0.011;
1;253;2.000;4.000;-3.600;;0.383;0.019;-0.390;-0.018;0.004;-0.004;0.016;-0.017;
1;254;2.500;4.000;-3.600;;0.468;0.021;-0.445;-0.014;0.071;-0.061;-0.035;0.034;
1;255;3.000;4.000;-3.600;;-0.400;-0.172;0.356;0.157;0.218;-0.180;0.145;-0.182;
1;256;3.500;4.000;-3.600;;-0.164;0.049;0.073;-0.053;-0.065;0.077;0.211;-0.019;
1;257;4.000;4.000;-3.600;;0.323;0.023;-0.379;-0.023;-0.067;0.067;0.096;-0.004;
1;258;4.500;4.000;-3.600;;0.464;0.017;-0.506;-0.015;-0.021;0.021;0.037;-0.013;
1;259;5.000;4.000;-3.600;;0.512;0.022;-0.545;-0.022;0.024;-0.024;-0.021;-0.014;
1;260;5.500;4.000;-3.600;;0.438;0.026;-0.460;-0.022;0.079;-0.076;-0.095;0.017;
1;261;6.000;4.000;-3.600;;-0.296;-0.160;0.241;0.143;0.098;-0.083;0.062;-0.181;
1;262;6.500;4.000;-3.600;;0.152;0.031;-0.220;-0.031;-0.072;0.078;0.167;-0.008;
1;263;7.000;4.000;-3.600;;0.469;0.022;-0.523;-0.022;-0.044;0.044;0.064;-0.008;
1;264;7.500;4.000;-3.600;;0.532;0.017;-0.582;-0.015;-0.001;0.001;0.004;-0.013;
1;265;8.000;4.000;-3.600;;0.495;0.023;-0.549;-0.023;0.043;-0.043;-0.056;-0.010;
1;266;8.500;4.000;-3.600;;0.237;0.034;-0.304;-0.035;0.075;-0.080;-0.152;-0.001;
1;267;9.000;4.000;-3.600;;-0.298;-0.150;0.242;0.133;-0.053;0.039;-0.030;-0.182;
1;268;9.500;4.000;-3.600;;0.370;0.027;-0.395;-0.023;-0.075;0.072;0.113;0.009;
1;269;10.000;4.000;-3.600;;0.509;0.022;-0.544;-0.022;-0.026;0.026;0.029;-0.012;
1;270;10.500;4.000;-3.600;;0.489;0.017;-0.532;-0.016;0.019;-0.019;-0.029;-0.013;
1;271;11.000;4.000;-3.600;;0.373;0.023;-0.430;-0.023;0.062;-0.062;-0.089;-0.006;
1;272;11.500;4.000;-3.600;;-0.049;0.037;-0.042;-0.041;0.072;-0.085;-0.198;-0.013;
1;273;12.000;4.000;-3.600;;-0.376;-0.175;0.335;0.160;-0.163;0.123;-0.114;-0.184;
1;274;12.500;4.000;-3.600;;0.430;0.023;-0.405;-0.016;-0.068;0.058;0.054;0.027;
1;275;13.000;4.000;-3.600;;0.404;0.022;-0.411;-0.021;-0.006;0.006;-0.008;-0.015;
1;276;13.500;4.000;-3.600;;0.297;0.019;-0.325;-0.018;0.038;-0.038;-0.061;-0.012;
1;277;14.000;4.000;-3.600;;0.089;0.041;-0.141;-0.041;0.073;-0.074;-0.117;-0.002;
1;278;14.500;4.000;-3.600;;-0.461;0.039;0.361;-0.045;0.030;-0.046;-0.230;-0.018;
1;279;15.000;4.000;-3.600;;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
Extremes;16;7.500;0.000;-3.600;σ_x,+;0.533;0.017;-0.583;-0.015;0.007;-0.007;0.010;0.013;
1;249;0.000;4.000;-3.600;σ_x,+;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;98;2.000;1.500;-3.600;σ_y,+;-0.012;0.498;0.020;-0.487;0.008;-0.013;0.033;0.025;
1;279;15.000;4.000;-3.600;σ_y,+;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
1;249;0.000;4.000;-3.600;σ_x,-;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;16;7.500;0.000;-3.600;σ_x,-;0.533;0.017;-0.583;-0.015;0.007;-0.007;0.010;0.013;
1;1;0.000;0.000;-3.600;σ_y,-;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;98;2.000;1.500;-3.600;σ_y,-;-0.012;0.498;0.020;-0.487;0.008;-0.013;0.033;0.025;
1;249;0.000;4.000;-3.600;τ_xy,+;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;1;0.000;0.000;-3.600;τ_xy,+;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;1;0.000;0.000;-3.600;τ_xy,-;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;249;0.000;4.000;-3.600;τ_xy,-;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;249;0.000;4.000;-3.600;τ_xz;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;279;15.000;4.000;-3.600;τ_xz;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
1;31;15.000;0.000;-3.600;τ_yz;-1.400;-0.309;1.228;0.251;0.330;-0.277;-0.399;0.189;
1;279;15.000;4.000;-3.600;τ_yz;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
Total;;;;;;0.533;0.498;1.366;0.253;0.379;0.343;0.414;0.189;
1;;;;;;-1.524;-0.309;-0.583;-0.487;-0.394;-0.329;-0.404;-0.189;
;;;;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;;;;
1;16;7.500;0.000;-3.600;σ_x,+;0.533;0.017;-0.583;-0.015;0.007;-0.007;0.010;0.013;
1;249;0.000;4.000;-3.600;σ_x,+;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;98;2.000;1.500;-3.600;σ_y,+;-0.012;0.498;0.020;-0.487;0.008;-0.013;0.033;0.025;
1;279;15.000;4.000;-3.600;σ_y,+;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
1;249;0.000;4.000;-3.600;σ_x,-;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;16;7.500;0.000;-3.600;σ_x,-;0.533;0.017;-0.583;-0.015;0.007;-0.007;0.010;0.013;
1;1;0.000;0.000;-3.600;σ_y,-;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;98;2.000;1.500;-3.600;σ_y,-;-0.012;0.498;0.020;-0.487;0.008;-0.013;0.033;0.025;
1;249;0.000;4.000;-3.600;τ_xy,+;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;1;0.000;0.000;-3.600;τ_xy,+;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;1;0.000;0.000;-3.600;τ_xy,-;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;249;0.000;4.000;-3.600;τ_xy,-;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;249;0.000;4.000;-3.600;τ_xz;-1.524;-0.302;1.366;0.248;0.379;-0.329;0.414;-0.184;
1;279;15.000;4.000;-3.600;τ_xz;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
1;31;15.000;0.000;-3.600;τ_yz;-1.400;-0.309;1.228;0.251;0.330;-0.277;-0.399;0.189;
1;279;15.000;4.000;-3.600;τ_yz;-1.414;-0.309;1.238;0.250;-0.330;0.275;-0.404;-0.189;
;;;;;;;;;;;;;;
Total;;;;;;0.533;0.498;1.366;0.253;0.379;0.343;0.414;0.189;
max/min;;;;;;-1.524;-0.309;-0.583;-0.487;-0.394;-0.329;-0.404;-0.189;
