Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;57;12.500;0.500;-3.600;;0.346;0.132;-0.369;-0.128;0.074;-0.060;0.009;0.001;
1;58;13.000;0.500;-3.600;;0.357;0.111;-0.375;-0.111;0.022;-0.008;-0.008;0.014;
1;59;13.500;0.500;-3.600;;0.277;0.102;-0.301;-0.103;-0.032;0.046;-0.026;0.015;
1;60;14.000;0.500;-3.600;;0.086;0.104;-0.116;-0.109;-0.059;0.079;-0.052;0.017;
1;61;14.500;0.500;-3.600;;-0.206;0.063;0.185;-0.072;-0.024;0.048;-0.073;0.049;
1;62;15.000;0.500;-3.600;;-0.592;-0.046;0.594;0.040;0.155;-0.136;-0.078;0.117;
1;63;0.000;1.000;-3.600;;-0.250;0.145;0.258;-0.141;-0.091;0.089;0.015;0.062;
1;64;0.500;1.000;-3.600;;-0.151;0.171;0.157;-0.184;-0.018;0.009;0.027;0.057;
1;65;1.000;1.000;-3.600;;0.005;0.152;-0.006;-0.148;0.010;-0.021;0.049;0.009;
1;66;1.500;1.000;-3.600;;0.281;0.023;-0.315;-0.024;0.009;-0.022;0.060;-0.013;
1;67;2.000;1.000;-3.600;;0.272;0.187;-0.320;-0.196;0.143;-0.162;0.023;0.049;
1;68;2.500;1.000;-3.600;;0.235;0.248;-0.269;-0.242;0.006;-0.020;-0.007;-0.005;
1;69;3.000;1.000;-3.600;;0.102;0.225;-0.129;-0.233;-0.030;0.026;-0.002;0.063;
1;70;3.500;1.000;-3.600;;0.140;0.211;-0.171;-0.225;0.022;-0.033;0.027;0.045;
1;71;4.000;1.000;-3.600;;0.290;0.214;-0.325;-0.222;0.051;-0.062;0.029;0.023;
1;72;4.500;1.000;-3.600;;0.401;0.219;-0.440;-0.223;0.025;-0.034;0.016;0.016;
1;73;5.000;1.000;-3.600;;0.432;0.227;-0.473;-0.230;-0.013;0.007;0.001;0.015;
1;74;5.500;1.000;-3.600;;0.390;0.244;-0.433;-0.247;-0.032;0.029;-0.009;0.019;
1;75;6.000;1.000;-3.600;;0.263;0.249;-0.306;-0.258;-0.019;0.018;-0.002;0.060;
1;76;6.500;1.000;-3.600;;0.316;0.234;-0.361;-0.243;0.027;-0.031;0.017;0.037;
1;77;7.000;1.000;-3.600;;0.417;0.228;-0.464;-0.234;0.038;-0.041;0.016;0.021;
1;78;7.500;1.000;-3.600;;0.469;0.226;-0.517;-0.231;0.008;-0.009;0.003;0.016;
1;79;8.000;1.000;-3.600;;0.440;0.230;-0.487;-0.235;-0.024;0.026;-0.011;0.019;
1;80;8.500;1.000;-3.600;;0.355;0.239;-0.400;-0.248;-0.024;0.027;-0.016;0.031;
1;81;9.000;1.000;-3.600;;0.274;0.252;-0.317;-0.261;0.010;-0.010;0.000;0.059;
