Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;1;0.000;0.000;-3.600;;3.898;0.526;-2.177;-0.015;0.795;-0.304;-0.760;-0.066;
1;2;0.500;0.000;-3.600;;1.944;0.013;-0.856;0.040;-0.099;0.228;-0.551;-0.072;
1;3;1.000;0.000;-3.600;;0.601;0.003;0.037;-0.002;-0.216;0.228;-0.429;-0.010;
1;4;1.500;0.000;-3.600;;-0.179;-0.069;0.546;0.082;-0.241;0.282;-0.408;-0.005;
1;5;2.000;0.000;-3.600;;-1.079;0.028;1.224;-0.036;-0.228;0.238;-0.403;0.014;
1;6;2.500;0.000;-3.600;;-2.290;0.007;2.245;-0.038;-0.079;0.101;-0.499;0.027;
1;7;3.000;0.000;-3.600;;-1.250;-0.377;1.488;0.419;0.792;-0.635;-0.597;0.175;
1;8;3.500;0.000;-3.600;;0.179;-0.006;0.274;0.022;-0.049;0.099;-0.298;-0.145;
1;9;4.000;0.000;-3.600;;-0.606;0.012;0.919;-0.013;-0.093;0.092;-0.173;0.020;
1;10;4.500;0.000;-3.600;;-0.970;-0.012;1.222;0.007;-0.084;0.084;-0.147;-0.003;
1;11;5.000;0.000;-3.600;;-1.318;0.028;1.529;-0.032;-0.063;0.063;-0.127;-0.014;
1;12;5.500;0.000;-3.600;;-1.941;0.000;2.102;-0.015;0.074;-0.060;-0.144;-0.023;
1;13;6.000;0.000;-3.600;;-1.554;-0.411;1.839;0.459;0.394;-0.329;-0.211;0.196;
1;14;6.500;0.000;-3.600;;-0.991;-0.031;1.345;0.034;-0.047;0.070;-0.106;-0.104;
1;15;7.000;0.000;-3.600;;-1.216;0.018;1.513;-0.019;-0.008;0.007;-0.029;0.006;
1;16;7.500;0.000;-3.600;;-1.274;-0.011;1.559;0.007;0.005;-0.005;-0.002;-0.003;
1;17;8.000;0.000;-3.600;;-1.282;0.020;1.576;-0.021;0.020;-0.019;0.025;0.003;
1;18;8.500;0.000;-3.600;;-1.177;-0.027;1.521;0.029;0.067;-0.088;0.090;-0.093;
1;19;9.000;0.000;-3.600;;-1.631;-0.408;1.926;0.460;-0.273;0.219;0.167;0.197;
1;20;9.500;0.000;-3.600;;-1.919;-0.005;2.103;-0.009;-0.056;0.046;0.121;-0.035;
1;21;10.000;0.000;-3.600;;-1.410;0.027;1.634;-0.030;0.065;-0.066;0.118;-0.011;
1;22;10.500;0.000;-3.600;;-1.113;-0.012;1.371;0.008;0.083;-0.082;0.138;-0.003;
