Surface No.;Grid;Grid Point Coordinates [m];;;;Displacements [mm];;;;Rotations [mrad];;;
;Point No.;X;Y;Z;;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Surface Comment
1;66;1.500;1.000;-3.600;;482.9;0.0;0.9;482.9;0.5;1.2;0.0;
1;67;2.000;1.000;-3.600;;482.3;0.0;0.9;482.3;0.6;1.1;0.0;
1;68;2.500;1.000;-3.600;;481.8;0.0;0.9;481.8;0.6;1.0;0.0;
1;69;3.000;1.000;-3.600;;481.4;0.0;0.9;481.4;0.6;0.9;0.0;
1;70;3.500;1.000;-3.600;;480.9;0.0;0.9;480.9;0.6;0.8;0.0;
1;71;4.000;1.000;-3.600;;480.5;0.0;0.9;480.5;0.6;0.8;0.0;
1;72;4.500;1.000;-3.600;;480.2;0.0;0.9;480.2;0.6;0.7;0.0;
1;73;5.000;1.000;-3.600;;479.9;0.0;0.9;479.8;0.6;0.6;0.0;
1;74;5.500;1.000;-3.600;;479.6;0.0;0.9;479.6;0.6;0.5;0.0;
1;75;6.000;1.000;-3.600;;479.4;0.0;0.9;479.4;0.6;0.4;0.0;
1;76;6.500;1.000;-3.600;;479.2;0.0;0.9;479.2;0.6;0.2;0.0;
1;77;7.000;1.000;-3.600;;479.1;0.0;0.9;479.1;0.6;0.1;0.0;
1;78;7.500;1.000;-3.600;;479.1;0.0;0.9;479.1;0.6;0.0;0.0;
1;79;8.000;1.000;-3.600;;479.1;0.0;0.9;479.1;0.6;-0.1;0.0;
1;80;8.500;1.000;-3.600;;479.1;0.0;0.9;479.1;0.6;-0.2;0.0;
1;81;9.000;1.000;-3.600;;479.2;0.0;0.9;479.2;0.6;-0.3;0.0;
1;82;9.500;1.000;-3.600;;479.4;0.0;0.9;479.4;0.6;-0.4;0.0;
1;83;10.000;1.000;-3.600;;479.7;0.0;0.9;479.7;0.6;-0.6;0.0;
1;84;10.500;1.000;-3.600;;480.0;0.0;0.9;480.0;0.6;-0.7;0.0;
1;85;11.000;1.000;-3.600;;480.4;0.0;0.9;480.4;0.6;-0.7;0.0;
1;86;11.500;1.000;-3.600;;480.7;0.0;0.9;480.7;0.6;-0.8;0.0;
1;87;12.000;1.000;-3.600;;481.2;0.0;0.9;481.2;0.6;-0.9;0.0;
1;88;12.500;1.000;-3.600;;481.6;0.0;0.9;481.6;0.6;-1.0;0.0;
1;89;13.000;1.000;-3.600;;482.2;0.0;0.9;482.2;0.6;-1.1;0.0;
1;90;13.500;1.000;-3.600;;482.7;0.0;0.9;482.7;0.5;-1.1;0.0;
1;91;14.000;1.000;-3.600;;483.3;0.0;0.9;483.3;0.5;-1.1;0.0;
1;92;14.500;1.000;-3.600;;483.9;0.0;0.9;483.9;0.5;-1.1;0.0;
1;93;15.000;1.000;-3.600;;484.4;0.0;0.9;484.4;0.5;-1.1;0.0;
1;94;0.000;1.500;-3.600;;484.8;0.0;0.9;484.8;0.4;1.1;0.0;
1;95;0.500;1.500;-3.600;;484.3;0.0;0.9;484.3;0.5;1.1;0.0;
1;96;1.000;1.500;-3.600;;483.7;0.0;0.9;483.7;0.5;1.1;0.0;
1;98;2.000;1.500;-3.600;;482.6;0.0;0.9;482.6;0.6;1.0;0.0;
1;99;2.500;1.500;-3.600;;482.1;0.0;0.9;482.1;0.6;1.0;0.0;
1;100;3.000;1.500;-3.600;;481.7;0.0;0.9;481.7;0.6;0.9;0.0;
1;101;3.500;1.500;-3.600;;481.2;0.0;0.9;481.2;0.6;0.8;0.0;
1;102;4.000;1.500;-3.600;;480.8;0.0;0.9;480.8;0.6;0.8;0.0;
1;103;4.500;1.500;-3.600;;480.5;0.0;0.9;480.5;0.6;0.7;0.0;
1;104;5.000;1.500;-3.600;;480.2;0.0;0.9;480.2;0.6;0.6;0.0;
1;105;5.500;1.500;-3.600;;479.9;0.0;0.9;479.9;0.6;0.5;0.0;
1;106;6.000;1.500;-3.600;;479.7;0.0;0.9;479.7;0.6;0.4;0.0;
1;107;6.500;1.500;-3.600;;479.5;0.0;0.9;479.5;0.6;0.3;0.0;
1;108;7.000;1.500;-3.600;;479.4;0.0;0.9;479.4;0.6;0.1;0.0;
1;109;7.500;1.500;-3.600;;479.4;0.0;0.9;479.4;0.6;0.0;0.0;
1;110;8.000;1.500;-3.600;;479.4;0.0;0.9;479.4;0.6;-0.1;0.0;
1;111;8.500;1.500;-3.600;;479.4;0.0;0.9;479.4;0.6;-0.2;0.0;
1;112;9.000;1.500;-3.600;;479.5;0.0;0.9;479.5;0.6;-0.3;0.0;
1;113;9.500;1.500;-3.600;;479.7;0.0;0.9;479.7;0.6;-0.4;0.0;
1;114;10.000;1.500;-3.600;;480.0;0.0;0.9;480.0;0.6;-0.6;0.0;
1;115;10.500;1.500;-3.600;;480.3;0.0;0.9;480.3;0.5;-0.7;0.0;
1;116;11.000;1.500;-3.600;;480.6;0.0;0.9;480.6;0.5;-0.7;0.0;
1;117;11.500;1.500;-3.600;;481.0;0.0;0.9;481.0;0.5;-0.8;0.0;
1;118;12.000;1.500;-3.600;;481.5;0.0;0.9;481.5;0.5;-0.9;0.0;
1;119;12.500;1.500;-3.600;;481.9;0.0;0.9;481.9;0.5;-1.0;0.0;
1;120;13.000;1.500;-3.600;;482.5;0.0;0.9;482.5;0.5;-1.1;0.0;
1;121;13.500;1.500;-3.600;;483.0;0.0;0.9;483.0;0.5;-1.1;0.0;
1;122;14.000;1.500;-3.600;;483.6;0.0;0.9;483.6;0.5;-1.1;0.0;
1;123;14.500;1.500;-3.600;;484.1;0.0;0.9;484.1;0.5;-1.1;0.0;
1;124;15.000;1.500;-3.600;;484.7;0.0;0.9;484.7;0.5;-1.1;0.0;
1;125;0.000;2.000;-3.600;;485.0;0.0;0.9;485.0;0.4;1.0;0.0;
1;126;0.500;2.000;-3.600;;484.5;0.0;0.9;484.5;0.4;1.1;0.0;
1;127;1.000;2.000;-3.600;;484.0;0.0;0.9;484.0;0.5;1.1;0.0;
1;128;1.500;2.000;-3.600;;483.4;0.0;0.9;483.4;0.5;1.0;0.0;
1;129;2.000;2.000;-3.600;;482.9;0.0;0.9;482.9;0.5;1.0;0.0;
1;130;2.500;2.000;-3.600;;482.4;0.0;0.9;482.4;0.5;0.9;0.0;
1;131;3.000;2.000;-3.600;;481.9;0.0;0.9;481.9;0.5;0.9;0.0;
1;132;3.500;2.000;-3.600;;481.5;0.0;0.9;481.5;0.5;0.8;0.0;
1;133;4.000;2.000;-3.600;;481.1;0.0;0.9;481.1;0.5;0.8;0.0;
1;134;4.500;2.000;-3.600;;480.8;0.0;0.9;480.8;0.5;0.7;0.0;
1;135;5.000;2.000;-3.600;;480.4;0.0;0.9;480.4;0.5;0.6;0.0;
1;136;5.500;2.000;-3.600;;480.2;0.0;0.9;480.2;0.5;0.5;0.0;
1;137;6.000;2.000;-3.600;;479.9;0.0;0.9;479.9;0.5;0.4;0.0;
1;138;6.500;2.000;-3.600;;479.8;0.0;0.9;479.8;0.5;0.3;0.0;
1;139;7.000;2.000;-3.600;;479.7;0.0;0.9;479.7;0.5;0.2;0.0;
1;140;7.500;2.000;-3.600;;479.6;0.0;0.9;479.6;0.5;0.0;0.0;
1;141;8.000;2.000;-3.600;;479.6;0.0;0.9;479.6;0.5;-0.1;0.0;
1;142;8.500;2.000;-3.600;;479.7;0.0;0.9;479.7;0.5;-0.2;0.0;
1;143;9.000;2.000;-3.600;;479.8;0.0;0.9;479.8;0.5;-0.3;0.0;
1;144;9.500;2.000;-3.600;;480.0;0.0;0.9;480.0;0.5;-0.4;0.0;
1;145;10.000;2.000;-3.600;;480.2;0.0;0.9;480.2;0.5;-0.6;0.0;
1;146;10.500;2.000;-3.600;;480.5;0.0;0.9;480.5;0.5;-0.7;0.0;
1;147;11.000;2.000;-3.600;;480.9;0.0;0.9;480.9;0.5;-0.7;0.0;
1;148;11.500;2.000;-3.600;;481.3;0.0;0.9;481.3;0.5;-0.8;0.0;
1;149;12.000;2.000;-3.600;;481.7;0.0;0.9;481.7;0.5;-0.9;0.0;
1;150;12.500;2.000;-3.600;;482.2;0.0;0.9;482.2;0.5;-1.0;0.0;
1;151;13.000;2.000;-3.600;;482.7;0.0;0.9;482.7;0.5;-1.1;0.0;
1;152;13.500;2.000;-3.600;;483.3;0.0;0.9;483.3;0.5;-1.1;0.0;
1;153;14.000;2.000;-3.600;;483.8;0.0;0.9;483.8;0.5;-1.1;0.0;
1;154;14.500;2.000;-3.600;;484.4;0.0;0.9;484.4;0.5;-1.1;0.0;
1;155;15.000;2.000;-3.600;;484.9;0.0;0.9;484.9;0.5;-1.1;0.0;
1;156;0.000;2.500;-3.600;;485.2;0.0;0.9;485.2;0.4;1.0;0.0;
1;157;0.500;2.500;-3.600;;484.7;0.0;0.9;484.7;0.4;1.0;0.0;
1;158;1.000;2.500;-3.600;;484.2;0.0;0.9;484.2;0.4;1.0;0.0;
1;159;1.500;2.500;-3.600;;483.7;0.0;0.9;483.7;0.5;1.0;0.0;
1;160;2.000;2.500;-3.600;;483.1;0.0;0.9;483.1;0.5;1.0;0.0;
