Surface No.;Grid;Grid Point Coordinates [m];;;;Displacements [mm];;;;Rotations [mrad];;;
;Point No.;X;Y;Z;;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Surface Comment
Extremes;31;15.000;0.000;-3.600;u_X;483.9;0.1;0.9;483.9;0.5;-1.0;0.0;
1;249;0.000;4.000;-3.600;u_X;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;31;15.000;0.000;-3.600;u_Y;483.9;0.1;0.9;483.9;0.5;-1.0;0.0;
1;249;0.000;4.000;-3.600;u_Y;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;279;15.000;4.000;-3.600;u_Z;485.9;0.1;0.9;485.9;0.5;-1.0;0.0;
1;16;7.500;0.000;-3.600;u_Z;478.4;0.0;0.9;478.4;0.6;0.0;0.0;
1;12;5.500;0.000;-3.600;φ_X;478.9;0.0;0.9;478.9;0.7;0.5;0.0;
1;268;9.500;4.000;-3.600;φ_X;480.8;0.0;0.9;480.8;0.3;-0.5;0.0;
1;4;1.500;0.000;-3.600;φ_Y;482.3;0.0;0.9;482.3;0.6;1.2;0.0;
1;28;13.500;0.000;-3.600;φ_Y;482.2;0.0;0.9;482.2;0.6;-1.2;0.0;
1;249;0.000;4.000;-3.600;φ_Z;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;279;15.000;4.000;-3.600;φ_Z;485.9;0.1;0.9;485.9;0.5;-1.0;0.0;
Total;;;;;;485.9;0.1;0.9;485.9;0.7;1.2;0.0;
1;;;;;;478.4;-0.1;0.9;478.4;0.3;-1.2;0.0;
;;;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;;;
1;31;15.000;0.000;-3.600;u_X;483.9;0.1;0.9;483.9;0.5;-1.0;0.0;
1;249;0.000;4.000;-3.600;u_X;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;31;15.000;0.000;-3.600;u_Y;483.9;0.1;0.9;483.9;0.5;-1.0;0.0;
1;249;0.000;4.000;-3.600;u_Y;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;279;15.000;4.000;-3.600;u_Z;485.9;0.1;0.9;485.9;0.5;-1.0;0.0;
1;16;7.500;0.000;-3.600;u_Z;478.4;0.0;0.9;478.4;0.6;0.0;0.0;
1;12;5.500;0.000;-3.600;φ_X;478.9;0.0;0.9;478.9;0.7;0.5;0.0;
1;268;9.500;4.000;-3.600;φ_X;480.8;0.0;0.9;480.8;0.3;-0.5;0.0;
1;4;1.500;0.000;-3.600;φ_Y;482.3;0.0;0.9;482.3;0.6;1.2;0.0;
1;28;13.500;0.000;-3.600;φ_Y;482.2;0.0;0.9;482.2;0.6;-1.2;0.0;
1;249;0.000;4.000;-3.600;φ_Z;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;
1;279;15.000;4.000;-3.600;φ_Z;485.9;0.1;0.9;485.9;0.5;-1.0;0.0;
;;;;;;;;;;;;;
Total;;;;;;485.9;0.1;0.9;485.9;0.7;1.2;0.0;
max/min;;;;;;478.4;-0.1;0.9;478.4;0.3;-1.2;0.0;
