Section No.;Member;Node;Location;;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];Flags;;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;32;;3.1111111111111116;E;;-9.75;0.01;-25.52;0.00;7.23;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.5555555555555562;E;;-9.70;0.01;-37.88;0.00;-6.83;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;;-9.74;0.02;-50.96;0.00;-26.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;15;0.0000000000000000;L | M;;-9.71;-0.04;40.29;0.00;-25.22;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.4444444444444444;E;;-9.67;-0.03;33.14;0.00;-8.87;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.8888888888888888;E;;-9.70;-0.02;25.23;0.00;4.13;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.3333333333333333;R | E;;-9.75;-0.01;16.57;0.00;13.45;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.7777777777777777;E;;-9.80;0.00;7.16;0.00;18.75;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.0000000000000000;E;;-9.81;0.01;2.17;0.00;19.79;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.2222222222222223;E;;-9.81;0.01;-3.00;0.00;19.70;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.6666666666666665;R | E;;-9.78;0.02;-13.89;0.00;15.97;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.1111111111111116;E;;-9.72;0.03;-25.52;0.00;7.24;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.5555555555555562;E;;-9.67;0.04;-37.88;0.00;-6.82;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;33;4.0000000000000000;L | M;;-9.71;0.05;-50.96;0.00;-26.54;-0.03;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;18;0.0000000000000000;L | M;;-9.53;1.30;40.38;-0.01;-25.27;0.24;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.4444444444444444;E;;-9.49;0.87;33.23;-0.01;-8.87;0.42;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.8888888888888888;E;;-9.52;0.45;25.33;-0.01;4.19;0.59;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.3333333333333333;R | E;;-9.58;0.02;16.68;-0.01;13.56;0.78;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.7777777777777777;E;;-9.62;-0.40;7.28;-0.01;18.91;0.96;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.0000000000000000;E;;-9.63;-0.61;2.30;-0.01;19.98;1.05;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.2222222222222223;E;;-9.63;-0.82;-2.87;-0.01;19.92;1.15;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.6666666666666665;R | E;;-9.60;-1.23;-13.75;-0.01;16.25;1.33;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.1111111111111116;E;;-9.54;-1.65;-25.37;-0.01;7.57;1.51;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.5555555555555562;E;;-9.49;-2.06;-37.72;-0.01;-6.44;1.69;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;;-9.53;-2.47;-50.79;-0.01;-26.11;1.87;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Extremes;26;;3.5555555555555562;E;N;-6.64;1.21;-37.73;-0.01;-4.49;-0.34;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.2222222222222223;E;N;-9.84;0.00;-3.00;0.00;19.69;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;L | M;V_y;-6.65;1.61;-50.81;-0.01;-24.15;-0.19;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;V_y;-9.53;-2.47;-50.79;-0.01;-26.11;1.87;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;V_z;-9.05;0.04;42.53;-0.07;-26.48;0.06;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;V_z;-9.74;0.02;-50.96;0.00;-26.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;L | M;M_T;-6.67;-1.94;40.38;0.00;-23.29;-1.62;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;M_T;-9.05;0.04;42.53;-0.07;-26.48;0.06;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.2222222222222223;E;M_y;-9.20;-0.35;-0.76;-0.06;23.41;0.18;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;M_y;-9.74;0.02;-50.96;0.00;-26.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;M_z;-9.53;-2.47;-50.79;-0.01;-26.11;1.87;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;L | M;M_z;-6.67;-1.94;40.38;0.00;-23.29;-1.62;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Total;;;;;;-6.64;1.61;42.53;0.00;23.41;1.87;
1;;;;;;-9.84;-2.47;-50.96;-0.07;-26.55;-1.62;
;;;;;;;;;;;;
2;R_M1 500/1000 | 2 - C20/25;;;;;;;;;;;
2;25;2;0.0000000000000000;L | M;;-6.34;-41.61;46.53;53.64;-48.66;5.34;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.4444444444444444;E;;-18.48;-10.59;47.87;28.05;-22.76;12.24;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;-19.99;-6.72;48.04;24.85;-19.52;13.10;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;-19.99;-6.72;48.04;24.85;-19.52;13.10;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.8888888888888888;E;;-28.04;4.41;41.28;8.99;3.68;7.10;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.0000000000000000;M;;-30.34;7.59;39.35;4.46;10.31;5.38;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.0000000000000000;M;;-30.34;7.59;39.35;4.46;10.31;5.38;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.3333333333333333;E;;-35.29;3.92;26.89;-1.78;23.77;3.84;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.5000000000000000;M;;-37.77;2.09;20.66;-4.90;30.50;3.06;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.5000000000000000;M;;-37.77;2.09;20.66;-4.90;30.50;3.06;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.7777777777777777;E;;-41.60;0.36;10.76;-8.30;36.00;3.19;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.0000000000000000;E | M;;-44.66;-1.02;2.84;-11.03;40.41;3.28;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.0000000000000000;E | M;;-44.66;-1.02;2.84;-11.03;40.41;3.28;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.2222222222222223;E;;-46.25;-2.00;-4.43;-13.63;40.96;3.64;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.5000000000000000;M;;-48.22;-3.21;-13.52;-16.88;41.66;4.08;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.5000000000000000;M;;-48.22;-3.21;-13.52;-16.88;41.66;4.08;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.6666666666666670;E;;-47.80;-4.28;-18.82;-19.41;39.40;4.88;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.0000000000000000;M;;-46.95;-6.40;-29.42;-24.45;34.88;6.49;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.0000000000000000;M;;-46.95;-6.40;-29.42;-24.45;34.88;6.49;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.1111111111111116;E;;-44.94;-3.21;-32.66;-27.19;31.69;7.86;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.5000000000000000;M;;-37.93;7.98;-44.02;-36.77;20.52;12.65;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.5000000000000000;M;;-37.93;7.98;-44.02;-36.77;20.52;12.65;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.5555555555555562;E;;-36.33;11.56;-45.57;-38.52;18.19;11.74;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;20;4.0000000000000000;L | M;;-23.56;40.22;-57.99;-52.49;-0.47;4.47;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;5;0.0000000000000000;L | M;;-5.78;-8.17;159.04;86.29;-43.71;2.05;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.4444444444444444;E;;-6.27;-1.63;106.65;45.57;22.03;2.63;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.5000000000000000;M;;-6.33;-0.81;100.11;40.48;30.25;2.70;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.5000000000000000;M;;-6.33;-0.81;100.11;40.48;30.25;2.70;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.8888888888888888;E;;-5.13;0.87;64.63;17.35;62.59;1.05;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.0000000000000000;M;;-4.79;1.34;54.49;10.74;71.83;0.58;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.0000000000000000;M;;-4.79;1.34;54.49;10.74;71.83;0.58;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.3333333333333333;E;;-2.23;0.24;35.99;4.01;86.41;0.75;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.5000000000000000;M;;-0.95;-0.32;26.75;0.65;93.71;0.84;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.5000000000000000;M;;-0.95;-0.32;26.75;0.65;93.71;0.84;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.7777777777777777;E;;0.50;-0.21;13.94;-2.40;97.86;0.95;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.0000000000000000;E | M;;1.67;-0.12;3.69;-4.85;101.17;1.04;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.0000000000000000;E | M;;1.67;-0.12;3.69;-4.85;101.17;1.04;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.2222222222222223;E;;1.69;-0.03;-6.00;-7.10;98.43;0.93;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.5000000000000000;M;;1.71;0.08;-18.10;-9.92;95.01;0.78;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.5000000000000000;M;;1.71;0.08;-18.10;-9.92;95.01;0.78;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.6666666666666670;E;;1.63;-0.24;-25.67;-13.01;88.70;0.76;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.0000000000000000;M;;1.48;-0.89;-40.80;-19.20;76.08;0.72;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.0000000000000000;M;;1.48;-0.89;-40.80;-19.20;76.08;0.72;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.1111111111111116;E;;2.01;-0.43;-47.96;-25.12;68.47;1.05;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.5000000000000000;M;;3.85;1.17;-73.01;-45.82;41.85;2.18;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.5000000000000000;M;;3.85;1.17;-73.01;-45.82;41.85;2.18;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.5555555555555562;E;;4.31;1.82;-77.53;-50.30;35.61;2.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;23;4.0000000000000000;L | M;;7.92;6.99;-113.65;-86.15;-14.33;1.36;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;8;0.0000000000000000;L | M;;-5.26;-3.96;167.41;35.68;-46.60;0.83;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.4444444444444444;E;;-7.23;-0.87;115.10;21.12;27.09;1.25;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.5000000000000000;M;;-7.48;-0.48;108.57;19.30;36.30;1.30;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.5000000000000000;M;;-7.48;-0.48;108.57;19.30;36.30;1.30;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.8888888888888888;E;;-8.73;0.58;72.01;10.91;74.92;0.58;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.0000000000000000;M;;-9.08;0.88;61.57;8.52;85.96;0.37;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.0000000000000000;M;;-9.08;0.88;61.57;8.52;85.96;0.37;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.3333333333333333;E;;-9.52;0.50;41.66;6.03;104.02;0.23;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.5000000000000000;M;;-9.73;0.31;31.70;4.79;113.05;0.15;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.5000000000000000;M;;-9.73;0.31;31.70;4.79;113.05;0.15;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.7777777777777777;E;;-9.82;0.14;18.42;3.64;119.60;0.13;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.0000000000000000;E | M;;-9.88;0.00;7.79;2.73;124.83;0.11;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.0000000000000000;E | M;;-9.88;0.00;7.79;2.73;124.83;0.11;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.2222222222222223;E;;-9.81;-0.14;-2.69;1.73;123.99;0.13;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.5000000000000000;M;;-9.71;-0.32;-15.79;0.49;122.94;0.16;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.5000000000000000;M;;-9.71;-0.32;-15.79;0.49;122.94;0.16;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.6666666666666670;E;;-9.45;-0.51;-25.27;-1.00;117.46;0.23;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.0000000000000000;M;;-8.92;-0.89;-44.22;-3.98;106.51;0.39;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.0000000000000000;M;;-8.92;-0.89;-44.22;-3.98;106.51;0.39;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.1111111111111116;E;;-8.47;-0.55;-54.59;-6.90;98.36;0.60;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5000000000000000;M;;-6.90;0.62;-90.89;-17.13;69.84;1.35;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5000000000000000;M;;-6.90;0.62;-90.89;-17.13;69.84;1.35;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5555555555555562;E;;-6.59;1.04;-97.70;-19.35;62.08;1.29;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;26;4.0000000000000000;L | M;;-4.10;4.38;-152.21;-37.13;0.00;0.80;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;11;0.0000000000000000;L | M;;-4.58;3.47;167.71;-29.97;-43.76;-0.63;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.4444444444444444;E;;-6.82;0.81;115.24;-16.18;30.16;-1.02;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.5000000000000000;M;;-7.10;0.48;108.68;-14.45;39.40;-1.07;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.5000000000000000;M;;-7.10;0.48;108.68;-14.45;39.40;-1.07;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;0.8888888888888888;E;;-8.56;-0.45;71.88;-6.45;78.11;-0.47;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.0000000000000000;M;;-8.98;-0.71;61.37;-4.16;89.17;-0.30;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.0000000000000000;M;;-8.98;-0.71;61.37;-4.16;89.17;-0.30;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.3333333333333333;E;;-9.56;-0.40;41.16;-1.69;107.09;-0.18;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.5000000000000000;M;;-9.85;-0.25;31.06;-0.46;116.05;-0.12;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.5000000000000000;M;;-9.85;-0.25;31.06;-0.46;116.05;-0.12;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;1.7777777777777777;E;;-10.03;-0.10;17.55;0.66;122.29;-0.10;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.0000000000000000;E | M;;-10.17;0.01;6.74;1.55;127.28;-0.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.0000000000000000;E | M;;-10.17;0.01;6.74;1.55;127.28;-0.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.2222222222222223;E;;-10.16;0.12;-3.92;2.41;126.06;-0.11;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.5000000000000000;M;;-10.15;0.27;-17.25;3.47;124.54;-0.14;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.5000000000000000;M;;-10.15;0.27;-17.25;3.47;124.54;-0.14;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;2.6666666666666670;E;;-9.94;0.42;-26.88;4.57;118.65;-0.20;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.0000000000000000;M;;-9.52;0.71;-46.15;6.75;106.89;-0.32;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.0000000000000000;M;;-9.52;0.71;-46.15;6.75;106.89;-0.32;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.1111111111111116;E;;-9.11;0.46;-56.54;8.74;98.36;-0.50;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.5000000000000000;M;;-7.70;-0.44;-92.89;15.69;68.50;-1.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.5000000000000000;M;;-7.70;-0.44;-92.89;15.69;68.50;-1.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.5555555555555562;E;;-7.42;-0.76;-99.66;17.18;60.56;-1.05;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;29;4.0000000000000000;L | M;;-5.14;-3.33;-153.80;29.13;-3.00;-0.69;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;14;0.0000000000000000;L | M;;-2.92;9.62;163.81;-87.95;-42.06;-1.87;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;0.4444444444444444;E;;-3.81;2.19;110.58;-48.29;27.96;-2.90;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;0.5000000000000000;M;;-3.92;1.26;103.93;-43.33;36.72;-3.03;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
