Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;69;3.000;1.000;-3.600;;0.01;0.00;-78.79;0.00;-0.01;10.70;
1;70;3.500;1.000;-3.600;;0.01;0.00;74.11;0.00;-0.01;-24.98;
1;71;4.000;1.000;-3.600;;0.01;0.00;26.75;0.00;-0.01;-65.00;
1;72;4.500;1.000;-3.600;;0.01;0.00;7.75;0.00;-0.01;-81.42;
1;73;5.000;1.000;-3.600;;0.01;0.00;-3.56;0.00;-0.01;88.33;
1;74;5.500;1.000;-3.600;;0.01;0.01;-11.80;-0.01;-0.01;81.28;
1;75;6.000;1.000;-3.600;;0.01;0.01;-24.67;-0.01;-0.01;71.86;
1;76;6.500;1.000;-3.600;;0.01;0.01;16.76;-0.01;-0.01;-75.98;
1;77;7.000;1.000;-3.600;;0.01;0.00;10.92;0.00;-0.01;-80.26;
1;78;7.500;1.000;-3.600;;0.01;0.00;1.99;0.00;-0.02;-88.19;
1;79;8.000;1.000;-3.600;;0.01;0.00;-6.49;0.00;-0.01;84.20;
1;80;8.500;1.000;-3.600;;0.01;0.01;-11.24;-0.01;-0.01;80.23;
1;81;9.000;1.000;-3.600;;0.01;0.01;11.83;-0.01;-0.01;-81.06;
1;82;9.500;1.000;-3.600;;0.01;0.01;14.58;-0.01;-0.01;-78.88;
1;83;10.000;1.000;-3.600;;0.01;0.00;7.58;0.00;-0.01;-84.57;
1;84;10.500;1.000;-3.600;;0.01;0.00;-2.10;0.00;-0.01;86.67;
1;85;11.000;1.000;-3.600;;0.01;0.00;-14.67;0.00;-0.01;75.28;
1;86;11.500;1.000;-3.600;;0.01;0.01;-51.48;-0.01;-0.01;52.10;
1;87;12.000;1.000;-3.600;;0.01;0.00;76.92;0.00;-0.01;-19.78;
1;88;12.500;1.000;-3.600;;0.01;0.00;26.88;-0.01;-0.01;-71.41;
1;89;13.000;1.000;-3.600;;0.01;0.00;9.42;0.00;-0.01;-87.55;
1;90;13.500;1.000;-3.600;;0.01;0.00;-24.24;0.00;-0.01;63.45;
1;91;14.000;1.000;-3.600;;0.01;0.00;-69.02;0.00;-0.01;25.91;
1;92;14.500;1.000;-3.600;;0.01;0.00;-87.78;0.00;-0.01;4.73;
1;93;15.000;1.000;-3.600;;0.01;-0.01;78.42;0.01;-0.01;-11.29;
1;94;0.000;1.500;-3.600;;0.01;-0.01;-83.45;0.01;-0.01;5.80;
1;95;0.500;1.500;-3.600;;0.01;0.00;-87.84;0.00;-0.01;0.89;
1;96;1.000;1.500;-3.600;;0.01;0.00;88.36;0.00;-0.01;-2.68;
1;98;2.000;1.500;-3.600;;0.02;0.00;89.06;0.00;-0.02;-1.42;
1;99;2.500;1.500;-3.600;;0.01;0.00;-87.55;0.00;-0.01;0.69;
1;100;3.000;1.500;-3.600;;0.01;0.00;-83.86;0.00;-0.01;4.82;
1;101;3.500;1.500;-3.600;;0.01;0.00;83.39;-0.01;-0.01;-10.94;
1;102;4.000;1.500;-3.600;;0.01;0.01;44.39;-0.01;-0.01;-55.54;
1;103;4.500;1.500;-3.600;;0.01;0.01;10.17;-0.01;-0.01;-80.28;
1;104;5.000;1.500;-3.600;;0.01;0.01;-0.71;-0.01;-0.01;-89.26;
1;105;5.500;1.500;-3.600;;0.01;0.01;-4.87;-0.01;-0.01;87.32;
1;106;6.000;1.500;-3.600;;0.01;0.01;-13.27;-0.01;-0.01;84.65;
1;107;6.500;1.500;-3.600;;0.01;0.01;12.20;-0.01;-0.01;-81.77;
1;108;7.000;1.500;-3.600;;0.01;0.01;9.27;-0.01;-0.01;-82.51;
1;109;7.500;1.500;-3.600;;0.01;0.01;2.61;-0.01;-0.01;-87.80;
1;110;8.000;1.500;-3.600;;0.01;0.01;-3.30;-0.01;-0.01;87.29;
1;111;8.500;1.500;-3.600;;0.01;0.01;-3.43;-0.01;-0.01;87.22;
1;112;9.000;1.500;-3.600;;0.01;0.01;8.95;-0.01;-0.01;-85.05;
1;113;9.500;1.500;-3.600;;0.01;0.01;9.93;-0.01;-0.01;-83.57;
1;114;10.000;1.500;-3.600;;0.01;0.01;6.43;-0.01;-0.01;-85.97;
1;115;10.500;1.500;-3.600;;0.01;0.01;-1.25;-0.01;-0.01;87.65;
1;116;11.000;1.500;-3.600;;0.01;0.01;-15.15;-0.01;-0.01;76.93;
1;117;11.500;1.500;-3.600;;0.01;0.01;-86.06;-0.01;-0.01;17.60;
1;118;12.000;1.500;-3.600;;0.01;0.01;77.31;-0.01;-0.01;-20.81;
1;119;12.500;1.500;-3.600;;0.01;0.01;51.31;-0.01;-0.01;-59.61;
1;120;13.000;1.500;-3.600;;0.01;0.01;48.27;-0.01;-0.01;-80.22;
1;121;13.500;1.500;-3.600;;0.01;0.01;-78.81;-0.01;-0.01;21.48;
1;122;14.000;1.500;-3.600;;0.01;0.00;-83.44;0.00;-0.01;9.02;
1;123;14.500;1.500;-3.600;;0.01;0.00;-89.76;0.00;-0.01;1.15;
1;124;15.000;1.500;-3.600;;0.01;0.00;84.09;0.00;-0.01;-5.91;
1;125;0.000;2.000;-3.600;;0.01;0.00;-87.40;0.00;-0.01;2.17;
