Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;88;12.500;1.000;-3.600;;0.296;0.281;0.296;0.016;
1;89;13.000;1.000;-3.600;;0.295;0.279;0.295;0.015;
1;90;13.500;1.000;-3.600;;0.250;0.232;0.250;0.015;
1;91;14.000;1.000;-3.600;;0.203;0.186;0.203;0.014;
1;92;14.500;1.000;-3.600;;0.238;0.228;0.238;0.011;
1;93;15.000;1.000;-3.600;;0.332;0.332;0.331;0.003;
1;94;0.000;1.500;-3.600;;0.349;0.349;0.345;0.005;
1;95;0.500;1.500;-3.600;;0.341;0.333;0.341;0.008;
1;96;1.000;1.500;-3.600;;0.361;0.348;0.361;0.009;
1;98;2.000;1.500;-3.600;;0.505;0.505;0.497;0.006;
1;99;2.500;1.500;-3.600;;0.298;0.298;0.298;0.007;
1;100;3.000;1.500;-3.600;;0.268;0.261;0.268;0.011;
1;101;3.500;1.500;-3.600;;0.284;0.268;0.284;0.012;
1;102;4.000;1.500;-3.600;;0.328;0.306;0.328;0.015;
1;103;4.500;1.500;-3.600;;0.379;0.351;0.379;0.017;
1;104;5.000;1.500;-3.600;;0.402;0.372;0.402;0.019;
1;105;5.500;1.500;-3.600;;0.392;0.362;0.392;0.020;
1;106;6.000;1.500;-3.600;;0.351;0.323;0.351;0.020;
1;107;6.500;1.500;-3.600;;0.374;0.343;0.374;0.020;
1;108;7.000;1.500;-3.600;;0.414;0.379;0.414;0.021;
1;109;7.500;1.500;-3.600;;0.436;0.400;0.436;0.021;
1;110;8.000;1.500;-3.600;;0.425;0.390;0.425;0.021;
1;111;8.500;1.500;-3.600;;0.390;0.358;0.390;0.020;
1;112;9.000;1.500;-3.600;;0.359;0.330;0.359;0.020;
1;113;9.500;1.500;-3.600;;0.392;0.362;0.392;0.020;
