Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
1;167;5.500;2.500;-3.600;;0.01;-0.05;88.07;0.05;-0.01;-1.75;
1;168;6.000;2.500;-3.600;;0.01;-0.05;-89.86;0.05;-0.01;0.06;
1;169;6.500;2.500;-3.600;;0.01;-0.04;90.00;0.05;-0.01;-0.23;
1;170;7.000;2.500;-3.600;;0.01;-0.04;89.29;0.05;-0.01;-0.81;
1;171;7.500;2.500;-3.600;;0.01;-0.04;88.71;0.05;-0.01;-1.14;
1;172;8.000;2.500;-3.600;;0.01;-0.04;88.35;0.05;-0.01;-1.31;
1;173;8.500;2.500;-3.600;;0.01;-0.05;88.16;0.06;-0.01;-1.46;
1;174;9.000;2.500;-3.600;;0.01;-0.05;88.49;0.06;-0.01;-1.30;
1;175;9.500;2.500;-3.600;;0.01;-0.05;89.88;0.06;-0.01;-0.05;
1;176;10.000;2.500;-3.600;;0.01;-0.04;-89.32;0.05;-0.01;0.85;
1;177;10.500;2.500;-3.600;;0.01;-0.04;-89.15;0.05;-0.01;1.24;
1;178;11.000;2.500;-3.600;;0.01;-0.03;89.62;0.04;-0.01;0.48;
1;179;11.500;2.500;-3.600;;0.01;-0.03;87.30;0.04;-0.01;-1.54;
1;180;12.000;2.500;-3.600;;0.01;-0.03;85.80;0.04;-0.01;-3.03;
1;181;12.500;2.500;-3.600;;0.01;-0.03;-89.89;0.04;-0.01;1.34;
1;182;13.000;2.500;-3.600;;0.01;-0.02;-85.89;0.03;-0.01;6.31;
1;183;13.500;2.500;-3.600;;0.00;-0.01;-79.24;0.02;0.00;15.73;
1;184;14.000;2.500;-3.600;;0.00;0.00;-45.23;0.01;0.00;48.74;
1;185;14.500;2.500;-3.600;;0.01;0.00;-0.56;0.00;-0.01;84.57;
1;186;15.000;2.500;-3.600;;0.01;0.00;9.84;0.00;-0.01;-75.68;
1;187;0.000;3.000;-3.600;;0.02;-0.01;-25.38;0.00;-0.02;62.91;
1;188;0.500;3.000;-3.600;;0.02;0.00;-28.35;0.01;-0.01;70.57;
1;189;1.000;3.000;-3.600;;0.01;0.00;-39.95;0.00;0.00;54.46;
1;190;1.500;3.000;-3.600;;0.00;-0.01;-77.84;0.01;0.00;1.16;
1;191;2.000;3.000;-3.600;;0.00;-0.02;-84.23;0.03;-0.01;0.90;
1;192;2.500;3.000;-3.600;;0.01;-0.03;-80.91;0.04;-0.01;5.08;
1;193;3.000;3.000;-3.600;;0.01;-0.02;-69.97;0.03;-0.01;14.85;
1;194;3.500;3.000;-3.600;;0.00;-0.01;-81.54;0.02;0.00;1.54;
1;195;4.000;3.000;-3.600;;0.00;-0.02;84.74;0.03;-0.01;-6.72;
1;196;4.500;3.000;-3.600;;0.01;-0.03;83.02;0.04;-0.01;-7.02;
1;197;5.000;3.000;-3.600;;0.01;-0.04;84.67;0.05;-0.01;-5.16;
1;198;5.500;3.000;-3.600;;0.01;-0.05;87.79;0.06;-0.01;-2.16;
1;199;6.000;3.000;-3.600;;0.01;-0.05;-87.89;0.06;-0.01;1.69;
1;200;6.500;3.000;-3.600;;0.01;-0.04;-88.89;0.05;-0.01;0.33;
1;201;7.000;3.000;-3.600;;0.01;-0.04;89.48;0.05;-0.01;-0.85;
1;202;7.500;3.000;-3.600;;0.01;-0.04;88.53;0.05;-0.01;-1.29;
1;203;8.000;3.000;-3.600;;0.01;-0.04;87.87;0.05;-0.01;-1.52;
1;204;8.500;3.000;-3.600;;0.01;-0.05;87.23;0.05;-0.01;-1.93;
1;205;9.000;3.000;-3.600;;0.01;-0.05;87.24;0.06;-0.01;-2.33;
1;206;9.500;3.000;-3.600;;0.01;-0.05;-89.96;0.06;-0.01;0.23;
1;207;10.000;3.000;-3.600;;0.01;-0.04;-88.15;0.05;-0.01;2.13;
1;208;10.500;3.000;-3.600;;0.01;-0.04;-87.77;0.05;-0.01;2.91;
1;209;11.000;3.000;-3.600;;0.01;-0.03;-89.63;0.04;-0.01;2.03;
1;210;11.500;3.000;-3.600;;0.01;-0.03;84.55;0.03;-0.01;-2.49;
1;211;12.000;3.000;-3.600;;0.01;-0.04;80.55;0.04;-0.01;-7.29;
1;212;12.500;3.000;-3.600;;0.01;-0.04;-89.55;0.05;-0.01;2.60;
1;213;13.000;3.000;-3.600;;0.01;-0.03;-81.74;0.03;-0.01;11.18;
1;214;13.500;3.000;-3.600;;0.00;-0.01;-70.74;0.02;-0.01;23.21;
1;215;14.000;3.000;-3.600;;0.01;0.00;-34.03;0.01;-0.01;48.12;
1;216;14.500;3.000;-3.600;;0.01;0.00;3.47;0.00;-0.01;81.02;
1;217;15.000;3.000;-3.600;;0.02;0.00;16.49;0.00;-0.02;-71.93;
1;218;0.000;3.500;-3.600;;0.05;-0.01;-25.81;0.00;-0.04;69.00;
1;219;0.500;3.500;-3.600;;0.03;0.00;-17.46;0.00;-0.02;86.07;
1;220;1.000;3.500;-3.600;;0.01;0.00;-20.84;0.00;0.00;-33.85;
1;221;1.500;3.500;-3.600;;0.00;-0.01;-85.92;0.02;0.00;-7.46;
1;222;2.000;3.500;-3.600;;0.00;-0.02;-87.06;0.03;-0.01;-1.75;
1;223;2.500;3.500;-3.600;;0.00;-0.04;-83.12;0.04;-0.01;3.05;
1;224;3.000;3.500;-3.600;;0.02;-0.03;-53.89;0.04;-0.01;32.20;
1;225;3.500;3.500;-3.600;;0.00;0.00;-66.04;0.01;0.00;-3.61;
1;226;4.000;3.500;-3.600;;0.00;-0.02;81.56;0.03;-0.01;-8.96;
1;227;4.500;3.500;-3.600;;0.01;-0.03;81.75;0.04;-0.01;-7.75;
1;228;5.000;3.500;-3.600;;0.01;-0.04;84.73;0.05;-0.01;-5.19;
1;229;5.500;3.500;-3.600;;0.01;-0.05;88.13;0.06;-0.01;-2.18;
1;230;6.000;3.500;-3.600;;0.01;-0.05;-83.45;0.06;-0.01;4.73;
1;231;6.500;3.500;-3.600;;0.01;-0.04;-88.76;0.05;-0.01;-0.30;
1;232;7.000;3.500;-3.600;;0.01;-0.04;89.49;0.05;-0.01;-1.10;
1;233;7.500;3.500;-3.600;;0.01;-0.04;88.59;0.05;-0.01;-1.21;
1;234;8.000;3.500;-3.600;;0.01;-0.04;88.04;0.05;-0.01;-1.10;
1;235;8.500;3.500;-3.600;;0.01;-0.04;87.37;0.05;-0.01;-1.21;
1;236;9.000;3.500;-3.600;;0.01;-0.05;84.53;0.06;-0.01;-4.08;
1;237;9.500;3.500;-3.600;;0.01;-0.05;89.92;0.06;-0.01;0.37;
1;238;10.000;3.500;-3.600;;0.01;-0.04;-88.07;0.05;-0.01;2.27;
1;239;10.500;3.500;-3.600;;0.01;-0.04;-86.95;0.05;-0.01;3.52;
1;240;11.000;3.500;-3.600;;0.01;-0.03;-89.04;0.04;-0.01;3.17;
1;241;11.500;3.500;-3.600;;0.01;-0.02;82.52;0.03;-0.01;-0.39;
1;242;12.000;3.500;-3.600;;0.01;-0.05;68.37;0.05;-0.01;-17.55;
1;243;12.500;3.500;-3.600;;0.01;-0.05;-89.15;0.06;-0.01;3.47;
1;244;13.000;3.500;-3.600;;0.01;-0.03;-81.22;0.04;-0.01;11.34;
1;245;13.500;3.500;-3.600;;0.01;-0.01;-65.10;0.02;-0.01;23.53;
1;246;14.000;3.500;-3.600;;0.01;0.00;-20.91;0.01;-0.01;46.19;
1;247;14.500;3.500;-3.600;;0.03;0.00;4.42;0.00;-0.02;77.26;
1;248;15.000;3.500;-3.600;;0.05;0.00;19.62;0.00;-0.05;-76.30;
1;249;0.000;4.000;-3.600;;0.10;-0.02;-18.88;0.02;-0.05;71.21;
1;250;0.500;4.000;-3.600;;0.05;-0.01;-5.31;0.01;-0.02;-89.69;
1;251;1.000;4.000;-3.600;;0.01;0.00;3.94;0.00;0.00;-16.22;
1;252;1.500;4.000;-3.600;;0.00;-0.01;71.99;0.02;0.00;-5.96;
1;253;2.000;4.000;-3.600;;0.01;-0.02;86.29;0.03;-0.01;-2.70;
1;254;2.500;4.000;-3.600;;0.01;-0.05;-86.76;0.06;-0.01;2.05;
1;255;3.000;4.000;-3.600;;0.05;-0.06;-45.83;0.06;-0.03;43.37;
1;256;3.500;4.000;-3.600;;0.02;0.00;1.17;0.00;0.00;-66.61;
1;257;4.000;4.000;-3.600;;0.00;-0.02;75.94;0.03;-0.01;-8.26;
1;258;4.500;4.000;-3.600;;0.01;-0.03;81.71;0.04;-0.01;-6.22;
1;259;5.000;4.000;-3.600;;0.01;-0.04;84.55;0.05;-0.01;-4.60;
1;260;5.500;4.000;-3.600;;0.01;-0.06;89.23;0.07;-0.01;-1.03;
1;261;6.000;4.000;-3.600;;0.01;-0.06;-70.22;0.07;0.00;10.78;
1;262;6.500;4.000;-3.600;;0.01;-0.03;88.23;0.04;-0.01;-2.31;
1;263;7.000;4.000;-3.600;;0.01;-0.04;88.78;0.05;-0.01;-0.92;
1;264;7.500;4.000;-3.600;;0.01;-0.04;88.88;0.05;-0.01;-0.88;
1;265;8.000;4.000;-3.600;;0.01;-0.04;89.05;0.05;-0.01;-0.78;
1;266;8.500;4.000;-3.600;;0.01;-0.04;89.86;0.05;-0.01;0.68;
1;267;9.000;4.000;-3.600;;0.00;-0.06;79.24;0.07;0.00;-6.33;
1;268;9.500;4.000;-3.600;;0.01;-0.06;89.31;0.07;-0.01;-0.35;
1;269;10.000;4.000;-3.600;;0.01;-0.05;-87.54;0.05;-0.01;2.10;
1;270;10.500;4.000;-3.600;;0.01;-0.04;-86.43;0.05;-0.01;2.79;
1;271;11.000;4.000;-3.600;;0.01;-0.03;-85.60;0.04;-0.01;3.00;
1;272;11.500;4.000;-3.600;;0.00;0.00;-82.72;0.02;0.00;6.29;
1;273;12.000;4.000;-3.600;;0.03;-0.08;49.20;0.07;-0.02;-38.66;
1;274;12.500;4.000;-3.600;;0.01;-0.07;-89.38;0.07;-0.02;1.72;
1;275;13.000;4.000;-3.600;;0.01;-0.03;-78.46;0.04;-0.01;9.74;
1;276;13.500;4.000;-3.600;;0.00;-0.01;-59.02;0.02;0.00;16.89;
1;277;14.000;4.000;-3.600;;0.02;-0.01;-17.68;0.01;-0.01;39.64;
1;278;14.500;4.000;-3.600;;0.06;-0.01;1.59;0.01;-0.03;83.63;
1;279;15.000;4.000;-3.600;;0.13;-0.02;16.70;0.02;-0.07;-75.18;
Extremes;1;0.000;0.000;-3.600;ε_1,+;0.13;-0.02;12.62;0.02;-0.07;-82.14;
1;153;14.000;2.000;-3.600;ε_1,+;0.00;0.00;-41.30;0.00;0.00;83.72;
1;216;14.500;3.000;-3.600;ε_2,+;0.01;0.00;3.47;0.00;-0.01;81.02;
1;7;3.000;0.000;-3.600;ε_2,+;0.03;-0.08;46.66;0.07;-0.02;-42.49;
1;6;2.500;0.000;-3.600;ε_1,-;0.02;-0.08;-88.03;0.08;-0.02;2.53;
1;248;15.000;3.500;-3.600;ε_1,-;0.05;0.00;19.62;0.00;-0.05;-76.30;
1;153;14.000;2.000;-3.600;ε_2,-;0.00;0.00;-41.30;0.00;0.00;83.72;
1;31;15.000;0.000;-3.600;ε_2,-;0.13;-0.02;-14.70;0.02;-0.07;78.27;
Total;;;;;;0.13;0.00;90.00;0.08;0.00;89.57;
1;;;;;;0.00;-0.08;-89.97;0.00;-0.07;-89.69;
;;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;;
1;1;0.000;0.000;-3.600;ε_1,+;0.13;-0.02;12.62;0.02;-0.07;-82.14;
1;153;14.000;2.000;-3.600;ε_1,+;0.00;0.00;-41.30;0.00;0.00;83.72;
1;216;14.500;3.000;-3.600;ε_2,+;0.01;0.00;3.47;0.00;-0.01;81.02;
1;7;3.000;0.000;-3.600;ε_2,+;0.03;-0.08;46.66;0.07;-0.02;-42.49;
1;6;2.500;0.000;-3.600;ε_1,-;0.02;-0.08;-88.03;0.08;-0.02;2.53;
1;248;15.000;3.500;-3.600;ε_1,-;0.05;0.00;19.62;0.00;-0.05;-76.30;
1;153;14.000;2.000;-3.600;ε_2,-;0.00;0.00;-41.30;0.00;0.00;83.72;
1;31;15.000;0.000;-3.600;ε_2,-;0.13;-0.02;-14.70;0.02;-0.07;78.27;
;;;;;;;;;;;;
Total;;;;;;0.13;0.00;90.00;0.08;0.00;89.57;
max/min;;;;;;0.00;-0.08;-89.97;0.00;-0.07;-89.69;
