Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;1;0.000;0.000;-3.600;;0.13;-0.02;12.62;0.02;-0.07;-82.14;
1;2;0.500;0.000;-3.600;;0.06;-0.01;-2.92;0.01;-0.03;76.54;
1;3;1.000;0.000;-3.600;;0.02;-0.01;-17.93;0.01;-0.01;42.56;
1;4;1.500;0.000;-3.600;;0.01;-0.01;-51.43;0.02;-0.01;25.24;
1;5;2.000;0.000;-3.600;;0.01;-0.04;-78.81;0.04;-0.01;10.36;
1;6;2.500;0.000;-3.600;;0.02;-0.08;-88.03;0.08;-0.02;2.53;
1;7;3.000;0.000;-3.600;;0.03;-0.08;46.66;0.07;-0.02;-42.49;
1;8;3.500;0.000;-3.600;;0.01;0.00;-14.06;0.01;0.00;19.07;
1;9;4.000;0.000;-3.600;;0.00;-0.02;-81.67;0.03;-0.01;5.59;
1;10;4.500;0.000;-3.600;;0.01;-0.03;-85.01;0.04;-0.01;3.94;
1;11;5.000;0.000;-3.600;;0.01;-0.04;-87.34;0.05;-0.01;2.31;
1;12;5.500;0.000;-3.600;;0.01;-0.06;87.81;0.07;-0.01;-1.63;
1;13;6.000;0.000;-3.600;;0.00;-0.05;69.90;0.06;0.00;-9.65;
1;14;6.500;0.000;-3.600;;0.01;-0.03;-87.23;0.04;-0.01;3.04;
1;15;7.000;0.000;-3.600;;0.01;-0.04;-89.65;0.05;-0.01;0.26;
1;16;7.500;0.000;-3.600;;0.01;-0.04;89.77;0.05;-0.01;-0.19;
1;17;8.000;0.000;-3.600;;0.01;-0.04;89.12;0.05;-0.01;-0.69;
1;18;8.500;0.000;-3.600;;0.01;-0.04;86.66;0.05;-0.01;-3.35;
1;19;9.000;0.000;-3.600;;0.00;-0.05;-81.85;0.06;0.00;4.34;
1;20;9.500;0.000;-3.600;;0.01;-0.06;-88.32;0.07;-0.01;1.24;
1;21;10.000;0.000;-3.600;;0.01;-0.05;87.40;0.05;-0.01;-2.27;
1;22;10.500;0.000;-3.600;;0.01;-0.04;85.72;0.05;-0.01;-3.45;
1;23;11.000;0.000;-3.600;;0.01;-0.03;83.87;0.04;-0.01;-4.39;
1;24;11.500;0.000;-3.600;;0.00;0.00;55.42;0.02;0.00;-13.04;
1;25;12.000;0.000;-3.600;;0.03;-0.08;-46.63;0.07;-0.02;42.38;
1;26;12.500;0.000;-3.600;;0.01;-0.07;-89.55;0.07;-0.02;-0.67;
1;27;13.000;0.000;-3.600;;0.01;-0.03;78.77;0.04;-0.01;-9.68;
1;28;13.500;0.000;-3.600;;0.00;-0.01;58.90;0.02;0.00;-17.72;
1;29;14.000;0.000;-3.600;;0.02;-0.01;18.58;0.01;-0.01;-41.41;
1;30;14.500;0.000;-3.600;;0.06;-0.01;-0.06;0.01;-0.03;-81.29;
1;31;15.000;0.000;-3.600;;0.13;-0.02;-14.70;0.02;-0.07;78.27;
1;32;0.000;0.500;-3.600;;0.05;0.00;11.53;0.00;-0.05;-84.21;
1;33;0.500;0.500;-3.600;;0.04;0.00;-6.85;0.01;-0.03;71.96;
1;34;1.000;0.500;-3.600;;0.02;-0.01;-23.65;0.02;-0.02;48.61;
1;35;1.500;0.500;-3.600;;0.01;-0.02;-62.20;0.03;-0.01;26.62;
1;36;2.000;0.500;-3.600;;0.01;-0.04;-74.21;0.05;-0.01;17.71;
1;37;2.500;0.500;-3.600;;0.00;-0.05;-83.22;0.06;-0.01;8.13;
1;38;3.000;0.500;-3.600;;0.01;-0.04;63.59;0.05;-0.01;-21.78;
1;39;3.500;0.500;-3.600;;0.00;-0.01;83.62;0.02;0.00;4.59;
1;40;4.000;0.500;-3.600;;0.00;-0.02;-85.94;0.03;-0.01;6.33;
1;41;4.500;0.500;-3.600;;0.01;-0.03;-85.60;0.04;-0.01;5.05;
1;42;5.000;0.500;-3.600;;0.01;-0.04;-88.17;0.05;-0.01;2.55;
1;43;5.500;0.500;-3.600;;0.01;-0.05;88.72;0.06;-0.01;-0.36;
1;44;6.000;0.500;-3.600;;0.00;-0.05;81.48;0.06;0.00;-6.42;
1;45;6.500;0.500;-3.600;;0.01;-0.04;87.93;0.05;-0.01;-0.43;
1;46;7.000;0.500;-3.600;;0.01;-0.04;89.00;0.05;-0.01;-0.16;
1;47;7.500;0.500;-3.600;;0.01;-0.04;89.46;0.05;-0.01;-0.41;
1;48;8.000;0.500;-3.600;;0.01;-0.04;89.67;0.05;-0.01;-0.81;
1;49;8.500;0.500;-3.600;;0.01;-0.04;-89.88;0.05;-0.01;-0.93;
1;50;9.000;0.500;-3.600;;0.00;-0.05;-85.18;0.06;0.00;3.41;
1;51;9.500;0.500;-3.600;;0.01;-0.05;-89.91;0.06;-0.01;-0.46;
1;52;10.000;0.500;-3.600;;0.01;-0.05;87.59;0.05;-0.01;-2.80;
1;53;10.500;0.500;-3.600;;0.01;-0.04;85.85;0.05;-0.01;-4.56;
1;54;11.000;0.500;-3.600;;0.01;-0.03;86.91;0.04;-0.01;-4.96;
1;55;11.500;0.500;-3.600;;0.00;-0.02;-85.91;0.02;0.00;-2.73;
1;56;12.000;0.500;-3.600;;0.01;-0.05;-66.90;0.05;-0.01;18.86;
1;57;12.500;0.500;-3.600;;0.00;-0.05;89.57;0.06;-0.01;-3.26;
1;58;13.000;0.500;-3.600;;0.01;-0.03;81.10;0.04;-0.01;-11.69;
1;59;13.500;0.500;-3.600;;0.01;-0.01;63.32;0.02;-0.01;-25.04;
1;60;14.000;0.500;-3.600;;0.01;0.00;20.32;0.01;-0.01;-48.92;
1;61;14.500;0.500;-3.600;;0.03;0.00;-2.71;0.01;-0.03;-77.42;
1;62;15.000;0.500;-3.600;;0.05;-0.01;-17.53;0.00;-0.05;78.22;
1;63;0.000;1.000;-3.600;;0.02;0.00;3.24;0.00;-0.02;-88.15;
1;64;0.500;1.000;-3.600;;0.02;0.00;-15.17;0.01;-0.02;72.17;
1;65;1.000;1.000;-3.600;;0.01;0.00;-37.99;0.01;-0.02;50.83;
1;66;1.500;1.000;-3.600;;0.01;-0.02;-70.83;0.03;-0.01;19.70;
1;67;2.000;1.000;-3.600;;0.01;-0.03;-60.47;0.05;-0.01;28.81;
1;68;2.500;1.000;-3.600;;0.00;-0.03;-81.16;0.04;-0.01;12.12;
1;69;3.000;1.000;-3.600;;0.00;-0.03;81.27;0.04;0.00;-4.78;
1;70;3.500;1.000;-3.600;;0.00;-0.02;84.83;0.03;0.00;0.03;
1;71;4.000;1.000;-3.600;;0.00;-0.02;-87.99;0.03;0.00;4.52;
1;72;4.500;1.000;-3.600;;0.00;-0.03;-86.84;0.04;-0.01;4.28;
1;73;5.000;1.000;-3.600;;0.01;-0.04;-88.07;0.05;-0.01;2.57;
1;74;5.500;1.000;-3.600;;0.01;-0.05;89.12;0.06;-0.01;-0.31;
1;75;6.000;1.000;-3.600;;0.01;-0.05;85.72;0.06;-0.01;-3.53;
1;76;6.500;1.000;-3.600;;0.01;-0.04;86.89;0.05;-0.01;-2.07;
1;77;7.000;1.000;-3.600;;0.01;-0.04;88.24;0.05;-0.01;-1.09;
1;78;7.500;1.000;-3.600;;0.01;-0.04;89.22;0.05;-0.01;-0.63;
1;79;8.000;1.000;-3.600;;0.01;-0.04;-89.97;0.05;-0.01;-0.29;
1;80;8.500;1.000;-3.600;;0.01;-0.04;-89.10;0.05;-0.01;0.26;
1;81;9.000;1.000;-3.600;;0.01;-0.05;-88.27;0.06;-0.01;1.36;
1;82;9.500;1.000;-3.600;;0.01;-0.05;89.19;0.06;-0.01;-1.00;
1;83;10.000;1.000;-3.600;;0.01;-0.04;87.09;0.05;-0.01;-3.17;
1;84;10.500;1.000;-3.600;;0.01;-0.04;86.47;0.05;-0.01;-4.17;
1;85;11.000;1.000;-3.600;;0.01;-0.03;88.10;0.04;-0.01;-3.52;
1;86;11.500;1.000;-3.600;;0.01;-0.03;-85.93;0.03;0.00;1.02;
1;87;12.000;1.000;-3.600;;0.01;-0.04;-81.02;0.04;-0.01;6.75;
1;88;12.500;1.000;-3.600;;0.00;-0.04;89.27;0.05;-0.01;-3.03;
1;89;13.000;1.000;-3.600;;0.00;-0.03;80.93;0.03;-0.01;-12.14;
1;90;13.500;1.000;-3.600;;0.00;-0.01;68.62;0.02;-0.01;-25.08;
1;91;14.000;1.000;-3.600;;0.01;0.00;28.41;0.01;-0.01;-51.71;
1;92;14.500;1.000;-3.600;;0.02;0.00;-3.14;0.01;-0.02;-82.13;
1;93;15.000;1.000;-3.600;;0.02;-0.01;-15.48;0.00;-0.02;73.57;
1;94;0.000;1.500;-3.600;;0.01;0.00;-7.54;0.00;-0.01;73.19;
1;95;0.500;1.500;-3.600;;0.01;0.00;-18.55;0.01;-0.01;66.98;
1;96;1.000;1.500;-3.600;;0.01;0.00;-46.58;0.01;-0.01;56.37;
1;98;2.000;1.500;-3.600;;0.00;-0.02;-57.24;0.02;-0.01;36.91;
1;99;2.500;1.500;-3.600;;0.00;-0.02;-82.86;0.03;0.00;11.19;
1;100;3.000;1.500;-3.600;;0.00;-0.03;88.16;0.03;0.00;1.70;
1;101;3.500;1.500;-3.600;;0.00;-0.02;87.80;0.03;0.00;0.31;
1;102;4.000;1.500;-3.600;;0.00;-0.03;89.77;0.03;0.00;1.51;
1;103;4.500;1.500;-3.600;;0.00;-0.03;-89.16;0.04;-0.01;1.73;
1;104;5.000;1.500;-3.600;;0.01;-0.04;-89.54;0.05;-0.01;0.97;
1;105;5.500;1.500;-3.600;;0.01;-0.04;89.25;0.05;-0.01;-0.40;
1;106;6.000;1.500;-3.600;;0.01;-0.05;87.52;0.06;-0.01;-2.02;
1;107;6.500;1.500;-3.600;;0.01;-0.04;87.52;0.05;-0.01;-1.91;
1;108;7.000;1.500;-3.600;;0.01;-0.04;88.12;0.05;-0.01;-1.43;
1;109;7.500;1.500;-3.600;;0.01;-0.04;89.05;0.05;-0.01;-0.80;
1;110;8.000;1.500;-3.600;;0.01;-0.04;89.91;0.05;-0.01;-0.24;
1;111;8.500;1.500;-3.600;;0.01;-0.05;-89.59;0.05;-0.01;0.13;
1;112;9.000;1.500;-3.600;;0.01;-0.05;-89.63;0.06;-0.01;0.21;
1;113;9.500;1.500;-3.600;;0.01;-0.05;88.93;0.06;-0.01;-1.09;
1;114;10.000;1.500;-3.600;;0.01;-0.04;87.97;0.05;-0.01;-2.14;
1;115;10.500;1.500;-3.600;;0.01;-0.04;87.91;0.05;-0.01;-2.46;
1;116;11.000;1.500;-3.600;;0.01;-0.03;89.41;0.04;-0.01;-1.52;
1;117;11.500;1.500;-3.600;;0.01;-0.03;-88.12;0.04;-0.01;0.60;
1;118;12.000;1.500;-3.600;;0.01;-0.03;-86.51;0.04;-0.01;2.25;
1;119;12.500;1.500;-3.600;;0.01;-0.03;89.11;0.04;-0.01;-2.20;
1;120;13.000;1.500;-3.600;;0.01;-0.02;84.83;0.03;-0.01;-7.52;
1;121;13.500;1.500;-3.600;;0.00;-0.01;78.06;0.02;0.00;-17.43;
1;122;14.000;1.500;-3.600;;0.00;0.00;34.63;0.01;0.00;-53.55;
1;123;14.500;1.500;-3.600;;0.01;0.00;-2.52;0.00;-0.01;-86.87;
1;124;15.000;1.500;-3.600;;0.01;-0.01;-10.37;0.00;-0.01;76.38;
1;125;0.000;2.000;-3.600;;0.01;-0.01;-14.41;0.00;-0.01;66.64;
1;126;0.500;2.000;-3.600;;0.01;-0.01;-22.61;0.01;-0.01;62.41;
1;127;1.000;2.000;-3.600;;0.00;0.00;-42.68;0.01;0.00;51.75;
1;128;1.500;2.000;-3.600;;0.00;-0.02;-69.95;0.02;-0.01;16.82;
1;129;2.000;2.000;-3.600;;0.00;-0.02;88.94;0.02;-0.01;-3.13;
1;130;2.500;2.000;-3.600;;0.01;-0.02;-85.59;0.03;-0.01;3.20;
1;131;3.000;2.000;-3.600;;0.01;-0.02;-86.75;0.03;-0.01;3.18;
1;132;3.500;2.000;-3.600;;0.00;-0.02;-89.02;0.03;0.00;0.95;
1;133;4.000;2.000;-3.600;;0.00;-0.03;88.95;0.03;0.00;-0.76;
1;134;4.500;2.000;-3.600;;0.01;-0.03;88.36;0.04;-0.01;-1.26;
1;135;5.000;2.000;-3.600;;0.01;-0.04;88.54;0.05;-0.01;-1.15;
1;136;5.500;2.000;-3.600;;0.01;-0.04;88.68;0.05;-0.01;-1.07;
1;137;6.000;2.000;-3.600;;0.01;-0.05;88.80;0.05;-0.01;-1.00;
1;138;6.500;2.000;-3.600;;0.01;-0.04;88.72;0.05;-0.01;-1.10;
1;139;7.000;2.000;-3.600;;0.01;-0.04;88.66;0.05;-0.01;-1.16;
1;140;7.500;2.000;-3.600;;0.01;-0.04;88.88;0.05;-0.01;-0.98;
1;141;8.000;2.000;-3.600;;0.01;-0.04;89.18;0.05;-0.01;-0.75;
1;142;8.500;2.000;-3.600;;0.01;-0.05;89.32;0.06;-0.01;-0.64;
1;143;9.000;2.000;-3.600;;0.01;-0.05;89.41;0.06;-0.01;-0.57;
1;144;9.500;2.000;-3.600;;0.01;-0.05;89.36;0.06;-0.01;-0.61;
1;145;10.000;2.000;-3.600;;0.01;-0.04;89.29;0.05;-0.01;-0.68;
1;146;10.500;2.000;-3.600;;0.01;-0.04;89.40;0.05;-0.01;-0.60;
1;147;11.000;2.000;-3.600;;0.01;-0.03;89.59;0.04;-0.01;-0.46;
1;148;11.500;2.000;-3.600;;0.01;-0.03;89.62;0.04;-0.01;-0.44;
1;149;12.000;2.000;-3.600;;0.01;-0.03;89.62;0.04;-0.01;-0.42;
1;150;12.500;2.000;-3.600;;0.01;-0.03;89.56;0.04;-0.01;-0.47;
1;151;13.000;2.000;-3.600;;0.01;-0.02;89.47;0.03;-0.01;-0.61;
1;152;13.500;2.000;-3.600;;0.00;-0.01;89.82;0.01;0.00;-0.51;
1;153;14.000;2.000;-3.600;;0.00;0.00;-41.30;0.00;0.00;83.72;
1;154;14.500;2.000;-3.600;;0.01;0.00;-2.26;0.00;-0.01;88.58;
1;155;15.000;2.000;-3.600;;0.01;0.00;-0.83;0.00;-0.01;89.57;
1;156;0.000;2.500;-3.600;;0.01;-0.01;-22.89;0.00;-0.02;61.81;
1;157;0.500;2.500;-3.600;;0.01;-0.01;-27.69;0.01;-0.01;65.70;
1;158;1.000;2.500;-3.600;;0.01;-0.01;-44.66;0.01;0.00;52.03;
1;159;1.500;2.500;-3.600;;0.00;-0.01;-73.09;0.02;0.00;13.13;
1;160;2.000;2.500;-3.600;;0.01;-0.02;-85.30;0.03;-0.01;2.69;
1;161;2.500;2.500;-3.600;;0.01;-0.03;-83.80;0.03;-0.01;3.41;
1;162;3.000;2.500;-3.600;;0.01;-0.02;-79.42;0.03;-0.01;7.12;
1;163;3.500;2.500;-3.600;;0.00;-0.02;-85.74;0.03;0.00;1.49;
1;164;4.000;2.500;-3.600;;0.00;-0.02;87.88;0.03;0.00;-3.18;
1;165;4.500;2.500;-3.600;;0.01;-0.03;85.74;0.04;-0.01;-4.29;
1;166;5.000;2.500;-3.600;;0.01;-0.04;86.51;0.05;-0.01;-3.32;
