Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;113.7;0.0;0.0;113.7;0.0;0.0;0.0;concrete part
2;113.8;0.2;0.0;113.8;0.1;-0.3;0.0;concrete top + steel bottom
3;113.8;0.5;0.1;113.8;0.0;-2.0;0.0;steel top
4;114.7;0.0;0.0;114.7;0.0;0.0;0.0;concrete part
5;114.7;0.2;0.0;114.7;0.1;-0.2;0.0;concrete top + steel bottom
6;114.7;1.1;0.0;114.7;0.0;-0.2;0.2;steel top
7;115.4;0.0;0.0;115.4;0.0;0.0;0.0;concrete part
8;115.4;0.2;0.0;115.4;0.1;-0.2;0.0;concrete top + steel bottom
9;115.4;0.8;0.1;115.4;0.0;-0.2;0.0;steel top
10;115.6;0.0;0.0;115.6;0.0;0.0;0.0;concrete part
11;115.7;0.1;0.0;115.7;0.1;0.0;0.0;concrete top + steel bottom
12;115.7;0.3;0.1;115.7;0.0;0.0;0.0;steel top
13;115.5;0.0;0.0;115.5;0.0;0.0;0.0;concrete part
14;115.6;0.1;0.0;115.6;0.1;0.1;0.0;concrete top + steel bottom
15;115.6;-0.2;0.0;115.6;0.0;0.1;0.0;steel top
16;115.1;0.0;0.0;115.1;0.0;0.0;0.0;concrete part
17;115.1;0.1;0.0;115.1;0.1;0.1;0.0;concrete top + steel bottom
18;115.2;0.5;0.0;115.2;0.0;1.9;0.0;steel top
19;113.8;0.0;0.0;113.8;0.0;0.0;0.0;concrete part
20;113.8;0.2;0.0;113.8;0.0;-0.3;0.0;concrete top + steel bottom
21;113.9;0.5;0.1;113.9;0.0;-2.0;0.0;steel top
22;114.7;0.0;0.0;114.7;0.0;0.0;0.0;concrete part
23;114.8;0.2;0.0;114.8;0.0;-0.2;0.0;concrete top + steel bottom
24;114.8;0.6;0.0;114.8;0.0;0.0;0.0;steel top
25;115.4;0.0;0.0;115.4;0.0;0.0;0.0;concrete part
26;115.5;0.2;0.0;115.5;0.0;-0.1;0.0;concrete top + steel bottom
27;115.5;0.8;0.1;115.5;0.0;-0.1;0.0;steel top
28;115.7;0.0;0.0;115.7;0.0;0.0;0.0;concrete part
29;115.7;0.2;0.0;115.7;0.0;0.0;0.0;concrete top + steel bottom
30;115.7;0.3;0.1;115.7;0.0;0.0;0.0;steel top
31;115.5;0.0;0.0;115.5;0.0;0.0;0.0;concrete part
32;115.6;0.1;0.0;115.6;0.0;0.1;0.0;concrete top + steel bottom
33;115.6;-0.2;0.0;115.6;0.0;0.1;0.0;steel top
34;115.1;0.0;0.0;115.1;0.0;0.0;0.0;concrete part
35;115.2;0.1;0.0;115.2;0.0;0.1;0.0;concrete top + steel bottom
36;115.2;0.5;0.0;115.2;0.0;1.9;0.0;steel top
37;114.2;0.2;0.0;114.2;0.1;-0.3;0.0;opening node
38;114.2;0.2;0.0;114.2;0.0;-0.3;0.0;opening node
39;114.5;0.2;0.0;114.5;0.0;-0.3;0.0;opening node
40;114.5;0.2;0.0;114.5;0.1;-0.3;0.0;opening node
Total;115.7;1.1;0.1;115.7;0.1;1.9;0.2;
max/min;113.7;-0.2;0.0;113.7;0.0;-2.0;0.0;
