;Increment;Iteration;Load Factor;;;;
;No.;No.;[--];Deformation;Status;;Comment
;Maximum Displacement;;;u_max [mm];;;
;1;1;1.000;115.8;;;
;1;2;1.000;115.8;;;
;1;3;1.000;115.8;;;
;;;;;;;
;Maximum Rotation;;;φ_max [mrad];;;
;1;1;1.000;2.0;;;
;1;2;1.000;2.0;;;
;1;3;1.000;2.0;;;
