Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;88;12.500;1.000;-3.600;;1.848;1.559;1.848;0.154;
1;89;13.000;1.000;-3.600;;1.382;1.093;1.382;0.155;
1;90;13.500;1.000;-3.600;;0.878;0.571;0.878;0.161;
1;91;14.000;1.000;-3.600;;0.511;0.395;0.511;0.163;
1;92;14.500;1.000;-3.600;;0.614;0.614;0.575;0.130;
1;93;15.000;1.000;-3.600;;0.715;0.626;0.715;0.075;
1;94;0.000;1.500;-3.600;;0.567;0.412;0.567;0.093;
1;95;0.500;1.500;-3.600;;0.592;0.521;0.592;0.130;
1;96;1.000;1.500;-3.600;;0.581;0.570;0.581;0.166;
1;98;2.000;1.500;-3.600;;0.830;0.806;0.830;0.072;
1;99;2.500;1.500;-3.600;;1.334;1.224;1.334;0.092;
1;100;3.000;1.500;-3.600;;1.544;1.332;1.544;0.140;
1;101;3.500;1.500;-3.600;;1.298;1.101;1.298;0.135;
1;102;4.000;1.500;-3.600;;1.319;1.082;1.319;0.148;
1;103;4.500;1.500;-3.600;;1.535;1.251;1.535;0.159;
1;104;5.000;1.500;-3.600;;1.871;1.555;1.871;0.167;
1;105;5.500;1.500;-3.600;;2.190;1.865;2.190;0.172;
1;106;6.000;1.500;-3.600;;2.315;1.999;2.315;0.174;
1;107;6.500;1.500;-3.600;;2.139;1.825;2.139;0.176;
1;108;7.000;1.500;-3.600;;2.001;1.677;2.001;0.179;
1;109;7.500;1.500;-3.600;;1.959;1.627;1.959;0.180;
1;110;8.000;1.500;-3.600;;2.044;1.715;2.044;0.180;
1;111;8.500;1.500;-3.600;;2.221;1.900;2.221;0.178;
1;112;9.000;1.500;-3.600;;2.433;2.113;2.433;0.176;
1;113;9.500;1.500;-3.600;;2.346;2.015;2.346;0.175;
1;114;10.000;1.500;-3.600;;2.071;1.744;2.071;0.172;
1;115;10.500;1.500;-3.600;;1.781;1.478;1.781;0.165;
1;116;11.000;1.500;-3.600;;1.605;1.340;1.605;0.156;
1;117;11.500;1.500;-3.600;;1.611;1.378;1.611;0.146;
1;118;12.000;1.500;-3.600;;1.841;1.610;1.841;0.139;
1;119;12.500;1.500;-3.600;;1.763;1.545;1.763;0.126;
1;120;13.000;1.500;-3.600;;1.305;1.134;1.305;0.112;
1;121;13.500;1.500;-3.600;;0.734;0.628;0.734;0.096;
1;122;14.000;1.500;-3.600;;0.342;0.342;0.303;0.082;
1;123;14.500;1.500;-3.600;;0.378;0.378;0.367;0.045;
1;124;15.000;1.500;-3.600;;0.446;0.353;0.446;0.090;
1;125;0.000;2.000;-3.600;;0.556;0.415;0.556;0.094;
1;126;0.500;2.000;-3.600;;0.439;0.439;0.435;0.063;
1;127;1.000;2.000;-3.600;;0.389;0.360;0.389;0.210;
1;128;1.500;2.000;-3.600;;0.627;0.467;0.627;0.099;
1;129;2.000;2.000;-3.600;;1.062;0.932;1.062;0.083;
1;130;2.500;2.000;-3.600;;1.372;1.294;1.372;0.071;
1;131;3.000;2.000;-3.600;;1.446;1.293;1.446;0.100;
1;132;3.500;2.000;-3.600;;1.312;1.120;1.312;0.128;
1;133;4.000;2.000;-3.600;;1.369;1.133;1.369;0.145;
1;134;4.500;2.000;-3.600;;1.594;1.313;1.594;0.159;
1;135;5.000;2.000;-3.600;;1.929;1.615;1.929;0.169;
1;136;5.500;2.000;-3.600;;2.227;1.901;2.227;0.174;
1;137;6.000;2.000;-3.600;;2.326;2.004;2.326;0.177;
1;138;6.500;2.000;-3.600;;2.195;1.872;2.195;0.179;
1;139;7.000;2.000;-3.600;;2.073;1.744;2.073;0.181;
1;140;7.500;2.000;-3.600;;2.035;1.702;2.035;0.182;
1;141;8.000;2.000;-3.600;;2.124;1.791;2.124;0.182;
1;142;8.500;2.000;-3.600;;2.287;1.959;2.287;0.181;
1;143;9.000;2.000;-3.600;;2.446;2.119;2.446;0.179;
1;144;9.500;2.000;-3.600;;2.373;2.041;2.373;0.177;
1;145;10.000;2.000;-3.600;;2.120;1.795;2.120;0.173;
1;146;10.500;2.000;-3.600;;1.848;1.549;1.848;0.165;
1;147;11.000;2.000;-3.600;;1.693;1.426;1.693;0.156;
1;148;11.500;2.000;-3.600;;1.694;1.453;1.694;0.146;
1;149;12.000;2.000;-3.600;;1.837;1.604;1.837;0.138;
1;150;12.500;2.000;-3.600;;1.739;1.547;1.739;0.118;
1;151;13.000;2.000;-3.600;;1.284;1.165;1.284;0.092;
1;152;13.500;2.000;-3.600;;0.695;0.676;0.695;0.058;
1;153;14.000;2.000;-3.600;;0.371;0.371;0.272;0.050;
1;154;14.500;2.000;-3.600;;0.325;0.325;0.318;0.007;
1;155;15.000;2.000;-3.600;;0.407;0.331;0.407;0.094;
1;156;0.000;2.500;-3.600;;0.622;0.489;0.622;0.098;
1;157;0.500;2.500;-3.600;;0.513;0.513;0.442;0.044;
1;158;1.000;2.500;-3.600;;0.446;0.446;0.416;0.100;
1;159;1.500;2.500;-3.600;;0.729;0.641;0.729;0.082;
1;160;2.000;2.500;-3.600;;1.235;1.014;1.235;0.120;
1;161;2.500;2.500;-3.600;;1.485;1.277;1.485;0.126;
1;162;3.000;2.500;-3.600;;1.386;1.219;1.386;0.127;
1;163;3.500;2.500;-3.600;;1.209;1.005;1.209;0.141;
1;164;4.000;2.500;-3.600;;1.298;1.040;1.298;0.155;
1;165;4.500;2.500;-3.600;;1.573;1.269;1.573;0.167;
1;166;5.000;2.500;-3.600;;1.941;1.609;1.941;0.175;
1;167;5.500;2.500;-3.600;;2.262;1.923;2.262;0.180;
1;168;6.000;2.500;-3.600;;2.351;2.022;2.351;0.181;
1;169;6.500;2.500;-3.600;;2.177;1.847;2.177;0.184;
1;170;7.000;2.500;-3.600;;2.046;1.705;2.046;0.187;
1;171;7.500;2.500;-3.600;;2.013;1.665;2.013;0.188;
1;172;8.000;2.500;-3.600;;2.108;1.764;2.108;0.187;
1;173;8.500;2.500;-3.600;;2.284;1.950;2.284;0.185;
1;174;9.000;2.500;-3.600;;2.469;2.136;2.469;0.183;
1;175;9.500;2.500;-3.600;;2.385;2.041;2.385;0.182;
1;176;10.000;2.500;-3.600;;2.108;1.771;2.108;0.178;
1;177;10.500;2.500;-3.600;;1.821;1.508;1.821;0.171;
1;178;11.000;2.500;-3.600;;1.653;1.378;1.653;0.161;
1;179;11.500;2.500;-3.600;;1.661;1.418;1.661;0.151;
1;180;12.000;2.500;-3.600;;1.871;1.631;1.871;0.144;
