Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
1;38;3.000;0.500;-3.600;;0.348;0.339;0.335;0.020;
1;39;3.500;0.500;-3.600;;0.153;0.120;0.153;0.024;
1;40;4.000;0.500;-3.600;;0.368;0.317;0.368;0.026;
1;41;4.500;0.500;-3.600;;0.479;0.435;0.479;0.022;
1;42;5.000;0.500;-3.600;;0.511;0.472;0.511;0.021;
1;43;5.500;0.500;-3.600;;0.467;0.429;0.467;0.021;
1;44;6.000;0.500;-3.600;;0.203;0.185;0.187;0.022;
1;45;6.500;0.500;-3.600;;0.317;0.268;0.317;0.025;
1;46;7.000;0.500;-3.600;;0.496;0.443;0.496;0.026;
1;47;7.500;0.500;-3.600;;0.551;0.500;0.551;0.026;
1;48;8.000;0.500;-3.600;;0.520;0.468;0.520;0.026;
1;49;8.500;0.500;-3.600;;0.382;0.334;0.382;0.024;
1;50;9.000;0.500;-3.600;;0.160;0.137;0.160;0.022;
1;51;9.500;0.500;-3.600;;0.427;0.389;0.427;0.021;
1;52;10.000;0.500;-3.600;;0.510;0.470;0.510;0.021;
1;53;10.500;0.500;-3.600;;0.502;0.458;0.502;0.022;
1;54;11.000;0.500;-3.600;;0.412;0.363;0.412;0.025;
1;55;11.500;0.500;-3.600;;0.201;0.157;0.201;0.023;
1;56;12.000;0.500;-3.600;;0.278;0.272;0.266;0.019;
1;57;12.500;0.500;-3.600;;0.383;0.370;0.383;0.019;
1;58;13.000;0.500;-3.600;;0.375;0.359;0.375;0.017;
1;59;13.500;0.500;-3.600;;0.311;0.283;0.311;0.018;
1;60;14.000;0.500;-3.600;;0.191;0.155;0.191;0.023;
1;61;14.500;0.500;-3.600;;0.274;0.274;0.274;0.024;
1;62;15.000;0.500;-3.600;;0.633;0.633;0.625;0.020;
1;63;0.000;1.000;-3.600;;0.437;0.434;0.437;0.004;
1;64;0.500;1.000;-3.600;;0.341;0.325;0.341;0.013;
1;65;1.000;1.000;-3.600;;0.153;0.153;0.151;0.011;
1;66;1.500;1.000;-3.600;;0.317;0.282;0.317;0.021;
1;67;2.000;1.000;-3.600;;0.432;0.378;0.432;0.028;
1;68;2.500;1.000;-3.600;;0.280;0.250;0.280;0.024;
1;69;3.000;1.000;-3.600;;0.240;0.233;0.240;0.014;
1;70;3.500;1.000;-3.600;;0.240;0.217;0.240;0.018;
1;71;4.000;1.000;-3.600;;0.354;0.315;0.354;0.019;
1;72;4.500;1.000;-3.600;;0.446;0.404;0.446;0.021;
1;73;5.000;1.000;-3.600;;0.474;0.432;0.474;0.021;
1;74;5.500;1.000;-3.600;;0.437;0.397;0.437;0.021;
1;75;6.000;1.000;-3.600;;0.318;0.283;0.318;0.021;
1;76;6.500;1.000;-3.600;;0.369;0.325;0.369;0.022;
1;77;7.000;1.000;-3.600;;0.471;0.424;0.471;0.023;
1;78;7.500;1.000;-3.600;;0.517;0.469;0.517;0.024;
1;79;8.000;1.000;-3.600;;0.489;0.443;0.489;0.024;
1;80;8.500;1.000;-3.600;;0.404;0.359;0.404;0.023;
1;81;9.000;1.000;-3.600;;0.323;0.285;0.323;0.022;
1;82;9.500;1.000;-3.600;;0.424;0.383;0.424;0.022;
1;83;10.000;1.000;-3.600;;0.477;0.436;0.477;0.021;
1;84;10.500;1.000;-3.600;;0.469;0.427;0.469;0.021;
1;85;11.000;1.000;-3.600;;0.389;0.351;0.389;0.019;
1;86;11.500;1.000;-3.600;;0.262;0.231;0.262;0.018;
1;87;12.000;1.000;-3.600;;0.248;0.240;0.248;0.015;
1;88;12.500;1.000;-3.600;;0.336;0.319;0.336;0.017;
1;89;13.000;1.000;-3.600;;0.336;0.316;0.336;0.017;
1;90;13.500;1.000;-3.600;;0.282;0.256;0.282;0.016;
1;91;14.000;1.000;-3.600;;0.232;0.213;0.232;0.015;
1;92;14.500;1.000;-3.600;;0.265;0.255;0.265;0.012;
1;93;15.000;1.000;-3.600;;0.383;0.383;0.381;0.004;
1;94;0.000;1.500;-3.600;;0.399;0.399;0.395;0.006;
1;95;0.500;1.500;-3.600;;0.371;0.362;0.371;0.009;
1;96;1.000;1.500;-3.600;;0.362;0.349;0.362;0.010;
1;98;2.000;1.500;-3.600;;0.511;0.511;0.507;0.007;
1;99;2.500;1.500;-3.600;;0.344;0.344;0.343;0.007;
1;100;3.000;1.500;-3.600;;0.307;0.301;0.307;0.013;
1;101;3.500;1.500;-3.600;;0.317;0.303;0.317;0.014;
1;102;4.000;1.500;-3.600;;0.356;0.327;0.356;0.017;
1;103;4.500;1.500;-3.600;;0.424;0.387;0.424;0.019;
1;104;5.000;1.500;-3.600;;0.454;0.414;0.454;0.020;
1;105;5.500;1.500;-3.600;;0.437;0.396;0.437;0.021;
1;106;6.000;1.500;-3.600;;0.376;0.337;0.376;0.021;
1;107;6.500;1.500;-3.600;;0.408;0.365;0.408;0.022;
1;108;7.000;1.500;-3.600;;0.467;0.422;0.467;0.023;
1;109;7.500;1.500;-3.600;;0.498;0.452;0.498;0.023;
1;110;8.000;1.500;-3.600;;0.481;0.436;0.481;0.023;
1;111;8.500;1.500;-3.600;;0.432;0.387;0.432;0.022;
1;112;9.000;1.500;-3.600;;0.388;0.346;0.388;0.022;
1;113;9.500;1.500;-3.600;;0.437;0.395;0.437;0.021;
1;114;10.000;1.500;-3.600;;0.463;0.423;0.463;0.021;
1;115;10.500;1.500;-3.600;;0.448;0.410;0.448;0.019;
1;116;11.000;1.500;-3.600;;0.389;0.354;0.389;0.018;
1;117;11.500;1.500;-3.600;;0.318;0.306;0.318;0.016;
1;118;12.000;1.500;-3.600;;0.307;0.299;0.307;0.014;
1;119;12.500;1.500;-3.600;;0.326;0.314;0.326;0.013;
1;120;13.000;1.500;-3.600;;0.310;0.298;0.310;0.012;
1;121;13.500;1.500;-3.600;;0.291;0.282;0.291;0.009;
1;122;14.000;1.500;-3.600;;0.292;0.282;0.292;0.007;
1;123;14.500;1.500;-3.600;;0.282;0.277;0.282;0.005;
1;124;15.000;1.500;-3.600;;0.337;0.337;0.332;0.004;
1;125;0.000;2.000;-3.600;;0.369;0.369;0.362;0.004;
1;126;0.500;2.000;-3.600;;0.368;0.368;0.367;0.005;
1;127;1.000;2.000;-3.600;;0.355;0.331;0.355;0.014;
1;128;1.500;2.000;-3.600;;0.379;0.355;0.379;0.013;
1;129;2.000;2.000;-3.600;;0.436;0.427;0.436;0.014;
1;130;2.500;2.000;-3.600;;0.349;0.343;0.349;0.009;
1;131;3.000;2.000;-3.600;;0.326;0.320;0.326;0.010;
1;132;3.500;2.000;-3.600;;0.341;0.331;0.341;0.013;
1;133;4.000;2.000;-3.600;;0.349;0.333;0.349;0.016;
1;134;4.500;2.000;-3.600;;0.416;0.381;0.416;0.018;
1;135;5.000;2.000;-3.600;;0.449;0.409;0.449;0.020;
1;136;5.500;2.000;-3.600;;0.439;0.398;0.439;0.021;
1;137;6.000;2.000;-3.600;;0.391;0.349;0.391;0.021;
1;138;6.500;2.000;-3.600;;0.420;0.377;0.420;0.022;
1;139;7.000;2.000;-3.600;;0.467;0.422;0.467;0.022;
1;140;7.500;2.000;-3.600;;0.493;0.448;0.493;0.023;
1;141;8.000;2.000;-3.600;;0.480;0.436;0.480;0.022;
1;142;8.500;2.000;-3.600;;0.441;0.397;0.441;0.022;
1;143;9.000;2.000;-3.600;;0.402;0.359;0.402;0.022;
1;144;9.500;2.000;-3.600;;0.442;0.399;0.442;0.021;
1;145;10.000;2.000;-3.600;;0.460;0.419;0.460;0.020;
1;146;10.500;2.000;-3.600;;0.443;0.405;0.443;0.019;
1;147;11.000;2.000;-3.600;;0.389;0.355;0.389;0.017;
1;148;11.500;2.000;-3.600;;0.343;0.333;0.343;0.015;
1;149;12.000;2.000;-3.600;;0.328;0.321;0.328;0.014;
1;150;12.500;2.000;-3.600;;0.328;0.325;0.328;0.013;
1;151;13.000;2.000;-3.600;;0.314;0.311;0.314;0.010;
1;152;13.500;2.000;-3.600;;0.314;0.308;0.314;0.007;
1;153;14.000;2.000;-3.600;;0.317;0.310;0.317;0.004;
1;154;14.500;2.000;-3.600;;0.308;0.305;0.308;0.001;
1;155;15.000;2.000;-3.600;;0.329;0.329;0.323;0.005;
1;156;0.000;2.500;-3.600;;0.366;0.366;0.361;0.004;
1;157;0.500;2.500;-3.600;;0.329;0.327;0.329;0.005;
1;158;1.000;2.500;-3.600;;0.241;0.229;0.241;0.008;
1;159;1.500;2.500;-3.600;;0.253;0.236;0.253;0.009;
1;160;2.000;2.500;-3.600;;0.312;0.290;0.312;0.014;
1;161;2.500;2.500;-3.600;;0.299;0.288;0.299;0.015;
1;162;3.000;2.500;-3.600;;0.299;0.293;0.299;0.013;
1;163;3.500;2.500;-3.600;;0.314;0.303;0.314;0.015;
1;164;4.000;2.500;-3.600;;0.346;0.317;0.346;0.017;
1;165;4.500;2.500;-3.600;;0.421;0.384;0.421;0.019;
1;166;5.000;2.500;-3.600;;0.453;0.414;0.453;0.020;
1;167;5.500;2.500;-3.600;;0.438;0.397;0.438;0.021;
1;168;6.000;2.500;-3.600;;0.379;0.341;0.379;0.021;
1;169;6.500;2.500;-3.600;;0.407;0.363;0.407;0.022;
1;170;7.000;2.500;-3.600;;0.465;0.420;0.465;0.023;
1;171;7.500;2.500;-3.600;;0.497;0.451;0.497;0.023;
1;172;8.000;2.500;-3.600;;0.481;0.436;0.481;0.023;
1;173;8.500;2.500;-3.600;;0.432;0.387;0.432;0.022;
1;174;9.000;2.500;-3.600;;0.386;0.344;0.386;0.022;
1;175;9.500;2.500;-3.600;;0.436;0.393;0.436;0.022;
1;176;10.000;2.500;-3.600;;0.463;0.422;0.463;0.021;
1;177;10.500;2.500;-3.600;;0.449;0.410;0.449;0.020;
1;178;11.000;2.500;-3.600;;0.391;0.356;0.391;0.018;
1;179;11.500;2.500;-3.600;;0.322;0.307;0.322;0.016;
1;180;12.000;2.500;-3.600;;0.306;0.298;0.306;0.014;
1;181;12.500;2.500;-3.600;;0.323;0.311;0.323;0.013;
1;182;13.000;2.500;-3.600;;0.309;0.295;0.309;0.012;
1;183;13.500;2.500;-3.600;;0.293;0.283;0.293;0.009;
1;184;14.000;2.500;-3.600;;0.293;0.283;0.293;0.007;
1;185;14.500;2.500;-3.600;;0.283;0.278;0.283;0.005;
1;186;15.000;2.500;-3.600;;0.337;0.337;0.332;0.004;
1;187;0.000;3.000;-3.600;;0.429;0.429;0.427;0.004;
1;188;0.500;3.000;-3.600;;0.300;0.293;0.300;0.012;
1;189;1.000;3.000;-3.600;;0.192;0.177;0.192;0.012;
1;190;1.500;3.000;-3.600;;0.241;0.217;0.241;0.013;
1;191;2.000;3.000;-3.600;;0.315;0.292;0.315;0.016;
1;192;2.500;3.000;-3.600;;0.323;0.302;0.323;0.018;
1;193;3.000;3.000;-3.600;;0.241;0.231;0.241;0.015;
1;194;3.500;3.000;-3.600;;0.234;0.214;0.234;0.018;
1;195;4.000;3.000;-3.600;;0.349;0.311;0.349;0.019;
1;196;4.500;3.000;-3.600;;0.443;0.402;0.443;0.021;
1;197;5.000;3.000;-3.600;;0.473;0.432;0.473;0.021;
1;198;5.500;3.000;-3.600;;0.437;0.397;0.437;0.022;
1;199;6.000;3.000;-3.600;;0.320;0.285;0.320;0.022;
1;200;6.500;3.000;-3.600;;0.366;0.322;0.366;0.023;
1;201;7.000;3.000;-3.600;;0.468;0.421;0.468;0.024;
1;202;7.500;3.000;-3.600;;0.516;0.467;0.516;0.024;
1;203;8.000;3.000;-3.600;;0.489;0.442;0.489;0.024;
1;204;8.500;3.000;-3.600;;0.404;0.359;0.404;0.023;
1;205;9.000;3.000;-3.600;;0.321;0.283;0.321;0.022;
1;206;9.500;3.000;-3.600;;0.423;0.381;0.423;0.022;
1;207;10.000;3.000;-3.600;;0.477;0.435;0.477;0.022;
1;208;10.500;3.000;-3.600;;0.469;0.427;0.469;0.021;
1;209;11.000;3.000;-3.600;;0.391;0.352;0.391;0.020;
1;210;11.500;3.000;-3.600;;0.266;0.235;0.266;0.018;
1;211;12.000;3.000;-3.600;;0.247;0.238;0.247;0.015;
1;212;12.500;3.000;-3.600;;0.335;0.316;0.335;0.017;
1;213;13.000;3.000;-3.600;;0.337;0.314;0.337;0.017;
1;214;13.500;3.000;-3.600;;0.284;0.258;0.284;0.016;
1;215;14.000;3.000;-3.600;;0.234;0.215;0.234;0.015;
1;216;14.500;3.000;-3.600;;0.269;0.258;0.269;0.012;
1;217;15.000;3.000;-3.600;;0.384;0.384;0.383;0.004;
1;218;0.000;3.500;-3.600;;0.720;0.720;0.712;0.019;
1;219;0.500;3.500;-3.600;;0.324;0.324;0.321;0.023;
1;220;1.000;3.500;-3.600;;0.151;0.123;0.151;0.020;
1;221;1.500;3.500;-3.600;;0.270;0.244;0.270;0.015;
1;222;2.000;3.500;-3.600;;0.355;0.338;0.355;0.015;
1;223;2.500;3.500;-3.600;;0.395;0.380;0.395;0.020;
1;224;3.000;3.500;-3.600;;0.355;0.348;0.342;0.019;
1;225;3.500;3.500;-3.600;;0.149;0.116;0.149;0.024;
1;226;4.000;3.500;-3.600;;0.367;0.316;0.367;0.025;
1;227;4.500;3.500;-3.600;;0.477;0.434;0.477;0.022;
1;228;5.000;3.500;-3.600;;0.510;0.471;0.510;0.021;
1;229;5.500;3.500;-3.600;;0.464;0.427;0.464;0.021;
1;230;6.000;3.500;-3.600;;0.218;0.201;0.202;0.022;
1;231;6.500;3.500;-3.600;;0.320;0.271;0.320;0.025;
1;232;7.000;3.500;-3.600;;0.494;0.441;0.494;0.026;
1;233;7.500;3.500;-3.600;;0.550;0.498;0.550;0.026;
1;234;8.000;3.500;-3.600;;0.519;0.466;0.519;0.026;
1;235;8.500;3.500;-3.600;;0.381;0.332;0.381;0.025;
1;236;9.000;3.500;-3.600;;0.160;0.136;0.160;0.023;
1;237;9.500;3.500;-3.600;;0.427;0.388;0.427;0.021;
1;238;10.000;3.500;-3.600;;0.510;0.469;0.510;0.021;
1;239;10.500;3.500;-3.600;;0.503;0.458;0.503;0.023;
1;240;11.000;3.500;-3.600;;0.413;0.362;0.413;0.026;
1;241;11.500;3.500;-3.600;;0.202;0.158;0.202;0.024;
1;242;12.000;3.500;-3.600;;0.281;0.274;0.269;0.019;
1;243;12.500;3.500;-3.600;;0.383;0.369;0.383;0.020;
1;244;13.000;3.500;-3.600;;0.376;0.358;0.376;0.017;
1;245;13.500;3.500;-3.600;;0.312;0.283;0.312;0.018;
1;246;14.000;3.500;-3.600;;0.194;0.158;0.194;0.023;
1;247;14.500;3.500;-3.600;;0.280;0.279;0.280;0.025;
1;248;15.000;3.500;-3.600;;0.638;0.638;0.630;0.020;
1;249;0.000;4.000;-3.600;;1.632;1.632;1.456;0.089;
1;250;0.500;4.000;-3.600;;0.575;0.575;0.496;0.046;
1;251;1.000;4.000;-3.600;;0.137;0.131;0.137;0.022;
1;252;1.500;4.000;-3.600;;0.284;0.262;0.284;0.012;
1;253;2.000;4.000;-3.600;;0.390;0.383;0.390;0.003;
1;254;2.500;4.000;-3.600;;0.479;0.479;0.454;0.014;
1;255;3.000;4.000;-3.600;;0.802;0.802;0.684;0.062;
1;256;3.500;4.000;-3.600;;0.249;0.249;0.199;0.046;
1;257;4.000;4.000;-3.600;;0.391;0.337;0.391;0.028;
1;258;4.500;4.000;-3.600;;0.507;0.465;0.507;0.022;
1;259;5.000;4.000;-3.600;;0.546;0.513;0.546;0.017;
1;260;5.500;4.000;-3.600;;0.473;0.452;0.473;0.014;
1;261;6.000;4.000;-3.600;;0.401;0.401;0.348;0.030;
1;262;6.500;4.000;-3.600;;0.248;0.189;0.248;0.034;
1;263;7.000;4.000;-3.600;;0.527;0.473;0.527;0.027;
1;264;7.500;4.000;-3.600;;0.582;0.532;0.582;0.026;
1;265;8.000;4.000;-3.600;;0.552;0.499;0.552;0.027;
1;266;8.500;4.000;-3.600;;0.326;0.262;0.326;0.034;
1;267;9.000;4.000;-3.600;;0.318;0.318;0.259;0.030;
1;268;9.500;4.000;-3.600;;0.409;0.385;0.409;0.015;
1;269;10.000;4.000;-3.600;;0.545;0.510;0.545;0.018;
1;270;10.500;4.000;-3.600;;0.532;0.490;0.532;0.022;
1;271;11.000;4.000;-3.600;;0.439;0.384;0.439;0.028;
1;272;11.500;4.000;-3.600;;0.169;0.168;0.169;0.046;
1;273;12.000;4.000;-3.600;;0.638;0.638;0.517;0.064;
1;274;12.500;4.000;-3.600;;0.441;0.441;0.413;0.015;
1;275;13.000;4.000;-3.600;;0.411;0.404;0.411;0.004;
1;276;13.500;4.000;-3.600;;0.329;0.303;0.329;0.014;
1;277;14.000;4.000;-3.600;;0.180;0.154;0.180;0.026;
1;278;14.500;4.000;-3.600;;0.504;0.504;0.417;0.052;
1;279;15.000;4.000;-3.600;;1.505;1.505;1.309;0.099;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Tresca,Max;1.635;1.635;1.451;0.093;
1;34;1.000;0.500;-3.600;σ_eqv,Tresca,Max;0.106;0.090;0.106;0.026;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,+;1.635;1.635;1.451;0.093;
1;34;1.000;0.500;-3.600;σ_eqv,Tresca,+;0.106;0.090;0.106;0.026;
1;249;0.000;4.000;-3.600;σ_eqv,Tresca,-;1.632;1.632;1.456;0.089;
1;34;1.000;0.500;-3.600;σ_eqv,Tresca,-;0.106;0.090;0.106;0.026;
1;279;15.000;4.000;-3.600;σ_eqv,Tresca,m;1.505;1.505;1.309;0.099;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,m;0.308;0.305;0.308;0.001;
Total;;;;;;1.635;1.635;1.456;0.099;
1;;;;;;0.106;0.090;0.106;0.001;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,Max;1.635;1.635;1.451;0.093;
1;34;1.000;0.500;-3.600;σ_eqv,Tresca,Max;0.106;0.090;0.106;0.026;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,+;1.635;1.635;1.451;0.093;
1;34;1.000;0.500;-3.600;σ_eqv,Tresca,+;0.106;0.090;0.106;0.026;
1;249;0.000;4.000;-3.600;σ_eqv,Tresca,-;1.632;1.632;1.456;0.089;
1;34;1.000;0.500;-3.600;σ_eqv,Tresca,-;0.106;0.090;0.106;0.026;
1;279;15.000;4.000;-3.600;σ_eqv,Tresca,m;1.505;1.505;1.309;0.099;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,m;0.308;0.305;0.308;0.001;
;;;;;;;;;;
Total;;;;;;1.635;1.635;1.456;0.099;
max/min;;;;;;0.106;0.090;0.106;0.001;
