Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;1;0.000;0.000;-3.600;;1.635;1.635;1.451;0.093;
1;2;0.500;0.000;-3.600;;0.604;0.604;0.508;0.052;
1;3;1.000;0.000;-3.600;;0.110;0.110;0.106;0.028;
1;4;1.500;0.000;-3.600;;0.280;0.252;0.280;0.014;
1;5;2.000;0.000;-3.600;;0.396;0.395;0.396;0.002;
1;6;2.500;0.000;-3.600;;0.486;0.486;0.455;0.016;
1;7;3.000;0.000;-3.600;;0.845;0.845;0.722;0.064;
1;8;3.500;0.000;-3.600;;0.269;0.269;0.217;0.048;
1;9;4.000;0.000;-3.600;;0.387;0.332;0.387;0.029;
1;10;4.500;0.000;-3.600;;0.506;0.464;0.506;0.022;
1;11;5.000;0.000;-3.600;;0.549;0.517;0.549;0.016;
1;12;5.500;0.000;-3.600;;0.485;0.466;0.485;0.013;
1;13;6.000;0.000;-3.600;;0.408;0.408;0.352;0.031;
1;14;6.500;0.000;-3.600;;0.257;0.198;0.257;0.035;
1;15;7.000;0.000;-3.600;;0.526;0.473;0.526;0.027;
1;16;7.500;0.000;-3.600;;0.583;0.533;0.583;0.025;
1;17;8.000;0.000;-3.600;;0.555;0.503;0.555;0.026;
1;18;8.500;0.000;-3.600;;0.336;0.274;0.336;0.032;
1;19;9.000;0.000;-3.600;;0.300;0.300;0.244;0.029;
1;20;9.500;0.000;-3.600;;0.404;0.380;0.404;0.015;
1;21;10.000;0.000;-3.600;;0.543;0.510;0.543;0.017;
1;22;10.500;0.000;-3.600;;0.533;0.491;0.533;0.021;
1;23;11.000;0.000;-3.600;;0.440;0.386;0.440;0.027;
1;24;11.500;0.000;-3.600;;0.162;0.157;0.162;0.045;
1;25;12.000;0.000;-3.600;;0.626;0.626;0.509;0.062;
1;26;12.500;0.000;-3.600;;0.438;0.438;0.410;0.015;
1;27;13.000;0.000;-3.600;;0.410;0.404;0.410;0.003;
1;28;13.500;0.000;-3.600;;0.329;0.304;0.329;0.013;
1;29;14.000;0.000;-3.600;;0.180;0.152;0.180;0.025;
1;30;14.500;0.000;-3.600;;0.498;0.498;0.413;0.050;
1;31;15.000;0.000;-3.600;;1.492;1.492;1.301;0.097;
1;32;0.000;0.500;-3.600;;0.728;0.728;0.723;0.014;
1;33;0.500;0.500;-3.600;;0.348;0.348;0.338;0.019;
1;34;1.000;0.500;-3.600;;0.106;0.090;0.106;0.026;
1;35;1.500;0.500;-3.600;;0.276;0.245;0.276;0.023;
1;36;2.000;0.500;-3.600;;0.383;0.358;0.383;0.015;
1;37;2.500;0.500;-3.600;;0.378;0.353;0.378;0.022;
