Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;1;0.000;0.000;-3.600;;-1.435;-0.280;-0.368;-0.083;-0.027;-0.025;
1;2;0.500;0.000;-3.600;;-0.519;0.035;0.018;-0.051;-0.002;-0.006;
1;3;1.000;0.000;-3.600;;0.026;0.038;0.052;-0.028;0.000;-0.001;
1;4;1.500;0.000;-3.600;;0.252;0.013;0.057;-0.014;-0.001;-0.002;
1;5;2.000;0.000;-3.600;;0.395;0.019;-0.010;-0.001;0.000;-0.001;
1;6;2.500;0.000;-3.600;;0.467;0.017;-0.040;0.015;0.004;-0.004;
1;7;3.000;0.000;-3.600;;-0.359;-0.178;-0.200;-0.022;-0.008;-0.020;
1;8;3.500;0.000;-3.600;;-0.135;0.051;0.076;-0.047;-0.002;-0.007;
1;9;4.000;0.000;-3.600;;0.342;0.025;0.075;-0.029;0.000;0.000;
1;10;4.500;0.000;-3.600;;0.483;0.017;0.031;-0.021;0.001;0.000;
1;11;5.000;0.000;-3.600;;0.533;0.021;-0.015;-0.016;0.000;0.000;
1;12;5.500;0.000;-3.600;;0.465;0.021;-0.070;-0.010;0.002;-0.002;
1;13;6.000;0.000;-3.600;;-0.235;-0.179;-0.091;-0.027;-0.008;-0.008;
1;14;6.500;0.000;-3.600;;0.187;0.023;0.078;-0.034;0.000;-0.003;
1;15;7.000;0.000;-3.600;;0.494;0.023;0.050;-0.027;0.000;0.000;
1;16;7.500;0.000;-3.600;;0.558;0.016;0.007;-0.025;0.001;0.000;
1;17;8.000;0.000;-3.600;;0.526;0.022;-0.037;-0.026;0.000;0.000;
1;18;8.500;0.000;-3.600;;0.285;0.030;-0.074;-0.032;0.000;0.003;
1;19;9.000;0.000;-3.600;;-0.260;-0.147;0.035;-0.027;-0.008;0.006;
1;20;9.500;0.000;-3.600;;0.376;0.026;0.076;-0.013;0.002;0.001;
1;21;10.000;0.000;-3.600;;0.525;0.022;0.030;-0.017;0.000;0.000;
1;22;10.500;0.000;-3.600;;0.511;0.016;-0.014;-0.021;0.001;0.000;
1;23;11.000;0.000;-3.600;;0.405;0.022;-0.058;-0.027;0.000;0.000;
1;24;11.500;0.000;-3.600;;0.004;0.039;-0.075;-0.044;-0.002;0.006;
1;25;12.000;0.000;-3.600;;-0.352;-0.167;0.143;-0.020;-0.007;0.019;
1;26;12.500;0.000;-3.600;;0.414;0.020;0.064;0.013;0.003;0.005;
1;27;13.000;0.000;-3.600;;0.407;0.021;0.008;-0.003;0.001;0.000;
1;28;13.500;0.000;-3.600;;0.312;0.018;-0.036;-0.013;0.000;0.000;
1;29;14.000;0.000;-3.600;;0.117;0.041;-0.072;-0.025;0.000;0.000;
1;30;14.500;0.000;-3.600;;-0.407;0.043;-0.036;-0.049;-0.003;0.008;
1;31;15.000;0.000;-3.600;;-1.314;-0.280;0.304;-0.086;-0.029;0.027;
1;32;0.000;0.500;-3.600;;-0.673;-0.066;-0.187;0.002;-0.003;-0.007;
1;33;0.500;0.500;-3.600;;-0.293;0.049;0.016;-0.011;-0.004;-0.009;
1;34;1.000;0.500;-3.600;;0.020;0.064;0.042;-0.017;0.002;-0.010;
1;35;1.500;0.500;-3.600;;0.257;0.047;0.027;-0.014;0.000;-0.010;
1;36;2.000;0.500;-3.600;;0.367;0.074;0.031;-0.011;-0.003;-0.006;
1;37;2.500;0.500;-3.600;;0.364;0.128;-0.018;-0.014;0.003;-0.006;
1;38;3.000;0.500;-3.600;;-0.040;0.107;-0.089;-0.016;-0.005;-0.007;
1;39;3.500;0.500;-3.600;;0.043;0.100;0.057;-0.020;-0.005;-0.009;
1;40;4.000;0.500;-3.600;;0.318;0.105;0.077;-0.024;-0.002;-0.007;
1;41;4.500;0.500;-3.600;;0.454;0.111;0.033;-0.022;-0.001;-0.004;
