Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
2;;2.6666666666666665;R | E;u_y;113.8;-113.8;-0.7;-0.1;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;M;u_z;113.8;-113.8;0.2;0.0;0.0;0.1;0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;2.2222222222222219;E;u_z;113.8;-113.8;-0.6;-0.1;0.0;0.0;-0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;M;φ_x;113.8;-113.8;0.5;-0.1;0.0;0.0;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;M;φ_x;113.8;-113.8;0.2;0.0;0.0;0.1;0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;M;φ_y;113.8;-113.8;0.2;0.0;0.0;0.1;0.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;3.1111111111111112;E;φ_y;113.8;-113.8;-0.6;-0.1;0.0;0.0;0.6;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;M;φ_z;113.8;-113.8;0.5;-0.1;0.0;0.0;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.3333333333333330;R | E;φ_z;113.8;-113.8;-0.2;-0.1;0.0;0.0;-0.5;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;113.8;-113.8;0.5;0.0;0.0;0.1;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;;;;113.8;-113.8;-0.7;-0.1;0.0;0.0;-0.5;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;;
3;4;0.0000000000000000;M;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.3600000000000000;E;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.7200000000000001;E;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.0800000000000001;E;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.4400000000000002;E;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.8000000000000000;R | E;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.1600000000000001;E;;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.5200000000000000;E;;114.7;-114.7;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.8799999999999999;E;;114.7;-114.7;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;3.2399999999999998;E;;114.7;-114.7;0.0;0.1;0.0;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;4;0.0000000000000000;M;u_x;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;u_x;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;u_y;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.1600000000000001;E;u_y;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;u_z;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.8000000000000000;R | E;u_z;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;M;φ_x;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;φ_x;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.7200000000000001;E;φ_y;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;φ_y;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;M;φ_z;114.7;-114.7;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.0800000000000001;E;φ_z;114.7;-114.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;114.7;-114.7;0.0;0.2;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;;;;114.7;-114.7;0.0;0.0;0.0;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;;
4;5;0.0000000000000000;M;;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.4444444444444444;E;;114.7;-114.7;0.3;0.0;0.0;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.8888888888888887;E;;114.7;-114.7;0.4;-0.1;0.0;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.3333333333333330;R | E;;114.7;-114.7;0.5;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.7777777777777775;E;;114.7;-114.7;0.6;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.9999999999999998;E;;114.7;-114.7;0.6;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.2222222222222219;E;;114.7;-114.7;0.7;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.6666666666666665;R | E;;114.7;-114.7;0.8;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;3.1111111111111112;E;;114.7;-114.7;0.9;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;3.5555555555555558;E;;114.7;-114.7;1.0;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;M;;114.7;-114.7;1.1;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;5;0.0000000000000000;M;u_x;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;M;u_x;114.7;-114.7;1.1;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;M;u_y;114.7;-114.7;1.1;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;u_y;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;u_z;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.3333333333333330;R | E;u_z;114.7;-114.7;0.5;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;φ_x;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;M;φ_x;114.7;-114.7;1.1;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;φ_y;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.6666666666666665;R | E;φ_y;114.7;-114.7;0.8;-0.1;-0.1;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;φ_z;114.7;-114.7;0.2;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;M;φ_z;114.7;-114.7;1.1;0.0;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;114.7;-114.7;1.1;0.0;0.0;0.1;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;;;;114.7;-114.7;0.2;-0.1;-0.2;0.0;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;;
5;7;0.0000000000000000;M;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.3600000000000000;E;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.7200000000000001;E;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.4400000000000002;E;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.8000000000000000;R | E;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.1600000000000001;E;;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.5200000000000000;E;;115.4;-115.4;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.8799999999999999;E;;115.4;-115.4;0.0;0.1;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;3.2399999999999998;E;;115.4;-115.4;0.0;0.1;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;;115.4;-115.4;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;7;0.0000000000000000;M;u_x;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;u_x;115.4;-115.4;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;u_y;115.4;-115.4;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.1600000000000001;E;u_y;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;u_z;115.4;-115.4;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.7200000000000001;E;u_z;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;φ_x;115.4;-115.4;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;φ_x;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.3600000000000000;E;φ_y;115.4;-115.4;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;M;φ_y;115.4;-115.4;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
