Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;217;15.000;3.000;-3.600;;0.02;0.03;0.03;
1;218;0.000;3.500;-3.600;;0.04;0.03;0.04;
1;219;0.500;3.500;-3.600;;0.03;0.02;0.03;
1;220;1.000;3.500;-3.600;;0.02;0.00;0.02;
1;221;1.500;3.500;-3.600;;0.01;0.01;0.01;
1;222;2.000;3.500;-3.600;;0.02;0.03;0.03;
1;223;2.500;3.500;-3.600;;0.04;0.05;0.05;
1;224;3.000;3.500;-3.600;;0.05;0.05;0.05;
1;225;3.500;3.500;-3.600;;0.01;0.01;0.01;
1;226;4.000;3.500;-3.600;;0.01;0.02;0.02;
1;227;4.500;3.500;-3.600;;0.03;0.04;0.04;
1;228;5.000;3.500;-3.600;;0.04;0.05;0.05;
1;229;5.500;3.500;-3.600;;0.06;0.08;0.08;
1;230;6.000;3.500;-3.600;;0.07;0.09;0.09;
1;231;6.500;3.500;-3.600;;0.04;0.06;0.06;
1;232;7.000;3.500;-3.600;;0.04;0.05;0.05;
1;233;7.500;3.500;-3.600;;0.04;0.05;0.05;
1;234;8.000;3.500;-3.600;;0.04;0.06;0.06;
1;235;8.500;3.500;-3.600;;0.05;0.06;0.06;
1;236;9.000;3.500;-3.600;;0.08;0.09;0.09;
1;237;9.500;3.500;-3.600;;0.06;0.08;0.08;
1;238;10.000;3.500;-3.600;;0.05;0.06;0.06;
1;239;10.500;3.500;-3.600;;0.03;0.05;0.05;
1;240;11.000;3.500;-3.600;;0.03;0.04;0.04;
1;241;11.500;3.500;-3.600;;0.02;0.03;0.03;
1;242;12.000;3.500;-3.600;;0.06;0.07;0.07;
1;243;12.500;3.500;-3.600;;0.06;0.07;0.07;
1;244;13.000;3.500;-3.600;;0.03;0.04;0.04;
1;245;13.500;3.500;-3.600;;0.01;0.02;0.02;
1;246;14.000;3.500;-3.600;;0.02;0.02;0.02;
1;247;14.500;3.500;-3.600;;0.04;0.03;0.04;
1;248;15.000;3.500;-3.600;;0.05;0.05;0.05;
1;249;0.000;4.000;-3.600;;0.08;0.02;0.08;
1;250;0.500;4.000;-3.600;;0.05;0.01;0.05;
1;251;1.000;4.000;-3.600;;0.02;0.00;0.02;
1;252;1.500;4.000;-3.600;;0.00;0.01;0.01;
1;253;2.000;4.000;-3.600;;0.02;0.03;0.03;
1;254;2.500;4.000;-3.600;;0.06;0.07;0.07;
1;255;3.000;4.000;-3.600;;0.09;0.08;0.10;
1;256;3.500;4.000;-3.600;;0.02;0.00;0.02;
1;257;4.000;4.000;-3.600;;0.01;0.02;0.02;
1;258;4.500;4.000;-3.600;;0.02;0.04;0.04;
1;259;5.000;4.000;-3.600;;0.04;0.05;0.05;
1;260;5.500;4.000;-3.600;;0.08;0.09;0.09;
1;261;6.000;4.000;-3.600;;0.10;0.11;0.11;
1;262;6.500;4.000;-3.600;;0.04;0.06;0.06;
1;263;7.000;4.000;-3.600;;0.04;0.05;0.05;
1;264;7.500;4.000;-3.600;;0.04;0.05;0.05;
1;265;8.000;4.000;-3.600;;0.04;0.06;0.06;
1;266;8.500;4.000;-3.600;;0.05;0.06;0.06;
1;267;9.000;4.000;-3.600;;0.10;0.11;0.11;
1;268;9.500;4.000;-3.600;;0.08;0.09;0.09;
1;269;10.000;4.000;-3.600;;0.05;0.06;0.06;
1;270;10.500;4.000;-3.600;;0.03;0.05;0.05;
1;271;11.000;4.000;-3.600;;0.02;0.04;0.04;
1;272;11.500;4.000;-3.600;;0.00;0.02;0.02;
1;273;12.000;4.000;-3.600;;0.11;0.11;0.11;
1;274;12.500;4.000;-3.600;;0.09;0.09;0.09;
1;275;13.000;4.000;-3.600;;0.03;0.04;0.04;
1;276;13.500;4.000;-3.600;;0.01;0.02;0.02;
1;277;14.000;4.000;-3.600;;0.03;0.01;0.03;
1;278;14.500;4.000;-3.600;;0.07;0.03;0.07;
1;279;15.000;4.000;-3.600;;0.12;0.04;0.12;
Extremes;1;0.000;0.000;-3.600;ε_eqv,Rankine,+;0.13;0.05;0.13;
1;8;3.500;0.000;-3.600;ε_eqv,Rankine,+;0.00;0.02;0.02;
1;267;9.000;4.000;-3.600;ε_eqv,Rankine,-;0.10;0.11;0.11;
1;256;3.500;4.000;-3.600;ε_eqv,Rankine,-;0.02;0.00;0.02;
1;1;0.000;0.000;-3.600;ε_eqv,Rankine;0.13;0.05;0.13;
1;154;14.500;2.000;-3.600;ε_eqv,Rankine;0.01;0.01;0.01;
Total;;;;;;0.13;0.11;0.13;
1;;;;;;0.00;0.00;0.01;
;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;
1;1;0.000;0.000;-3.600;ε_eqv,Rankine,+;0.13;0.05;0.13;
1;8;3.500;0.000;-3.600;ε_eqv,Rankine,+;0.00;0.02;0.02;
1;267;9.000;4.000;-3.600;ε_eqv,Rankine,-;0.10;0.11;0.11;
1;256;3.500;4.000;-3.600;ε_eqv,Rankine,-;0.02;0.00;0.02;
1;1;0.000;0.000;-3.600;ε_eqv,Rankine;0.13;0.05;0.13;
1;154;14.500;2.000;-3.600;ε_eqv,Rankine;0.01;0.01;0.01;
;;;;;;;;;
Total;;;;;;0.13;0.11;0.13;
max/min;;;;;;0.00;0.00;0.01;
