Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;53;10.500;0.500;-3.600;;0.000;-0.785;-51.716;55.302;4.956;-7.758;73.853;9.049;-14.366;
1;54;11.000;0.500;-3.600;;0.000;-0.492;-40.194;42.859;3.570;-5.743;83.076;16.758;-25.040;
1;55;11.500;0.500;-3.600;;0.000;-0.372;-25.345;25.374;0.401;-0.058;80.877;26.483;-34.593;
1;56;12.000;0.500;-3.600;;0.817;1.687;-64.430;70.339;24.843;-33.256;70.226;24.399;-31.105;
1;57;12.500;0.500;-3.600;;0.000;-6.833;-67.300;69.303;8.962;-4.132;70.276;16.587;-39.432;
1;58;13.000;0.500;-3.600;;0.000;0.238;-42.287;48.467;8.760;-15.177;71.784;23.882;-44.502;
1;59;13.500;0.500;-3.600;;0.000;6.131;-23.695;27.783;10.891;-21.111;87.798;32.922;-54.607;
1;60;14.000;0.500;-3.600;;17.030;8.453;-18.632;1.602;10.179;-18.632;112.975;52.285;-83.171;
1;61;14.500;0.500;-3.600;;37.258;5.155;-5.245;0.000;-2.334;-34.834;102.325;69.566;-102.560;
1;62;15.000;0.500;-3.600;;76.308;25.714;-28.742;0.000;-8.009;-65.271;35.325;38.860;-78.536;
1;63;0.000;1.000;-3.600;;26.376;3.376;-2.049;0.000;-2.310;-25.393;0.000;-20.153;-21.667;
1;64;0.500;1.000;-3.600;;30.493;8.267;-14.741;0.000;1.453;-25.472;9.169;57.217;-48.888;
1;65;1.000;1.000;-3.600;;21.747;16.491;-23.439;1.692;6.948;-23.439;18.970;24.126;-49.371;
1;66;1.500;1.000;-3.600;;0.000;9.700;-32.390;39.017;8.424;-24.751;94.736;29.228;-58.420;
1;67;2.000;1.000;-3.600;;0.000;2.150;-50.358;59.528;32.418;-43.737;152.392;86.659;-91.783;
1;68;2.500;1.000;-3.600;;0.000;-5.762;-48.725;55.338;15.039;-15.890;100.257;27.739;-59.667;
1;69;3.000;1.000;-3.600;;0.000;-3.743;-42.038;45.606;8.457;-8.282;64.677;19.324;-21.569;
1;70;3.500;1.000;-3.600;;0.000;-1.615;-27.780;28.767;2.678;-2.051;67.846;26.659;-25.019;
1;71;4.000;1.000;-3.600;;0.000;-2.017;-34.322;36.147;4.061;-3.869;70.229;19.462;-22.887;
1;72;4.500;1.000;-3.600;;0.000;-2.109;-44.864;47.505;5.105;-5.637;71.468;13.327;-17.774;
1;73;5.000;1.000;-3.600;;0.000;-3.029;-55.954;57.980;5.214;-4.211;70.705;8.124;-12.102;
1;74;5.500;1.000;-3.600;;0.000;-4.764;-65.572;66.172;5.375;-1.210;68.848;4.314;-5.943;
1;75;6.000;1.000;-3.600;;0.000;-5.745;-67.171;71.071;10.164;-8.319;67.249;8.336;-2.188;
