Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
19;P_x;-0.02;0.00;0.01;0.00;0.09;0.00;concrete part
19;P_y;0.00;0.01;0.01;0.01;0.03;0.00;concrete part
19;P_y;0.00;-0.01;-0.01;-0.01;-0.03;0.00;concrete part
19;P_z;-0.01;0.00;0.01;0.00;0.11;0.00;concrete part
19;P_z;0.01;0.00;-0.01;0.00;-0.11;0.00;concrete part
19;M_x;0.00;0.00;0.00;0.02;-0.02;0.00;concrete part
19;M_x;0.00;0.00;0.00;-0.02;0.02;0.00;concrete part
19;M_y;-0.02;0.00;0.01;0.00;0.11;0.00;concrete part
19;M_y;0.02;0.00;-0.01;0.00;-0.11;0.00;concrete part
19;M_z;0.00;0.00;0.01;-0.02;0.04;0.00;concrete part
19;M_z;0.00;0.00;-0.01;0.02;-0.04;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.11;0.00;
19;;-0.02;-0.01;-0.01;-0.02;-0.11;0.00;
19;;;;;;;;
22;P_x;0.02;0.00;-0.01;0.00;-0.09;0.00;concrete part
22;P_x;-0.02;0.00;0.01;0.00;0.09;0.00;concrete part
22;P_y;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
22;P_y;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
22;P_z;-0.02;0.00;0.01;-0.01;0.11;0.00;concrete part
22;P_z;0.02;0.00;-0.01;0.01;-0.11;0.00;concrete part
22;M_x;0.00;0.01;0.00;0.02;-0.04;0.00;concrete part
22;M_x;0.00;-0.01;0.00;-0.02;0.04;0.00;concrete part
22;M_y;-0.02;0.00;0.01;-0.01;0.11;0.00;concrete part
22;M_y;0.02;0.00;-0.01;0.01;-0.11;0.00;concrete part
22;M_z;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
22;M_z;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.11;0.00;
22;;-0.02;-0.01;-0.01;-0.02;-0.11;0.00;
22;;;;;;;;
25;P_x;0.04;0.00;0.00;0.01;-0.10;0.00;concrete part
25;P_x;-0.04;0.00;0.00;-0.01;0.10;0.00;concrete part
25;P_y;0.01;0.00;0.00;0.01;-0.04;0.00;concrete part
25;P_y;-0.01;0.00;0.00;-0.01;0.04;0.00;concrete part
25;P_z;-0.02;0.00;0.00;0.00;0.11;0.00;concrete part
25;P_z;0.02;0.00;0.00;0.00;-0.11;0.00;concrete part
25;M_x;0.02;0.00;0.00;0.02;-0.06;0.00;concrete part
25;M_x;-0.02;0.00;0.00;-0.02;0.06;0.00;concrete part
25;M_y;-0.03;0.00;0.00;-0.01;0.13;0.00;concrete part
25;M_y;0.03;0.00;0.00;0.01;-0.13;0.00;concrete part
25;M_z;0.02;0.00;0.00;-0.01;-0.01;0.00;concrete part
25;M_z;-0.02;0.00;0.00;0.01;0.01;0.00;concrete part
Extremes;;0.04;0.00;0.00;0.02;0.13;0.00;
25;;-0.04;0.00;0.00;-0.02;-0.13;0.00;
25;;;;;;;;
28;P_x;0.03;0.00;0.00;0.01;-0.11;0.00;concrete part
28;P_x;-0.03;0.00;0.00;-0.01;0.11;0.00;concrete part
