Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
2;3;3.9999999999999996;L | M;γ_xz;-0.10;-0.09;0.10;11.5;2.8;25.1;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;κ_x;-0.10;-0.09;0.10;11.5;2.8;25.1;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;κ_x;-0.13;-0.10;0.10;0.7;-1.8;-13.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;κ_y;-0.10;-0.09;0.10;11.5;2.8;25.1;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;κ_y;-0.13;-0.10;0.10;0.7;-1.8;-13.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;κ_z;-0.10;-0.09;0.10;11.5;2.8;25.1;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;κ_z;-0.13;-0.10;0.10;0.7;-1.8;-13.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;-0.10;-0.09;0.10;11.5;2.8;25.1;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;;;;-0.13;-0.11;0.10;0.7;-1.8;-13.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;
3;4;0.0000000000000000;L | M;;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.3600000000000000;E;;-0.03;0.00;0.02;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.7200000000000001;E;;-0.03;0.00;0.02;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.0800000000000001;E;;-0.03;0.00;0.02;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.4400000000000002;E;;-0.03;0.00;0.02;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.8000000000000000;R | E;;-0.03;0.00;0.02;0.0;0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.1600000000000001;E;;-0.03;0.00;0.02;0.0;0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.5200000000000000;E;;-0.02;0.00;0.02;0.0;0.4;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.8799999999999999;E;;-0.02;0.00;0.02;0.0;0.5;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;3.2399999999999998;E;;-0.02;0.00;0.02;0.0;0.6;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;5;3.6000000000000001;L | M;ε_x;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;ε_x;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;γ_xy;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;γ_xy;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
