Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;88;12.500;1.000;-3.600;;1.384;1.175;1.384;0.109;
1;89;13.000;1.000;-3.600;;1.023;0.813;1.023;0.110;
1;90;13.500;1.000;-3.600;;0.601;0.385;0.601;0.110;
1;91;14.000;1.000;-3.600;;0.248;0.190;0.248;0.102;
1;92;14.500;1.000;-3.600;;0.473;0.473;0.449;0.078;
1;93;15.000;1.000;-3.600;;0.675;0.614;0.675;0.052;
1;94;0.000;1.500;-3.600;;0.388;0.326;0.388;0.066;
1;95;0.500;1.500;-3.600;;0.357;0.293;0.357;0.059;
1;96;1.000;1.500;-3.600;;0.251;0.166;0.251;0.095;
1;98;2.000;1.500;-3.600;;0.451;0.450;0.451;0.040;
1;99;2.500;1.500;-3.600;;0.826;0.730;0.826;0.059;
1;100;3.000;1.500;-3.600;;0.962;0.771;0.962;0.104;
1;101;3.500;1.500;-3.600;;0.858;0.659;0.858;0.102;
1;102;4.000;1.500;-3.600;;0.983;0.761;0.983;0.113;
1;103;4.500;1.500;-3.600;;1.196;0.953;1.196;0.122;
1;104;5.000;1.500;-3.600;;1.433;1.175;1.433;0.129;
1;105;5.500;1.500;-3.600;;1.623;1.358;1.623;0.133;
1;106;6.000;1.500;-3.600;;1.668;1.400;1.668;0.134;
1;107;6.500;1.500;-3.600;;1.575;1.303;1.575;0.136;
1;108;7.000;1.500;-3.600;;1.550;1.273;1.550;0.139;
1;109;7.500;1.500;-3.600;;1.558;1.278;1.558;0.140;
1;110;8.000;1.500;-3.600;;1.597;1.318;1.597;0.140;
1;111;8.500;1.500;-3.600;;1.658;1.383;1.658;0.138;
1;112;9.000;1.500;-3.600;;1.764;1.492;1.764;0.136;
1;113;9.500;1.500;-3.600;;1.728;1.458;1.728;0.135;
1;114;10.000;1.500;-3.600;;1.571;1.306;1.571;0.133;
1;115;10.500;1.500;-3.600;;1.376;1.123;1.376;0.127;
1;116;11.000;1.500;-3.600;;1.204;0.967;1.204;0.119;
1;117;11.500;1.500;-3.600;;1.109;0.889;1.109;0.111;
1;118;12.000;1.500;-3.600;;1.216;1.009;1.216;0.105;
1;119;12.500;1.500;-3.600;;1.197;1.010;1.197;0.096;
1;120;13.000;1.500;-3.600;;0.897;0.736;0.897;0.084;
1;121;13.500;1.500;-3.600;;0.500;0.371;0.500;0.072;
1;122;14.000;1.500;-3.600;;0.180;0.058;0.180;0.061;
1;123;14.500;1.500;-3.600;;0.253;0.253;0.249;0.026;
1;124;15.000;1.500;-3.600;;0.363;0.317;0.363;0.064;
1;125;0.000;2.000;-3.600;;0.338;0.297;0.338;0.064;
1;126;0.500;2.000;-3.600;;0.249;0.249;0.227;0.046;
1;127;1.000;2.000;-3.600;;0.412;0.124;0.412;0.150;
1;128;1.500;2.000;-3.600;;0.622;0.482;0.622;0.074;
1;129;2.000;2.000;-3.600;;0.615;0.529;0.615;0.045;
1;130;2.500;2.000;-3.600;;0.784;0.676;0.784;0.056;
1;131;3.000;2.000;-3.600;;0.852;0.702;0.852;0.075;
1;132;3.500;2.000;-3.600;;0.846;0.652;0.846;0.097;
