Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;1;0.000;0.000;-3.600;;-59.804;-11.664;-15.349;132.018;61.643;-41.446;-13.515;-12.592;
1;2;0.500;0.000;-3.600;;-21.631;1.469;0.764;74.069;6.058;-25.433;-1.100;-3.121;
1;3;1.000;0.000;-3.600;;1.097;1.564;2.164;38.209;1.471;-14.132;-0.066;-0.289;
1;4;1.500;0.000;-3.600;;10.509;0.538;2.395;23.428;4.090;-7.000;-0.388;-1.015;
1;5;2.000;0.000;-3.600;;16.468;0.794;-0.401;10.655;1.247;-0.444;0.155;-0.298;
1;6;2.500;0.000;-3.600;;19.443;0.700;-1.669;-2.786;-11.569;7.532;1.810;-1.869;
1;7;3.000;0.000;-3.600;;-14.944;-7.397;-8.346;55.089;61.759;-11.155;-4.024;-9.903;
1;8;3.500;0.000;-3.600;;-5.611;2.128;3.149;73.068;5.847;-23.357;-0.977;-3.298;
1;9;4.000;0.000;-3.600;;14.256;1.041;3.144;35.145;1.444;-14.326;-0.038;0.033;
1;10;4.500;0.000;-3.600;;20.120;0.696;1.274;15.475;4.144;-10.502;0.280;0.007;
1;11;5.000;0.000;-3.600;;22.201;0.891;-0.618;-3.593;4.733;-7.995;0.196;-0.058;
1;12;5.500;0.000;-3.600;;19.358;0.860;-2.906;-28.140;-5.840;-5.061;1.036;-0.826;
1;13;6.000;0.000;-3.600;;-9.773;-7.456;-3.787;23.811;60.598;-13.510;-4.101;-4.141;
1;14;6.500;0.000;-3.600;;7.812;0.943;3.242;57.742;2.586;-17.237;-0.143;-1.587;
1;15;7.000;0.000;-3.600;;20.579;0.949;2.101;23.365;2.717;-13.360;0.059;0.060;
1;16;7.500;0.000;-3.600;;23.247;0.666;0.308;3.285;4.272;-12.417;0.299;0.001;
1;17;8.000;0.000;-3.600;;21.932;0.933;-1.521;-16.620;3.401;-12.944;0.077;-0.057;
1;18;8.500;0.000;-3.600;;11.888;1.235;-3.080;-48.081;0.000;-16.024;0.003;1.286;
1;19;9.000;0.000;-3.600;;-10.841;-6.109;1.450;-7.831;60.675;-13.557;-4.087;3.170;
1;20;9.500;0.000;-3.600;;15.676;1.097;3.148;38.902;-3.046;-6.338;0.877;0.524;
1;21;10.000;0.000;-3.600;;21.873;0.929;1.249;11.017;4.095;-8.413;0.170;0.058;
1;22;10.500;0.000;-3.600;;21.307;0.660;-0.603;-8.439;4.194;-10.404;0.273;-0.013;
1;23;11.000;0.000;-3.600;;16.864;0.937;-2.398;-28.228;2.058;-13.711;-0.037;-0.052;
