Point No.;Location [m];;;Mass - Translational Direction [kg];;;Mass - Rotational Direction [kgm^2 ];;;
;X;Y;Z;m_X;m_Y;m_Z;m_φX;m_φY;m_φZ;
76;13.000;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
77;13.000;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
78;14.000;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
79;14.000;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
80;14.000;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
81;4.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
82;4.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
83;5.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
84;4.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
85;4.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
86;4.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
87;5.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
88;7.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
89;7.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
90;8.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
91;7.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
92;7.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
93;7.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
94;8.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
95;10.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
96;10.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
97;11.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
98;10.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
99;10.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
100;10.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
101;11.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
102;13.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
103;13.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
104;14.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
105;13.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
106;13.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
107;13.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
108;14.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
109;0.000;0.500;-3.600;562.5;562.5;562.5;0.00;0.00;0.00;
110;0.500;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
111;1.000;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
112;0.500;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
113;0.000;1.500;-3.600;687.5;687.5;687.5;0.00;0.00;0.00;
114;0.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
115;1.000;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
116;0.000;2.500;-3.600;812.5;812.5;812.5;0.00;0.00;0.00;
117;0.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
118;1.000;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
119;0.000;3.500;-3.600;937.5;937.5;937.5;0.00;0.00;0.00;
120;0.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
121;1.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
122;1.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
123;2.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
124;1.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
