Node No.;Mode;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
18;2;-0.49865;0.80380;-0.11861;0.16777;0.02502;-0.00453;steel top
18;3;0.86233;0.50521;-0.03380;0.10816;-0.04955;0.03113;steel top
18;4;0.08792;-0.76962;0.04117;-0.17878;-0.01351;-0.09683;steel top
;;;;;;;;
19;1;0.00000;0.00000;-0.16882;0.00000;0.00000;0.00000;concrete part
19;2;0.00000;0.00000;0.11553;0.00000;0.00000;0.00000;concrete part
19;3;0.00000;0.00000;0.02617;0.00000;0.00000;0.00000;concrete part
19;4;0.00000;0.00000;0.01193;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
20;1;0.04676;-0.00546;-0.16890;-0.00300;-0.02432;0.00008;concrete top + steel bottom
20;2;0.00176;0.13165;0.11558;0.06098;-0.00143;-0.00004;concrete top + steel bottom
20;3;0.00595;0.05377;0.02618;0.02496;-0.00153;0.00055;concrete top + steel bottom
20;4;0.01418;0.03689;0.01194;0.01740;-0.00196;-0.00360;concrete top + steel bottom
;;;;;;;;
21;1;0.98098;-0.09482;-0.16940;-0.02157;-0.06825;0.00423;steel top
21;2;0.53596;0.83621;0.11620;0.17595;-0.02975;-0.00714;steel top
21;3;-0.77608;0.15209;0.02647;0.02720;0.03943;0.03119;steel top
21;4;-0.08770;0.76793;0.01309;0.17508;0.00646;-0.09941;steel top
;;;;;;;;
22;1;0.00000;0.00000;-0.09904;0.00000;0.00000;0.00000;concrete part
22;2;0.00000;0.00000;0.11518;0.00000;0.00000;0.00000;concrete part
22;3;0.00000;0.00000;0.03601;0.00000;0.00000;0.00000;concrete part
22;4;0.00000;0.00000;0.01052;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
23;1;0.04674;-0.00507;-0.09909;-0.00219;-0.02223;0.00011;concrete top + steel bottom
23;2;0.00174;0.13154;0.11523;0.05910;-0.00031;-0.00002;concrete top + steel bottom
23;3;0.00597;0.05547;0.03602;0.02487;-0.00414;0.00051;concrete top + steel bottom
23;4;0.01424;0.02538;0.01053;0.01142;-0.00219;-0.00368;concrete top + steel bottom
;;;;;;;;
24;1;0.70737;0.00724;-0.09902;0.00012;-0.23387;-0.07426;steel top
24;2;0.07200;0.40727;0.11535;0.06683;-0.02141;-0.15032;steel top
24;3;0.80678;0.19106;0.03614;0.02952;-0.29505;-0.15610;steel top
24;4;0.99630;0.08524;0.01065;0.00821;-0.36199;-0.43277;steel top
;;;;;;;;
25;1;0.00000;0.00000;-0.03466;0.00000;0.00000;0.00000;concrete part
25;2;0.00000;0.00000;0.11571;0.00000;0.00000;0.00000;concrete part
25;3;0.00000;0.00000;0.04695;0.00000;0.00000;0.00000;concrete part
