Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;88;12.500;1.000;-3.600;;1.655;1.374;1.655;0.145;
1;89;13.000;1.000;-3.600;;1.100;0.816;1.100;0.147;
1;90;13.500;1.000;-3.600;;0.523;0.336;0.523;0.148;
1;91;14.000;1.000;-3.600;;0.441;0.395;0.441;0.137;
1;92;14.500;1.000;-3.600;;0.614;0.614;0.575;0.104;
1;93;15.000;1.000;-3.600;;0.715;0.626;0.715;0.075;
1;94;0.000;1.500;-3.600;;0.567;0.412;0.567;0.093;
1;95;0.500;1.500;-3.600;;0.592;0.521;0.592;0.082;
1;96;1.000;1.500;-3.600;;0.570;0.570;0.479;0.135;
1;98;2.000;1.500;-3.600;;0.466;0.421;0.466;0.052;
1;99;2.500;1.500;-3.600;;0.985;0.859;0.985;0.082;
1;100;3.000;1.500;-3.600;;1.208;0.950;1.208;0.140;
1;101;3.500;1.500;-3.600;;0.980;0.719;0.980;0.135;
1;102;4.000;1.500;-3.600;;1.029;0.739;1.029;0.148;
1;103;4.500;1.500;-3.600;;1.231;0.915;1.231;0.159;
1;104;5.000;1.500;-3.600;;1.542;1.209;1.542;0.167;
1;105;5.500;1.500;-3.600;;1.852;1.510;1.852;0.172;
1;106;6.000;1.500;-3.600;;2.002;1.655;2.002;0.174;
1;107;6.500;1.500;-3.600;;1.822;1.471;1.822;0.176;
1;108;7.000;1.500;-3.600;;1.705;1.349;1.705;0.179;
1;109;7.500;1.500;-3.600;;1.671;1.311;1.671;0.180;
1;110;8.000;1.500;-3.600;;1.752;1.393;1.752;0.180;
1;111;8.500;1.500;-3.600;;1.911;1.556;1.911;0.178;
1;112;9.000;1.500;-3.600;;2.130;1.778;2.130;0.176;
1;113;9.500;1.500;-3.600;;2.012;1.662;2.012;0.175;
1;114;10.000;1.500;-3.600;;1.738;1.395;1.738;0.172;
1;115;10.500;1.500;-3.600;;1.463;1.134;1.463;0.165;
1;116;11.000;1.500;-3.600;;1.293;0.984;1.293;0.156;
1;117;11.500;1.500;-3.600;;1.267;0.979;1.267;0.146;
1;118;12.000;1.500;-3.600;;1.478;1.203;1.478;0.139;
1;119;12.500;1.500;-3.600;;1.377;1.129;1.377;0.126;
1;120;13.000;1.500;-3.600;;0.933;0.720;0.933;0.112;
1;121;13.500;1.500;-3.600;;0.405;0.387;0.405;0.096;
1;122;14.000;1.500;-3.600;;0.342;0.342;0.303;0.082;
1;123;14.500;1.500;-3.600;;0.378;0.378;0.367;0.033;
1;124;15.000;1.500;-3.600;;0.446;0.353;0.446;0.090;
1;125;0.000;2.000;-3.600;;0.556;0.415;0.556;0.091;
1;126;0.500;2.000;-3.600;;0.439;0.439;0.432;0.063;
1;127;1.000;2.000;-3.600;;0.360;0.360;0.252;0.210;
1;128;1.500;2.000;-3.600;;0.506;0.337;0.506;0.094;
1;129;2.000;2.000;-3.600;;0.579;0.490;0.579;0.053;
1;130;2.500;2.000;-3.600;;0.886;0.747;0.886;0.071;
1;131;3.000;2.000;-3.600;;1.014;0.814;1.014;0.100;
1;132;3.500;2.000;-3.600;;0.932;0.676;0.932;0.128;
1;133;4.000;2.000;-3.600;;1.021;0.732;1.021;0.145;
1;134;4.500;2.000;-3.600;;1.233;0.916;1.233;0.159;
1;135;5.000;2.000;-3.600;;1.531;1.194;1.531;0.169;
1;136;5.500;2.000;-3.600;;1.809;1.461;1.809;0.174;
1;137;6.000;2.000;-3.600;;1.930;1.575;1.930;0.177;
1;138;6.500;2.000;-3.600;;1.810;1.452;1.810;0.179;
1;139;7.000;2.000;-3.600;;1.721;1.359;1.721;0.181;
1;140;7.500;2.000;-3.600;;1.697;1.332;1.697;0.182;
1;141;8.000;2.000;-3.600;;1.773;1.409;1.773;0.182;
1;142;8.500;2.000;-3.600;;1.907;1.546;1.907;0.181;
1;143;9.000;2.000;-3.600;;2.061;1.702;2.061;0.179;
1;144;9.500;2.000;-3.600;;1.966;1.611;1.966;0.177;
1;145;10.000;2.000;-3.600;;1.728;1.382;1.728;0.173;
1;146;10.500;2.000;-3.600;;1.483;1.152;1.483;0.165;
1;147;11.000;2.000;-3.600;;1.329;1.017;1.329;0.156;
1;148;11.500;2.000;-3.600;;1.288;0.996;1.288;0.146;
1;149;12.000;2.000;-3.600;;1.399;1.123;1.399;0.138;
1;150;12.500;2.000;-3.600;;1.283;1.046;1.283;0.118;
1;151;13.000;2.000;-3.600;;0.871;0.687;0.871;0.092;
1;152;13.500;2.000;-3.600;;0.425;0.425;0.366;0.058;
1;153;14.000;2.000;-3.600;;0.371;0.371;0.272;0.050;
1;154;14.500;2.000;-3.600;;0.325;0.325;0.318;0.006;
1;155;15.000;2.000;-3.600;;0.407;0.331;0.407;0.094;
1;156;0.000;2.500;-3.600;;0.622;0.489;0.622;0.098;
1;157;0.500;2.500;-3.600;;0.513;0.513;0.442;0.044;
1;158;1.000;2.500;-3.600;;0.417;0.417;0.257;0.100;
1;159;1.500;2.500;-3.600;;0.448;0.339;0.448;0.082;
1;160;2.000;2.500;-3.600;;0.812;0.590;0.812;0.115;
1;161;2.500;2.500;-3.600;;1.025;0.789;1.025;0.126;
1;162;3.000;2.500;-3.600;;0.983;0.747;0.983;0.127;
