Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;49;8.500;0.500;-3.600;;0.045;-1.492;-87.50;1.848;-0.022;1.12;0.181;0.009;-5.10;0.102;
1;50;9.000;0.500;-3.600;;-0.201;-2.288;-86.00;2.623;0.243;2.93;0.170;0.018;-4.35;0.398;
1;51;9.500;0.500;-3.600;;-0.030;-1.981;87.74;2.314;0.029;-2.44;0.166;-0.001;-3.51;0.170;
1;52;10.000;0.500;-3.600;;0.098;-1.430;85.21;1.761;-0.096;-4.73;0.165;0.001;-4.47;0.106;
1;53;10.500;0.500;-3.600;;0.129;-1.047;84.94;1.393;-0.123;-5.23;0.173;0.003;-5.80;0.065;
1;54;11.000;0.500;-3.600;;0.132;-0.757;89.71;1.122;-0.116;-2.96;0.186;0.005;-9.58;0.048;
1;55;11.500;0.500;-3.600;;0.184;-0.595;-81.73;0.909;-0.126;1.61;0.176;0.011;-14.87;0.102;
1;56;12.000;0.500;-3.600;;0.023;-1.937;-72.42;2.170;0.074;13.74;0.157;0.008;-16.48;0.385;
1;57;12.500;0.500;-3.600;;-0.064;-1.822;86.82;2.110;0.037;-5.47;0.153;-0.022;-17.32;0.270;
1;58;13.000;0.500;-3.600;;0.177;-0.910;77.14;1.223;-0.204;-14.73;0.159;-0.016;-20.60;0.184;
1;59;13.500;0.500;-3.600;;0.312;-0.240;56.85;0.623;-0.331;-28.36;0.196;-0.014;-22.02;0.125;
1;60;14.000;0.500;-3.600;;0.638;0.106;14.43;0.212;-0.507;-50.40;0.252;-0.027;-26.77;0.118;
1;61;14.500;0.500;-3.600;;1.129;0.217;-5.89;-0.084;-0.885;-76.33;0.240;-0.051;-35.99;0.144;
1;62;15.000;0.500;-3.600;;1.557;0.197;-19.35;-0.315;-1.471;79.07;0.097;-0.113;-45.74;0.172;
1;63;0.000;1.000;-3.600;;0.559;0.161;-16.56;-0.270;-0.687;71.24;-0.050;-0.068;42.40;0.134;
1;64;0.500;1.000;-3.600;;0.723;0.213;-31.70;0.020;-0.860;62.10;0.119;-0.071;67.21;0.095;
1;65;1.000;1.000;-3.600;;0.712;0.005;-44.07;0.113;-0.865;46.77;0.059;-0.077;48.94;0.163;
1;66;1.500;1.000;-3.600;;0.323;-0.549;-60.91;0.954;-0.380;26.30;0.206;-0.032;21.14;0.147;
1;67;2.000;1.000;-3.600;;0.256;-0.943;-60.69;1.653;-0.153;28.81;0.355;0.051;27.82;0.178;
1;68;2.500;1.000;-3.600;;0.106;-1.222;-81.53;1.646;-0.155;11.60;0.219;-0.032;19.99;0.225;
1;69;3.000;1.000;-3.600;;0.184;-1.211;84.69;1.491;-0.134;-2.46;0.151;0.014;12.70;0.182;
1;70;3.500;1.000;-3.600;;0.288;-0.669;83.63;0.951;-0.212;-2.19;0.154;0.025;14.21;0.026;
1;71;4.000;1.000;-3.600;;0.238;-0.671;88.19;0.977;-0.200;1.27;0.159;0.014;11.09;0.026;
1;72;4.500;1.000;-3.600;;0.227;-0.887;-87.84;1.213;-0.210;3.40;0.165;0.008;7.79;0.066;
1;73;5.000;1.000;-3.600;;0.205;-1.244;-87.06;1.580;-0.198;3.33;0.168;0.004;5.04;0.094;
1;74;5.500;1.000;-3.600;;0.165;-1.644;-89.66;1.983;-0.160;0.67;0.170;0.002;2.47;0.117;
1;75;6.000;1.000;-3.600;;0.145;-1.864;86.42;2.203;-0.113;-3.02;0.170;0.016;0.61;0.207;
1;76;6.500;1.000;-3.600;;0.219;-1.481;85.46;1.825;-0.178;-3.44;0.174;0.018;2.62;0.053;
1;77;7.000;1.000;-3.600;;0.215;-1.309;86.10;1.664;-0.191;-2.92;0.179;0.011;1.60;0.028;
1;78;7.500;1.000;-3.600;;0.217;-1.261;88.64;1.624;-0.197;-1.12;0.182;0.010;-0.07;0.012;
1;79;8.000;1.000;-3.600;;0.208;-1.351;-88.78;1.710;-0.186;0.69;0.180;0.011;-1.75;0.038;
1;80;8.500;1.000;-3.600;;0.205;-1.561;-88.00;1.912;-0.168;1.27;0.176;0.017;-2.82;0.062;
1;81;9.000;1.000;-3.600;;0.136;-1.979;-88.66;2.325;-0.102;1.06;0.173;0.016;-0.85;0.207;
