Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;53;10.500;0.500;-3.600;;0.000;5.302;-50.878;55.398;0.218;-10.039;94.234;10.759;-17.144;
1;54;11.000;0.500;-3.600;;0.000;5.155;-39.135;39.480;0.000;-5.499;105.187;19.815;-29.661;
1;55;11.500;0.500;-3.600;;0.000;6.378;-31.248;32.365;0.000;-7.495;102.863;31.252;-40.927;
1;56;12.000;0.500;-3.600;;0.000;0.380;-87.005;99.438;25.930;-38.743;91.326;28.932;-37.822;
1;57;12.500;0.500;-3.600;;0.000;-2.141;-81.866;87.528;8.724;-12.245;93.374;21.476;-49.668;
1;58;13.000;0.500;-3.600;;0.000;8.512;-45.007;53.623;7.330;-24.458;97.277;31.518;-57.556;
1;59;13.500;0.500;-3.600;;3.514;19.046;-27.156;23.642;8.110;-27.156;119.577;44.335;-72.770;
1;60;14.000;0.500;-3.600;;27.126;14.604;-20.065;0.000;1.316;-22.981;153.689;70.744;-112.223;
1;61;14.500;0.500;-3.600;;42.729;9.302;-3.797;0.000;-7.315;-40.919;138.974;93.894;-138.592;
1;62;15.000;0.500;-3.600;;72.434;27.979;-26.676;0.000;-11.631;-62.106;47.174;49.889;-105.094;
1;63;0.000;1.000;-3.600;;29.299;15.469;-9.820;0.000;-9.571;-25.378;-28.507;0.000;-30.672;
1;64;0.500;1.000;-3.600;;38.355;23.299;-24.650;0.000;-5.138;-31.866;12.618;79.174;-67.920;
1;65;1.000;1.000;-3.600;;33.704;31.966;-35.077;1.373;3.111;-35.077;24.691;34.051;-67.592;
1;66;1.500;1.000;-3.600;;0.000;21.211;-37.868;40.308;13.852;-37.503;127.286;39.518;-79.815;
1;67;2.000;1.000;-3.600;;0.000;11.692;-57.259;65.900;32.754;-53.087;207.261;121.498;-125.475;
1;68;2.500;1.000;-3.600;;0.000;5.587;-59.891;69.047;8.094;-22.838;135.132;38.984;-80.598;
1;69;3.000;1.000;-3.600;;0.000;6.653;-56.337;58.416;1.624;-10.355;86.878;24.934;-29.566;
1;70;3.500;1.000;-3.600;;0.000;10.409;-33.760;34.431;0.000;-11.081;88.317;31.788;-30.591;
1;71;4.000;1.000;-3.600;;0.000;9.085;-34.310;34.310;0.000;-9.085;90.292;23.162;-27.379;
1;72;4.500;1.000;-3.600;;0.000;9.134;-43.774;44.385;0.000;-9.745;91.379;15.794;-21.087;
1;73;5.000;1.000;-3.600;;0.000;8.420;-58.861;60.296;0.000;-9.856;90.414;9.572;-14.372;
1;74;5.500;1.000;-3.600;;0.000;6.754;-75.581;75.657;0.000;-6.831;88.300;4.899;-7.199;
1;75;6.000;1.000;-3.600;;0.000;5.387;-84.729;88.682;1.813;-11.153;86.263;9.010;-2.319;
1;76;6.500;1.000;-3.600;;0.000;8.314;-68.915;72.056;0.000;-11.455;90.398;12.801;-7.105;
1;77;7.000;1.000;-3.600;;0.000;8.486;-61.950;63.742;0.000;-10.278;91.648;8.017;-4.682;
1;78;7.500;1.000;-3.600;;0.000;8.635;-60.104;60.319;0.000;-8.850;91.078;4.903;-0.217;
1;79;8.000;1.000;-3.600;;0.000;8.199;-63.763;63.908;0.000;-8.344;92.488;8.014;-5.153;
1;80;8.500;1.000;-3.600;;0.000;7.775;-72.360;72.942;0.000;-8.358;91.882;12.741;-7.829;
1;81;9.000;1.000;-3.600;;0.000;4.957;-89.667;91.356;0.363;-7.010;87.952;9.658;-2.820;
1;82;9.500;1.000;-3.600;;0.000;6.921;-81.789;83.461;0.000;-8.593;89.493;4.962;-5.937;
1;83;10.000;1.000;-3.600;;0.000;8.928;-66.422;70.168;0.000;-12.674;91.671;8.484;-12.233;
1;84;10.500;1.000;-3.600;;0.000;9.826;-52.452;54.131;0.000;-11.505;92.529;13.749;-18.014;
1;85;11.000;1.000;-3.600;;0.000;9.830;-43.525;43.580;0.000;-9.884;90.344;20.050;-22.687;
1;86;11.500;1.000;-3.600;;0.000;11.213;-42.932;43.729;0.000;-12.011;85.464;27.727;-23.000;
1;87;12.000;1.000;-3.600;;0.000;8.686;-65.724;70.576;3.076;-16.615;78.258;16.997;-14.163;
1;88;12.500;1.000;-3.600;;0.000;7.909;-63.116;65.608;0.000;-10.401;86.220;18.088;-36.090;
1;89;13.000;1.000;-3.600;;0.000;12.362;-40.648;48.372;1.681;-21.766;89.529;35.365;-55.247;
1;90;13.500;1.000;-3.600;;0.000;20.503;-21.873;21.979;1.263;-21.872;87.790;52.127;-72.405;
1;91;14.000;1.000;-3.600;;18.239;16.378;-14.527;0.000;-4.307;-15.782;72.920;63.639;-80.881;
1;92;14.500;1.000;-3.600;;24.714;10.327;-0.813;0.000;-9.914;-24.314;42.038;59.734;-62.482;
1;93;15.000;1.000;-3.600;;31.640;18.235;-12.008;0.000;-10.825;-27.042;-19.956;0.000;-37.482;
1;94;0.000;1.500;-3.600;;22.007;17.959;-13.958;0.000;-7.739;-18.269;-3.138;0.000;-45.946;
1;95;0.500;1.500;-3.600;;21.660;24.259;-19.239;-5.720;0.000;-20.960;21.902;52.160;-57.547;
1;96;1.000;1.500;-3.600;;13.183;25.714;-18.799;1.632;0.000;-21.730;19.853;84.447;-52.009;
1;98;2.000;1.500;-3.600;;0.745;25.441;-23.286;20.724;0.000;-23.623;0.000;13.965;-30.489;
1;99;2.500;1.500;-3.600;;0.000;15.218;-38.781;41.189;0.000;-17.626;47.607;31.315;-43.068;
1;100;3.000;1.500;-3.600;;0.000;14.929;-44.938;45.084;0.000;-15.075;82.016;30.640;-36.833;
1;101;3.500;1.500;-3.600;;0.000;14.594;-35.390;35.455;0.000;-14.659;75.149;24.780;-18.555;
1;102;4.000;1.500;-3.600;;0.000;13.203;-36.813;36.844;0.000;-13.234;80.829;20.957;-16.274;
1;103;4.500;1.500;-3.600;;0.000;13.329;-44.705;44.718;0.000;-13.342;84.925;14.016;-12.369;
1;104;5.000;1.500;-3.600;;0.000;14.046;-57.327;57.380;0.000;-14.100;87.474;8.739;-8.452;
1;105;5.500;1.500;-3.600;;0.000;14.452;-70.041;70.056;0.000;-14.468;87.627;6.305;-3.784;
1;106;6.000;1.500;-3.600;;0.000;13.708;-76.212;76.949;0.000;-14.445;87.381;8.308;-1.068;
1;107;6.500;1.500;-3.600;;0.000;14.001;-68.644;69.522;0.000;-14.879;88.918;9.783;-2.120;
1;108;7.000;1.500;-3.600;;0.000;13.023;-63.660;64.382;0.000;-13.744;89.967;8.524;-1.414;
1;109;7.500;1.500;-3.600;;0.000;12.606;-62.128;62.296;0.000;-12.774;90.416;7.325;-0.802;
1;110;8.000;1.500;-3.600;;0.000;12.814;-65.508;65.509;0.000;-12.816;91.291;9.043;-3.005;
1;111;8.500;1.500;-3.600;;0.000;13.634;-72.228;72.255;0.000;-13.662;90.691;10.335;-3.759;
1;112;9.000;1.500;-3.600;;0.000;13.287;-81.420;81.474;0.000;-13.340;89.157;8.994;-2.197;
1;113;9.500;1.500;-3.600;;0.000;14.335;-76.544;76.915;0.000;-14.705;89.253;6.478;-3.682;
1;114;10.000;1.500;-3.600;;0.000;14.262;-65.294;66.098;0.000;-15.066;89.375;8.101;-7.547;
1;115;10.500;1.500;-3.600;;0.000;13.830;-54.131;54.541;0.000;-14.241;87.314;12.177;-10.520;
1;116;11.000;1.500;-3.600;;0.000;13.908;-47.435;47.444;0.000;-13.917;83.651;17.504;-12.602;
1;117;11.500;1.500;-3.600;;0.000;15.492;-46.800;46.895;0.000;-15.588;78.180;19.180;-11.294;
1;118;12.000;1.500;-3.600;;0.000;16.033;-55.887;56.213;0.000;-16.359;74.356;15.727;-10.461;
1;119;12.500;1.500;-3.600;;0.000;16.744;-52.231;52.531;0.000;-17.045;71.414;18.411;-20.042;
1;120;13.000;1.500;-3.600;;0.000;16.700;-34.763;35.968;0.000;-17.905;65.769;29.157;-31.600;
1;121;13.500;1.500;-3.600;;0.000;16.410;-14.968;14.668;0.000;-16.110;52.827;41.318;-38.897;
1;122;14.000;1.500;-3.600;;9.340;15.016;-6.753;-4.984;0.000;-12.619;34.688;45.875;-39.239;
1;123;14.500;1.500;-3.600;;15.536;12.011;-0.524;0.000;-11.745;-15.279;11.399;19.872;-20.980;
1;124;15.000;1.500;-3.600;;17.153;14.771;-3.551;0.000;-12.791;-15.583;-14.094;0.000;-45.088;
1;125;0.000;2.000;-3.600;;19.867;20.234;-15.470;-7.346;0.000;-17.286;1.270;0.000;-45.796;
1;126;0.500;2.000;-3.600;;15.198;20.256;-14.843;-3.486;0.000;-17.126;34.162;27.787;-28.945;
1;127;1.000;2.000;-3.600;;4.886;12.394;-10.310;3.940;0.000;-10.910;85.983;116.484;-61.392;
1;128;1.500;2.000;-3.600;;0.000;6.676;-18.978;22.150;7.260;-17.108;52.191;3.941;-11.347;
1;129;2.000;2.000;-3.600;;0.000;19.758;-22.733;22.901;0.000;-19.926;30.449;0.000;-18.449;
1;130;2.500;2.000;-3.600;;0.000;21.873;-34.380;34.931;0.000;-22.424;37.912;16.922;-5.277;
1;131;3.000;2.000;-3.600;;0.000;19.051;-38.139;38.300;0.000;-19.212;52.278;14.387;-4.864;
1;132;3.500;2.000;-3.600;;0.000;17.158;-33.502;33.510;0.000;-17.166;64.756;16.856;-1.600;
1;133;4.000;2.000;-3.600;;0.000;15.606;-36.534;36.580;0.000;-15.651;72.932;14.004;-0.970;
1;134;4.500;2.000;-3.600;;0.000;15.850;-44.773;44.930;0.000;-16.008;79.798;9.326;-0.888;
1;135;5.000;2.000;-3.600;;0.000;17.078;-56.778;56.965;0.000;-17.265;84.742;6.012;-0.862;
1;136;5.500;2.000;-3.600;;0.000;17.901;-68.130;68.325;0.000;-18.096;87.511;5.891;-0.641;
1;137;6.000;2.000;-3.600;;0.000;17.183;-73.037;73.231;0.000;-17.377;88.700;8.074;-0.027;
1;138;6.500;2.000;-3.600;;0.000;16.797;-67.975;68.169;0.000;-16.991;89.904;9.095;-0.725;
1;139;7.000;2.000;-3.600;;0.000;15.371;-64.184;64.404;0.000;-15.591;91.207;8.919;-1.145;
1;140;7.500;2.000;-3.600;;0.000;14.751;-63.115;63.284;0.000;-14.921;91.900;8.478;-1.318;
1;141;8.000;2.000;-3.600;;0.000;15.271;-66.300;66.404;0.000;-15.375;91.782;8.722;-1.398;
1;142;8.500;2.000;-3.600;;0.000;16.533;-71.950;72.025;0.000;-16.608;91.110;9.138;-1.527;
1;143;9.000;2.000;-3.600;;0.000;16.704;-78.416;78.481;0.000;-16.769;90.476;8.731;-1.546;
1;144;9.500;2.000;-3.600;;0.000;17.427;-74.525;74.589;0.000;-17.491;89.421;6.374;-1.587;
1;145;10.000;2.000;-3.600;;0.000;16.760;-64.805;64.871;0.000;-16.826;87.327;6.181;-1.777;
1;146;10.500;2.000;-3.600;;0.000;15.885;-54.892;54.932;0.000;-15.925;83.628;8.743;-1.843;
1;147;11.000;2.000;-3.600;;0.000;16.111;-48.877;48.894;0.000;-16.129;78.854;12.268;-1.848;
1;148;11.500;2.000;-3.600;;0.000;17.979;-47.588;47.600;0.000;-17.990;73.906;13.623;-1.852;
1;149;12.000;2.000;-3.600;;0.000;19.168;-52.535;52.547;0.000;-19.179;69.750;11.592;-1.552;
1;150;12.500;2.000;-3.600;;0.000;19.946;-48.519;48.531;0.000;-19.957;59.857;11.988;-1.336;
1;151;13.000;2.000;-3.600;;0.000;18.587;-32.456;32.464;0.000;-18.594;46.731;16.960;-1.516;
