Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;50;9.000;0.500;-3.600;;6.152;4.053;48.77;1.049;39.244;91.55;-2.439;-11.025;82.09;4.293;
1;51;9.500;0.500;-3.600;;16.995;4.707;13.51;6.144;10.207;36.12;-0.073;-10.455;85.48;5.191;
1;52;10.000;0.500;-3.600;;20.403;4.752;5.14;7.825;6.137;63.76;-0.091;-10.385;83.55;5.147;
1;53;10.500;0.500;-3.600;;20.008;4.699;-2.19;7.654;6.585;125.38;-0.201;-11.080;81.15;5.440;
1;54;11.000;0.500;-3.600;;16.146;4.032;-11.29;6.057;13.088;153.18;-0.261;-12.446;75.45;6.093;
1;55;11.500;0.500;-3.600;;7.449;2.854;-36.28;2.298;22.073;142.45;-0.436;-11.613;66.31;5.589;
1;56;12.000;0.500;-3.600;;6.696;-1.893;57.78;4.295;40.418;96.72;-0.335;-9.388;62.27;4.527;
1;57;12.500;0.500;-3.600;;15.670;4.651;15.30;5.509;3.164;4.64;2.562;-7.167;66.29;4.864;
1;58;13.000;0.500;-3.600;;15.284;4.588;3.40;5.348;5.509;120.00;2.064;-6.364;61.96;4.214;
1;59;13.500;0.500;-3.600;;12.368;3.937;-11.44;4.215;9.857;150.01;1.332;-7.567;63.94;4.450;
1;60;14.000;0.500;-3.600;;7.196;1.449;-46.10;2.874;18.186;161.94;1.535;-9.989;61.43;5.762;
1;61;14.500;0.500;-3.600;;3.018;-8.340;-82.39;5.679;29.197;146.23;2.344;-9.851;52.49;6.098;
1;62;15.000;0.500;-3.600;;-0.289;-26.213;76.07;12.962;46.799;123.76;4.442;-5.527;39.47;4.985;
1;63;0.000;1.000;-3.600;;6.764;-11.393;-77.79;9.078;21.179;76.70;2.208;0.722;-18.62;0.743;
1;64;0.500;1.000;-3.600;;7.417;-6.447;-87.66;6.932;20.906;64.73;2.286;-4.150;-22.35;3.218;
1;65;1.000;1.000;-3.600;;6.321;0.156;83.89;3.083;16.682;9.90;3.058;-2.350;-50.60;2.704;
1;66;1.500;1.000;-3.600;;12.459;0.945;3.17;5.757;20.555;-12.20;0.787;-9.516;-71.10;5.151;
1;67;2.000;1.000;-3.600;;16.878;3.425;35.51;6.727;18.047;65.04;-0.218;-14.115;-67.52;6.949;
1;68;2.500;1.000;-3.600;;10.931;9.783;37.64;0.574;2.798;-147.28;2.498;-9.625;-72.10;6.061;
1;69;3.000;1.000;-3.600;;9.849;4.511;-79.01;2.669;21.629;91.56;-1.679;-7.071;-76.99;2.696;
1;70;3.500;1.000;-3.600;;9.513;6.043;69.53;1.735;17.542;59.42;-2.252;-8.922;-64.14;3.335;
