Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;26;12.500;0.000;-3.600;min;0.000;0.001;-0.047;0.000;0.001;-0.047;0.000;-0.003;-0.093;
1;27;13.000;0.000;-3.600;max;0.028;0.001;0.000;0.028;0.001;0.000;0.069;0.001;0.000;
1;27;13.000;0.000;-3.600;min;0.000;0.000;-0.028;0.000;0.000;-0.028;0.000;0.000;-0.069;
1;28;13.500;0.000;-3.600;max;0.027;0.002;-0.001;0.027;0.002;-0.001;0.071;0.002;-0.001;
1;28;13.500;0.000;-3.600;min;0.000;0.000;-0.026;0.000;0.000;-0.026;0.000;0.000;-0.071;
1;29;14.000;0.000;-3.600;max;0.030;0.003;-0.001;0.030;0.003;-0.001;0.094;0.002;-0.001;
1;29;14.000;0.000;-3.600;min;0.000;0.000;-0.028;0.000;0.000;-0.028;0.000;-0.001;-0.093;
1;30;14.500;0.000;-3.600;max;0.047;0.005;-0.001;0.047;0.005;-0.001;0.172;0.032;-0.008;
1;30;14.500;0.000;-3.600;min;0.000;0.000;-0.043;0.000;0.000;-0.043;0.000;-0.007;-0.153;
1;31;15.000;0.000;-3.600;max;0.078;0.023;-0.020;0.078;0.023;-0.020;0.306;0.132;-0.026;
1;31;15.000;0.000;-3.600;min;0.000;0.004;-0.065;0.000;0.004;-0.065;0.000;-0.048;-0.258;
1;32;0.000;0.500;-3.600;max;0.022;0.020;-0.016;0.022;0.020;-0.016;0.033;0.038;-0.028;
1;32;0.000;0.500;-3.600;min;0.000;0.006;-0.030;0.000;0.006;-0.030;0.009;0.008;-0.050;
1;33;0.500;0.500;-3.600;max;0.017;0.017;-0.004;0.017;0.017;-0.004;0.071;0.051;-0.014;
1;33;0.500;0.500;-3.600;min;0.000;0.000;-0.032;0.000;0.000;-0.032;0.000;0.003;-0.067;
1;34;1.000;0.500;-3.600;max;0.024;0.016;-0.019;0.024;0.016;-0.019;0.092;0.032;-0.056;
1;34;1.000;0.500;-3.600;min;0.000;0.008;-0.028;0.000;0.008;-0.028;0.000;0.019;-0.078;
1;35;1.500;0.500;-3.600;max;0.034;0.013;-0.001;0.034;0.013;-0.001;0.082;0.039;0.000;
1;35;1.500;0.500;-3.600;min;0.000;0.000;-0.029;0.000;0.000;-0.029;0.000;0.000;-0.078;
1;36;2.000;0.500;-3.600;max;0.044;0.016;-0.027;0.044;0.016;-0.027;0.055;0.044;-0.040;
1;36;2.000;0.500;-3.600;min;0.000;0.005;-0.037;0.000;0.005;-0.037;0.000;-0.002;-0.050;
1;37;2.500;0.500;-3.600;max;0.046;0.012;-0.014;0.046;0.012;-0.014;0.042;0.011;-0.016;
1;37;2.500;0.500;-3.600;min;0.000;0.001;-0.039;0.000;0.001;-0.039;0.000;0.005;-0.034;
1;38;3.000;0.500;-3.600;max;0.037;0.008;-0.002;0.037;0.008;-0.002;0.031;0.011;-0.007;
1;38;3.000;0.500;-3.600;min;0.000;-0.003;-0.035;0.000;-0.003;-0.035;0.000;0.000;-0.026;
1;39;3.500;0.500;-3.600;max;0.028;0.003;-0.001;0.028;0.003;-0.001;0.027;0.012;-0.001;
1;39;3.500;0.500;-3.600;min;0.000;0.000;-0.027;0.000;0.000;-0.027;0.000;-0.001;-0.024;
1;40;4.000;0.500;-3.600;max;0.029;0.004;-0.001;0.029;0.004;-0.001;0.027;0.010;-0.001;
1;40;4.000;0.500;-3.600;min;0.000;0.000;-0.027;0.000;0.000;-0.027;0.000;-0.001;-0.025;
1;41;4.500;0.500;-3.600;max;0.030;0.004;-0.001;0.030;0.004;-0.001;0.026;0.007;-0.001;
1;41;4.500;0.500;-3.600;min;-0.001;-0.001;-0.028;-0.001;-0.001;-0.028;0.000;-0.003;-0.025;
1;42;5.000;0.500;-3.600;max;0.031;0.003;0.000;0.031;0.003;0.000;0.031;0.012;-0.003;
1;42;5.000;0.500;-3.600;min;0.000;-0.001;-0.030;0.000;-0.001;-0.030;0.000;-0.002;-0.027;
1;43;5.500;0.500;-3.600;max;0.036;0.007;-0.001;0.036;0.007;-0.001;0.029;0.017;-0.006;
1;43;5.500;0.500;-3.600;min;0.000;-0.003;-0.034;0.000;-0.003;-0.034;0.000;-0.002;-0.025;
1;44;6.000;0.500;-3.600;max;0.041;0.020;-0.010;0.041;0.020;-0.010;0.025;0.016;-0.003;
1;44;6.000;0.500;-3.600;min;0.000;-0.005;-0.035;0.000;-0.005;-0.035;0.000;-0.001;-0.026;
1;45;6.500;0.500;-3.600;max;0.022;0.005;-0.001;0.022;0.005;-0.001;0.022;0.021;0.000;
1;45;6.500;0.500;-3.600;min;0.000;-0.002;-0.022;0.000;-0.002;-0.022;0.000;0.000;-0.030;
1;46;7.000;0.500;-3.600;max;0.023;0.004;0.000;0.023;0.004;0.000;0.020;0.015;-0.002;
1;46;7.000;0.500;-3.600;min;0.000;0.000;-0.022;0.000;0.000;-0.022;0.000;-0.001;-0.025;
1;47;7.500;0.500;-3.600;max;0.025;0.004;0.000;0.025;0.004;0.000;0.023;0.010;-0.001;
1;47;7.500;0.500;-3.600;min;0.000;0.000;-0.024;0.000;0.000;-0.024;0.000;-0.002;-0.021;
1;48;8.000;0.500;-3.600;max;0.030;0.003;0.000;0.030;0.003;0.000;0.029;0.015;-0.011;
1;48;8.000;0.500;-3.600;min;0.000;-0.001;-0.029;0.000;-0.001;-0.029;0.000;0.000;-0.025;
1;49;8.500;0.500;-3.600;max;0.039;0.007;-0.005;0.039;0.007;-0.005;0.027;0.022;-0.007;
1;49;8.500;0.500;-3.600;min;0.000;-0.003;-0.037;0.000;-0.003;-0.037;0.000;-0.001;-0.030;
1;50;9.000;0.500;-3.600;max;0.054;0.027;-0.006;0.054;0.027;-0.006;0.027;0.019;-0.003;
1;50;9.000;0.500;-3.600;min;0.000;-0.005;-0.045;0.000;-0.005;-0.045;0.000;-0.002;-0.027;
1;51;9.500;0.500;-3.600;max;0.038;0.007;-0.001;0.038;0.007;-0.001;0.035;0.023;-0.018;
1;51;9.500;0.500;-3.600;min;0.000;-0.002;-0.034;0.000;-0.002;-0.034;0.000;-0.001;-0.031;
1;52;10.000;0.500;-3.600;max;0.029;0.002;0.000;0.029;0.002;0.000;0.039;0.016;-0.008;
1;52;10.000;0.500;-3.600;min;0.000;-0.001;-0.027;0.000;-0.001;-0.027;0.000;-0.001;-0.033;
1;53;10.500;0.500;-3.600;max;0.025;0.003;-0.001;0.025;0.003;-0.001;0.033;0.011;-0.004;
1;53;10.500;0.500;-3.600;min;0.000;0.000;-0.024;0.000;0.000;-0.024;0.000;-0.001;-0.029;
1;54;11.000;0.500;-3.600;max;0.024;0.003;-0.001;0.024;0.003;-0.001;0.031;0.017;-0.005;
1;54;11.000;0.500;-3.600;min;0.000;0.000;-0.022;0.000;0.000;-0.022;0.000;0.000;-0.029;
1;55;11.500;0.500;-3.600;max;0.025;0.006;0.000;0.025;0.006;0.000;0.034;0.024;0.000;
1;55;11.500;0.500;-3.600;min;0.000;-0.001;-0.024;0.000;-0.001;-0.024;0.000;0.000;-0.035;
