Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;25;12.000;0.000;-3.600;max;0.076;-0.001;48.01;0.041;0.103;5.56;0.131;0.022;42.19;0.054;
1;25;12.000;0.000;-3.600;min;0.001;-0.076;-45.44;0.026;0.065;-178.59;-0.022;-0.131;-55.05;0.033;
1;26;12.500;0.000;-3.600;max;0.047;-0.001;6.36;0.024;0.043;31.18;0.093;0.003;8.75;0.045;
1;26;12.500;0.000;-3.600;min;0.001;-0.047;-85.83;0.018;0.032;-152.64;-0.003;-0.093;-83.43;0.028;
1;27;13.000;0.000;-3.600;max;0.028;0.000;89.52;0.014;0.016;157.61;0.069;0.000;89.97;0.035;
1;27;13.000;0.000;-3.600;min;0.000;-0.028;-89.48;0.001;0.000;-172.74;0.000;-0.069;-90.00;0.001;
1;28;13.500;0.000;-3.600;max;0.026;0.000;88.43;0.013;0.017;178.42;0.071;-0.001;89.88;0.037;
1;28;13.500;0.000;-3.600;min;0.000;-0.026;-5.25;0.006;0.006;-7.96;0.001;-0.071;-0.35;0.023;
1;29;14.000;0.000;-3.600;max;0.028;0.000;86.69;0.014;0.020;173.39;0.093;0.001;89.29;0.046;
1;29;14.000;0.000;-3.600;min;0.000;-0.028;-10.45;0.005;0.006;-30.30;-0.001;-0.093;-0.83;0.025;
1;30;14.500;0.000;-3.600;max;0.043;-0.001;87.54;0.022;0.032;153.95;0.153;0.007;81.34;0.073;
1;30;14.500;0.000;-3.600;min;0.001;-0.043;-89.55;0.011;0.014;-93.68;-0.007;-0.153;-9.15;0.012;
1;31;15.000;0.000;-3.600;max;0.064;-0.003;73.39;0.035;0.059;165.37;0.262;0.044;75.24;0.109;
1;31;15.000;0.000;-3.600;min;0.003;-0.064;-26.63;0.013;0.003;-168.71;-0.044;-0.262;-20.21;0.027;
1;32;0.000;0.500;-3.600;max;0.017;-0.006;63.94;0.016;0.008;157.03;0.029;-0.014;56.57;0.027;
1;32;0.000;0.500;-3.600;min;0.006;-0.017;-40.79;0.010;0.004;-179.72;0.014;-0.029;-34.37;0.015;
1;33;0.500;0.500;-3.600;max;0.017;0.000;45.42;0.016;0.006;123.70;0.062;-0.002;40.04;0.034;
1;33;0.500;0.500;-3.600;min;0.000;-0.017;-77.73;0.004;0.001;-80.71;0.002;-0.062;-53.36;0.007;
1;34;1.000;0.500;-3.600;max;0.019;-0.006;34.63;0.015;0.015;146.09;0.072;-0.021;23.45;0.049;
1;34;1.000;0.500;-3.600;min;0.006;-0.019;-63.37;0.012;0.011;-38.73;0.021;-0.072;-67.22;0.038;
1;35;1.500;0.500;-3.600;max;0.027;0.000;85.39;0.017;0.019;133.29;0.066;0.000;30.65;0.044;
1;35;1.500;0.500;-3.600;min;0.000;-0.027;-68.40;0.002;0.001;-172.80;0.000;-0.066;-89.06;0.003;
1;36;2.000;0.500;-3.600;max;0.036;-0.004;25.42;0.020;0.015;54.57;0.049;0.001;39.60;0.025;
1;36;2.000;0.500;-3.600;min;0.004;-0.036;-67.43;0.017;0.014;-135.34;-0.001;-0.049;-54.63;0.021;
1;37;2.500;0.500;-3.600;max;0.039;-0.001;18.63;0.020;0.016;110.14;0.033;-0.005;19.85;0.021;
1;37;2.500;0.500;-3.600;min;0.001;-0.039;-73.78;0.012;0.012;-79.03;0.005;-0.033;-75.13;0.015;
1;38;3.000;0.500;-3.600;max;0.035;0.003;49.19;0.017;0.006;69.72;0.026;-0.004;25.81;0.017;
1;38;3.000;0.500;-3.600;min;-0.003;-0.035;-87.28;0.009;0.003;-158.43;0.004;-0.026;-83.66;0.007;
1;39;3.500;0.500;-3.600;max;0.027;0.000;89.10;0.014;0.009;147.90;0.024;0.001;85.70;0.011;
1;39;3.500;0.500;-3.600;min;0.000;-0.027;-86.78;0.001;0.001;-175.74;-0.001;-0.024;-89.12;0.006;
1;40;4.000;0.500;-3.600;max;0.027;0.000;86.69;0.014;0.008;179.09;0.025;0.001;87.11;0.012;
1;40;4.000;0.500;-3.600;min;0.000;-0.027;-89.98;0.002;0.001;-179.76;-0.001;-0.025;-84.41;0.005;
1;41;4.500;0.500;-3.600;max;0.028;0.001;81.71;0.014;0.009;176.32;0.025;0.003;87.63;0.012;
1;41;4.500;0.500;-3.600;min;-0.001;-0.028;-84.62;0.000;0.001;-173.17;-0.003;-0.025;-88.73;0.004;
1;42;5.000;0.500;-3.600;max;0.030;0.001;89.86;0.015;0.015;179.87;0.027;0.002;86.06;0.013;
