Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
1;60;14.000;0.500;-3.600;;0.390;0.390;0.372;0.189;
1;61;14.500;0.500;-3.600;;0.916;0.916;0.769;0.185;
1;62;15.000;0.500;-3.600;;1.585;1.585;1.506;0.098;
1;63;0.000;1.000;-3.600;;0.632;0.565;0.632;0.041;
1;64;0.500;1.000;-3.600;;0.681;0.549;0.681;0.096;
1;65;1.000;1.000;-3.600;;0.552;0.424;0.552;0.065;
1;66;1.500;1.000;-3.600;;0.942;0.627;0.942;0.158;
1;67;2.000;1.000;-3.600;;1.457;0.951;1.457;0.253;
1;68;2.500;1.000;-3.600;;1.310;0.986;1.310;0.167;
1;69;3.000;1.000;-3.600;;1.089;0.895;1.089;0.110;
1;70;3.500;1.000;-3.600;;0.763;0.558;0.763;0.113;
1;71;4.000;1.000;-3.600;;0.932;0.698;0.932;0.120;
1;72;4.500;1.000;-3.600;;1.193;0.941;1.193;0.127;
1;73;5.000;1.000;-3.600;;1.458;1.199;1.458;0.130;
1;74;5.500;1.000;-3.600;;1.682;1.420;1.682;0.132;
1;75;6.000;1.000;-3.600;;1.714;1.457;1.714;0.129;
1;76;6.500;1.000;-3.600;;1.511;1.249;1.511;0.133;
1;77;7.000;1.000;-3.600;;1.503;1.229;1.503;0.138;
1;78;7.500;1.000;-3.600;;1.529;1.247;1.529;0.141;
1;79;8.000;1.000;-3.600;;1.557;1.280;1.557;0.139;
1;80;8.500;1.000;-3.600;;1.605;1.338;1.605;0.134;
1;81;9.000;1.000;-3.600;;1.802;1.540;1.802;0.132;
1;82;9.500;1.000;-3.600;;1.769;1.501;1.769;0.134;
1;83;10.000;1.000;-3.600;;1.582;1.317;1.582;0.133;
1;84;10.500;1.000;-3.600;;1.359;1.100;1.359;0.130;
1;85;11.000;1.000;-3.600;;1.131;0.890;1.131;0.122;
1;86;11.500;1.000;-3.600;;0.981;0.771;0.981;0.112;
1;87;12.000;1.000;-3.600;;1.304;1.106;1.304;0.106;
1;88;12.500;1.000;-3.600;;1.367;1.157;1.367;0.111;
1;89;13.000;1.000;-3.600;;1.020;0.809;1.020;0.112;
1;90;13.500;1.000;-3.600;;0.614;0.395;0.614;0.113;
1;91;14.000;1.000;-3.600;;0.290;0.201;0.290;0.106;
1;92;14.500;1.000;-3.600;;0.467;0.467;0.461;0.082;
1;93;15.000;1.000;-3.600;;0.664;0.623;0.664;0.047;
1;94;0.000;1.500;-3.600;;0.386;0.340;0.386;0.065;
1;95;0.500;1.500;-3.600;;0.387;0.300;0.387;0.066;
1;96;1.000;1.500;-3.600;;0.288;0.183;0.288;0.100;
1;98;2.000;1.500;-3.600;;0.472;0.458;0.472;0.042;
1;99;2.500;1.500;-3.600;;0.811;0.716;0.811;0.061;
1;100;3.000;1.500;-3.600;;0.952;0.768;0.952;0.102;
1;101;3.500;1.500;-3.600;;0.843;0.656;0.843;0.098;
1;102;4.000;1.500;-3.600;;0.966;0.752;0.966;0.109;
1;103;4.500;1.500;-3.600;;1.181;0.944;1.181;0.120;
1;104;5.000;1.500;-3.600;;1.421;1.166;1.421;0.127;
1;105;5.500;1.500;-3.600;;1.611;1.349;1.611;0.131;
1;106;6.000;1.500;-3.600;;1.652;1.390;1.652;0.132;
1;107;6.500;1.500;-3.600;;1.558;1.292;1.558;0.133;
1;108;7.000;1.500;-3.600;;1.532;1.260;1.532;0.136;
1;109;7.500;1.500;-3.600;;1.540;1.264;1.540;0.138;
1;110;8.000;1.500;-3.600;;1.579;1.305;1.579;0.137;
1;111;8.500;1.500;-3.600;;1.640;1.371;1.640;0.135;
1;112;9.000;1.500;-3.600;;1.747;1.480;1.747;0.134;
1;113;9.500;1.500;-3.600;;1.714;1.447;1.714;0.134;
1;114;10.000;1.500;-3.600;;1.558;1.296;1.558;0.131;
1;115;10.500;1.500;-3.600;;1.363;1.114;1.363;0.125;
1;116;11.000;1.500;-3.600;;1.189;0.960;1.189;0.116;
1;117;11.500;1.500;-3.600;;1.097;0.887;1.097;0.107;
1;118;12.000;1.500;-3.600;;1.209;1.010;1.209;0.102;
1;119;12.500;1.500;-3.600;;1.194;1.011;1.194;0.094;
1;120;13.000;1.500;-3.600;;0.894;0.739;0.894;0.082;
1;121;13.500;1.500;-3.600;;0.494;0.373;0.494;0.070;
1;122;14.000;1.500;-3.600;;0.187;0.065;0.187;0.061;
1;123;14.500;1.500;-3.600;;0.266;0.264;0.266;0.027;
1;124;15.000;1.500;-3.600;;0.358;0.336;0.358;0.060;
1;125;0.000;2.000;-3.600;;0.346;0.322;0.346;0.064;
1;126;0.500;2.000;-3.600;;0.273;0.273;0.265;0.045;
1;127;1.000;2.000;-3.600;;0.414;0.146;0.414;0.140;
1;128;1.500;2.000;-3.600;;0.631;0.491;0.631;0.075;
1;129;2.000;2.000;-3.600;;0.630;0.536;0.630;0.049;
1;130;2.500;2.000;-3.600;;0.787;0.688;0.787;0.052;
1;131;3.000;2.000;-3.600;;0.852;0.708;0.852;0.072;
1;132;3.500;2.000;-3.600;;0.835;0.652;0.835;0.091;
1;133;4.000;2.000;-3.600;;0.969;0.757;0.969;0.106;
1;134;4.500;2.000;-3.600;;1.179;0.943;1.179;0.118;
1;135;5.000;2.000;-3.600;;1.412;1.157;1.412;0.128;
1;136;5.500;2.000;-3.600;;1.590;1.325;1.590;0.132;
1;137;6.000;2.000;-3.600;;1.625;1.357;1.625;0.134;
1;138;6.500;2.000;-3.600;;1.568;1.298;1.568;0.135;
1;139;7.000;2.000;-3.600;;1.548;1.273;1.548;0.137;
1;140;7.500;2.000;-3.600;;1.554;1.277;1.554;0.139;
1;141;8.000;2.000;-3.600;;1.595;1.318;1.595;0.138;
1;142;8.500;2.000;-3.600;;1.652;1.378;1.652;0.137;
1;143;9.000;2.000;-3.600;;1.722;1.451;1.722;0.136;
1;144;9.500;2.000;-3.600;;1.696;1.426;1.696;0.135;
1;145;10.000;2.000;-3.600;;1.554;1.291;1.554;0.131;
1;146;10.500;2.000;-3.600;;1.372;1.124;1.372;0.124;
1;147;11.000;2.000;-3.600;;1.217;0.987;1.217;0.115;
1;148;11.500;2.000;-3.600;;1.130;0.917;1.130;0.106;
1;149;12.000;2.000;-3.600;;1.176;0.974;1.176;0.101;
1;150;12.500;2.000;-3.600;;1.138;0.964;1.138;0.087;
1;151;13.000;2.000;-3.600;;0.848;0.717;0.848;0.066;
1;152;13.500;2.000;-3.600;;0.447;0.372;0.447;0.038;
1;153;14.000;2.000;-3.600;;0.095;0.037;0.095;0.032;
1;154;14.500;2.000;-3.600;;0.199;0.199;0.199;0.005;
1;155;15.000;2.000;-3.600;;0.270;0.267;0.270;0.063;
1;156;0.000;2.500;-3.600;;0.451;0.412;0.451;0.065;
1;157;0.500;2.500;-3.600;;0.341;0.341;0.314;0.032;
1;158;1.000;2.500;-3.600;;0.277;0.186;0.277;0.065;
1;159;1.500;2.500;-3.600;;0.512;0.408;0.512;0.060;
1;160;2.000;2.500;-3.600;;0.822;0.651;0.822;0.088;
1;161;2.500;2.500;-3.600;;0.941;0.763;0.941;0.095;
1;162;3.000;2.500;-3.600;;0.839;0.674;0.839;0.092;
1;163;3.500;2.500;-3.600;;0.765;0.569;0.765;0.102;
1;164;4.000;2.500;-3.600;;0.930;0.704;0.930;0.114;
1;165;4.500;2.500;-3.600;;1.178;0.929;1.178;0.125;
1;166;5.000;2.500;-3.600;;1.434;1.168;1.434;0.133;
1;167;5.500;2.500;-3.600;;1.623;1.351;1.623;0.136;
1;168;6.000;2.500;-3.600;;1.643;1.370;1.643;0.137;
1;169;6.500;2.500;-3.600;;1.560;1.283;1.560;0.138;
1;170;7.000;2.500;-3.600;;1.544;1.261;1.544;0.141;
1;171;7.500;2.500;-3.600;;1.557;1.271;1.557;0.143;
1;172;8.000;2.500;-3.600;;1.598;1.314;1.598;0.142;
1;173;8.500;2.500;-3.600;;1.654;1.375;1.654;0.140;
1;174;9.000;2.500;-3.600;;1.740;1.464;1.740;0.138;
1;175;9.500;2.500;-3.600;;1.718;1.442;1.718;0.138;
1;176;10.000;2.500;-3.600;;1.568;1.298;1.568;0.135;
1;177;10.500;2.500;-3.600;;1.375;1.118;1.375;0.128;
1;178;11.000;2.500;-3.600;;1.202;0.965;1.202;0.119;
1;179;11.500;2.500;-3.600;;1.105;0.888;1.105;0.110;
1;180;12.000;2.500;-3.600;;1.200;0.995;1.200;0.105;
1;181;12.500;2.500;-3.600;;1.197;1.009;1.197;0.096;
1;182;13.000;2.500;-3.600;;0.902;0.744;0.902;0.083;
1;183;13.500;2.500;-3.600;;0.503;0.383;0.503;0.069;
1;184;14.000;2.500;-3.600;;0.183;0.067;0.183;0.059;
1;185;14.500;2.500;-3.600;;0.255;0.251;0.255;0.024;
1;186;15.000;2.500;-3.600;;0.364;0.338;0.364;0.061;
1;187;0.000;3.000;-3.600;;0.689;0.639;0.689;0.053;
1;188;0.500;3.000;-3.600;;0.498;0.498;0.401;0.079;
1;189;1.000;3.000;-3.600;;0.203;0.203;0.089;0.089;
1;190;1.500;3.000;-3.600;;0.447;0.296;0.447;0.098;
1;191;2.000;3.000;-3.600;;0.827;0.620;0.827;0.114;
1;192;2.500;3.000;-3.600;;1.077;0.860;1.077;0.120;
1;193;3.000;3.000;-3.600;;0.881;0.702;0.881;0.112;
1;194;3.500;3.000;-3.600;;0.605;0.390;0.605;0.120;
1;195;4.000;3.000;-3.600;;0.862;0.605;0.862;0.130;
1;196;4.500;3.000;-3.600;;1.183;0.910;1.183;0.137;
1;197;5.000;3.000;-3.600;;1.480;1.200;1.480;0.140;
1;198;5.500;3.000;-3.600;;1.715;1.432;1.715;0.142;
1;199;6.000;3.000;-3.600;;1.706;1.428;1.706;0.139;
1;200;6.500;3.000;-3.600;;1.520;1.235;1.520;0.143;
1;201;7.000;3.000;-3.600;;1.525;1.227;1.525;0.149;
1;202;7.500;3.000;-3.600;;1.557;1.254;1.557;0.152;
1;203;8.000;3.000;-3.600;;1.590;1.292;1.590;0.149;
1;204;8.500;3.000;-3.600;;1.638;1.352;1.638;0.144;
1;205;9.000;3.000;-3.600;;1.799;1.518;1.799;0.141;
1;206;9.500;3.000;-3.600;;1.780;1.495;1.780;0.143;
1;207;10.000;3.000;-3.600;;1.599;1.317;1.599;0.141;
1;208;10.500;3.000;-3.600;;1.376;1.102;1.376;0.137;
1;209;11.000;3.000;-3.600;;1.150;0.896;1.150;0.129;
1;210;11.500;3.000;-3.600;;1.001;0.780;1.001;0.118;
1;211;12.000;3.000;-3.600;;1.294;1.084;1.294;0.111;
1;212;12.500;3.000;-3.600;;1.377;1.156;1.377;0.116;
1;213;13.000;3.000;-3.600;;1.034;0.816;1.034;0.115;
1;214;13.500;3.000;-3.600;;0.622;0.401;0.622;0.114;
1;215;14.000;3.000;-3.600;;0.274;0.189;0.274;0.106;
1;216;14.500;3.000;-3.600;;0.438;0.438;0.432;0.081;
1;217;15.000;3.000;-3.600;;0.672;0.627;0.672;0.049;
1;218;0.000;3.500;-3.600;;1.368;1.368;1.249;0.099;
1;219;0.500;3.500;-3.600;;0.829;0.829;0.554;0.180;
1;220;1.000;3.500;-3.600;;0.285;0.285;0.085;0.183;
1;221;1.500;3.500;-3.600;;0.478;0.200;0.478;0.148;
1;222;2.000;3.500;-3.600;;0.878;0.630;0.878;0.132;
1;223;2.500;3.500;-3.600;;1.349;1.107;1.349;0.134;
1;224;3.000;3.500;-3.600;;1.329;1.216;1.214;0.136;
1;225;3.500;3.500;-3.600;;0.314;0.105;0.314;0.152;
1;226;4.000;3.500;-3.600;;0.826;0.510;0.826;0.158;
1;227;4.500;3.500;-3.600;;1.191;0.899;1.191;0.146;
1;228;5.000;3.500;-3.600;;1.517;1.238;1.517;0.140;
1;229;5.500;3.500;-3.600;;1.876;1.593;1.876;0.142;
1;230;6.000;3.500;-3.600;;1.797;1.523;1.797;0.143;
1;231;6.500;3.500;-3.600;;1.417;1.110;1.417;0.156;
1;232;7.000;3.500;-3.600;;1.516;1.189;1.516;0.164;
1;233;7.500;3.500;-3.600;;1.567;1.243;1.567;0.162;
1;234;8.000;3.500;-3.600;;1.590;1.267;1.590;0.163;
1;235;8.500;3.500;-3.600;;1.582;1.277;1.582;0.155;
1;236;9.000;3.500;-3.600;;1.867;1.589;1.867;0.143;
1;237;9.500;3.500;-3.600;;1.890;1.604;1.890;0.143;
1;238;10.000;3.500;-3.600;;1.624;1.342;1.624;0.141;
1;239;10.500;3.500;-3.600;;1.385;1.093;1.385;0.146;
1;240;11.000;3.500;-3.600;;1.120;0.815;1.120;0.155;
1;241;11.500;3.500;-3.600;;0.761;0.505;0.761;0.144;
1;242;12.000;3.500;-3.600;;1.535;1.375;1.535;0.127;
1;243;12.500;3.500;-3.600;;1.704;1.475;1.704;0.125;
1;244;13.000;3.500;-3.600;;1.146;0.903;1.146;0.126;
1;245;13.500;3.500;-3.600;;0.710;0.407;0.710;0.152;
1;246;14.000;3.500;-3.600;;0.360;0.360;0.354;0.195;
1;247;14.500;3.500;-3.600;;0.883;0.883;0.720;0.189;
1;248;15.000;3.500;-3.600;;1.556;1.556;1.465;0.099;
1;249;0.000;4.000;-3.600;;3.138;3.138;1.508;0.815;
1;250;0.500;4.000;-3.600;;1.525;1.525;0.602;0.468;
1;251;1.000;4.000;-3.600;;0.405;0.405;0.130;0.260;
1;252;1.500;4.000;-3.600;;0.504;0.171;0.504;0.174;
1;253;2.000;4.000;-3.600;;0.915;0.670;0.915;0.123;
1;254;2.500;4.000;-3.600;;1.778;1.642;1.778;0.073;
1;255;3.000;4.000;-3.600;;2.573;2.573;2.180;0.209;
1;256;3.500;4.000;-3.600;;0.549;0.549;0.104;0.240;
1;257;4.000;4.000;-3.600;;0.796;0.468;0.796;0.172;
1;258;4.500;4.000;-3.600;;1.163;0.881;1.163;0.144;
1;259;5.000;4.000;-3.600;;1.530;1.281;1.530;0.125;
1;260;5.500;4.000;-3.600;;2.138;1.930;2.138;0.104;
1;261;6.000;4.000;-3.600;;1.974;1.721;1.974;0.173;
1;262;6.500;4.000;-3.600;;1.317;0.914;1.317;0.202;
1;263;7.000;4.000;-3.600;;1.520;1.179;1.520;0.171;
1;264;7.500;4.000;-3.600;;1.573;1.245;1.573;0.164;
1;265;8.000;4.000;-3.600;;1.601;1.266;1.601;0.168;
1;266;8.500;4.000;-3.600;;1.550;1.166;1.550;0.192;
1;267;9.000;4.000;-3.600;;2.005;1.700;2.005;0.170;
1;268;9.500;4.000;-3.600;;2.086;1.861;2.086;0.113;
1;269;10.000;4.000;-3.600;;1.644;1.386;1.644;0.129;
1;270;10.500;4.000;-3.600;;1.383;1.093;1.383;0.145;
1;271;11.000;4.000;-3.600;;1.107;0.766;1.107;0.172;
1;272;11.500;4.000;-3.600;;0.538;0.056;0.538;0.241;
1;273;12.000;4.000;-3.600;;2.663;2.663;2.182;0.255;
1;274;12.500;4.000;-3.600;;2.161;2.123;2.161;0.032;
1;275;13.000;4.000;-3.600;;1.148;0.963;1.148;0.096;
1;276;13.500;4.000;-3.600;;0.605;0.334;0.605;0.165;
1;277;14.000;4.000;-3.600;;0.523;0.523;0.250;0.269;
1;278;14.500;4.000;-3.600;;1.799;1.799;0.855;0.493;
1;279;15.000;4.000;-3.600;;3.808;3.808;2.086;0.864;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Bach,Max;4.006;4.006;2.224;0.914;
1;153;14.000;2.000;-3.600;σ_eqv,Bach,Max;0.095;0.037;0.095;0.032;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,+;4.006;4.006;2.224;0.914;
1;153;14.000;2.000;-3.600;σ_eqv,Bach,+;0.095;0.037;0.095;0.032;
1;7;3.000;0.000;-3.600;σ_eqv,Bach,-;2.840;2.840;2.350;0.254;
1;220;1.000;3.500;-3.600;σ_eqv,Bach,-;0.285;0.285;0.085;0.183;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,m;4.006;4.006;2.224;0.914;
1;154;14.500;2.000;-3.600;σ_eqv,Bach,m;0.199;0.199;0.199;0.005;
Total;;;;;;4.006;4.006;2.350;0.914;
1;;;;;;0.095;0.037;0.085;0.005;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,Max;4.006;4.006;2.224;0.914;
1;153;14.000;2.000;-3.600;σ_eqv,Bach,Max;0.095;0.037;0.095;0.032;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,+;4.006;4.006;2.224;0.914;
1;153;14.000;2.000;-3.600;σ_eqv,Bach,+;0.095;0.037;0.095;0.032;
1;7;3.000;0.000;-3.600;σ_eqv,Bach,-;2.840;2.840;2.350;0.254;
1;220;1.000;3.500;-3.600;σ_eqv,Bach,-;0.285;0.285;0.085;0.183;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,m;4.006;4.006;2.224;0.914;
1;154;14.500;2.000;-3.600;σ_eqv,Bach,m;0.199;0.199;0.199;0.005;
;;;;;;;;;;
Total;;;;;;4.006;4.006;2.350;0.914;
max/min;;;;;;0.095;0.037;0.085;0.005;
