Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;1;0.000;0.000;-3.600;;4.006;4.006;2.224;0.914;
1;2;0.500;0.000;-3.600;;1.947;1.947;0.930;0.548;
1;3;1.000;0.000;-3.600;;0.685;0.685;0.289;0.319;
1;4;1.500;0.000;-3.600;;0.689;0.395;0.689;0.185;
1;5;2.000;0.000;-3.600;;1.284;1.139;1.284;0.074;
1;6;2.500;0.000;-3.600;;2.295;2.295;2.258;0.029;
1;7;3.000;0.000;-3.600;;2.840;2.840;2.350;0.254;
1;8;3.500;0.000;-3.600;;0.311;0.195;0.311;0.228;
1;9;4.000;0.000;-3.600;;0.932;0.625;0.932;0.156;
1;10;4.500;0.000;-3.600;;1.227;0.976;1.227;0.126;
1;11;5.000;0.000;-3.600;;1.538;1.327;1.538;0.106;
1;12;5.500;0.000;-3.600;;2.107;1.944;2.107;0.083;
1;13;6.000;0.000;-3.600;;1.847;1.623;1.847;0.148;
1;14;6.500;0.000;-3.600;;1.343;0.987;1.343;0.178;
1;15;7.000;0.000;-3.600;;1.517;1.219;1.517;0.149;
1;16;7.500;0.000;-3.600;;1.557;1.271;1.557;0.143;
1;17;8.000;0.000;-3.600;;1.581;1.286;1.581;0.147;
1;18;8.500;0.000;-3.600;;1.522;1.176;1.522;0.173;
1;19;9.000;0.000;-3.600;;1.911;1.633;1.911;0.150;
1;20;9.500;0.000;-3.600;;2.106;1.920;2.106;0.094;
1;21;10.000;0.000;-3.600;;1.643;1.419;1.643;0.112;
1;22;10.500;0.000;-3.600;;1.375;1.118;1.375;0.129;
1;23;11.000;0.000;-3.600;;1.105;0.795;1.105;0.157;
1;24;11.500;0.000;-3.600;;0.530;0.106;0.530;0.227;
1;25;12.000;0.000;-3.600;;2.661;2.661;2.172;0.254;
1;26;12.500;0.000;-3.600;;2.179;2.167;2.179;0.033;
1;27;13.000;0.000;-3.600;;1.143;0.980;1.143;0.085;
1;28;13.500;0.000;-3.600;;0.592;0.343;0.592;0.154;
1;29;14.000;0.000;-3.600;;0.530;0.530;0.247;0.256;
1;30;14.500;0.000;-3.600;;1.801;1.801;0.903;0.476;
1;31;15.000;0.000;-3.600;;3.900;3.900;2.238;0.841;
1;32;0.000;0.500;-3.600;;1.541;1.541;1.527;0.082;
1;33;0.500;0.500;-3.600;;1.061;1.061;0.950;0.182;
1;34;1.000;0.500;-3.600;;0.611;0.611;0.585;0.217;
1;35;1.500;0.500;-3.600;;0.877;0.486;0.877;0.195;
1;36;2.000;0.500;-3.600;;1.400;1.118;1.400;0.145;
1;37;2.500;0.500;-3.600;;1.793;1.524;1.793;0.137;
1;38;3.000;0.500;-3.600;;1.417;1.294;1.396;0.128;
1;39;3.500;0.500;-3.600;;0.534;0.284;0.534;0.139;
1;40;4.000;0.500;-3.600;;0.925;0.640;0.925;0.144;
1;41;4.500;0.500;-3.600;;1.218;0.955;1.218;0.132;
1;42;5.000;0.500;-3.600;;1.497;1.249;1.497;0.125;
1;43;5.500;0.500;-3.600;;1.824;1.574;1.824;0.126;
1;44;6.000;0.500;-3.600;;1.753;1.513;1.753;0.128;
1;45;6.500;0.500;-3.600;;1.405;1.131;1.405;0.139;
1;46;7.000;0.500;-3.600;;1.496;1.203;1.496;0.147;
1;47;7.500;0.500;-3.600;;1.541;1.249;1.541;0.146;
1;48;8.000;0.500;-3.600;;1.556;1.262;1.556;0.147;
1;49;8.500;0.500;-3.600;;1.531;1.253;1.531;0.140;
1;50;9.000;0.500;-3.600;;1.823;1.571;1.823;0.130;
1;51;9.500;0.500;-3.600;;1.874;1.616;1.874;0.129;
1;52;10.000;0.500;-3.600;;1.609;1.353;1.609;0.129;
1;53;10.500;0.500;-3.600;;1.372;1.103;1.372;0.134;
1;54;11.000;0.500;-3.600;;1.106;0.820;1.106;0.145;
1;55;11.500;0.500;-3.600;;0.732;0.486;0.732;0.136;
1;56;12.000;0.500;-3.600;;1.510;1.373;1.510;0.119;
1;57;12.500;0.500;-3.600;;1.689;1.478;1.689;0.118;
1;58;13.000;0.500;-3.600;;1.130;0.903;1.130;0.119;
1;59;13.500;0.500;-3.600;;0.703;0.413;0.703;0.146;
